recid,phash,chash,start,end,orient
CP049504.1,0e9d328b6f18522fcd34,930adc3aa1d394dff59b,40,1401,+
CP049504.1,6372b8f618299563518d,930adc3aa1d394dff59b,1679,2812,+
CP049504.1,bec767ec6574b3f4e280,930adc3aa1d394dff59b,3202,3438,+
CP049504.1,5b14ef7d636d1c09e42e,930adc3aa1d394dff59b,3435,4547,+
CP049504.1,d71e9e8ba0c3aeb5d4a5,930adc3aa1d394dff59b,4557,6491,+
CP049504.1,97be7e1146206f3aebe7,930adc3aa1d394dff59b,6528,9197,+
CP049504.1,97c95cf5348b3a639fc2,930adc3aa1d394dff59b,9285,10097,-
CP049504.1,fa16aeafd8345f3b8428,930adc3aa1d394dff59b,10423,11937,+
CP049504.1,cc5277ad2b1a76816dee,930adc3aa1d394dff59b,12316,13602,+
CP049504.1,94df351283d181e181b7,930adc3aa1d394dff59b,14253,14948,+
CP049504.1,f4a229745bdbaa0f4446,930adc3aa1d394dff59b,14945,15274,+
CP049504.1,122dc34942eeec0e1771,930adc3aa1d394dff59b,15637,16605,+
CP049504.1,feb48052d24ddc2a45ee,930adc3aa1d394dff59b,16913,17836,+
CP049504.1,c09605e29debd129171d,930adc3aa1d394dff59b,17851,19818,+
CP049504.1,ca96d6a2004cd28660f6,930adc3aa1d394dff59b,19815,20261,+
CP049504.1,d6e9e32028470ba9d77f,930adc3aa1d394dff59b,20293,21693,+
CP049504.1,4db40acb0a27d8008350,930adc3aa1d394dff59b,21971,23254,+
CP049504.1,44d6cbd51c08eaa80e9a,930adc3aa1d394dff59b,24457,25158,+
CP049504.1,6698a04bdf99874b3d7d,930adc3aa1d394dff59b,25171,26997,+
CP049504.1,5733e774ea9511532af9,930adc3aa1d394dff59b,26990,28324,+
CP049504.1,357efba3bde9083d7d5d,930adc3aa1d394dff59b,28325,29113,+
CP049504.1,81d41a22bc1fbf42c96f,930adc3aa1d394dff59b,29502,30302,+
CP049504.1,7975f88b6e954fc1f11f,930adc3aa1d394dff59b,30529,32847,+
CP049504.1,480f35c7db3567655214,930adc3aa1d394dff59b,33215,33694,+
CP049504.1,7f4a1de673d528692aa0,930adc3aa1d394dff59b,34244,34477,-
CP049504.1,82e24a624a332f544909,930adc3aa1d394dff59b,34723,39813,+
CP049504.1,e86e8d3e2e21309c1dd6,930adc3aa1d394dff59b,39937,41553,+
CP049504.1,64bafa88697eb8824d87,930adc3aa1d394dff59b,41713,43224,-
CP049504.1,7d0f4a866ebaeb3c4735,930adc3aa1d394dff59b,43247,44905,-
CP049504.1,db8f5a2033185b94a7ba,930adc3aa1d394dff59b,44899,45297,-
CP049504.1,7939761717af56c9e014,930adc3aa1d394dff59b,46303,46608,+
CP049504.1,d70d7e25ab9c2d5cd93c,930adc3aa1d394dff59b,46807,47670,+
CP049504.1,73fc0f34b017fc14f02b,930adc3aa1d394dff59b,47778,49253,+
CP049504.1,1c78e82412ee9073e23b,930adc3aa1d394dff59b,49479,50579,+
CP049504.1,167ba48362ed7b5cf4e6,930adc3aa1d394dff59b,50572,50943,+
CP049504.1,498411c2d5c6e9db6a23,930adc3aa1d394dff59b,50940,52583,+
CP049504.1,b706991d7fc9e36406b3,930adc3aa1d394dff59b,52537,52653,+
CP049504.1,7d102afd9a57c3de8b69,930adc3aa1d394dff59b,52809,54485,+
CP049504.1,170a0e1669e136f48bd3,930adc3aa1d394dff59b,54591,54929,+
CP049504.1,c7da521da52de5f1afa0,930adc3aa1d394dff59b,54931,55032,+
CP049504.1,d84358960c472c0646f3,930adc3aa1d394dff59b,55025,55336,+
CP049504.1,ab827465f2c4030e8b45,930adc3aa1d394dff59b,55352,55858,+
CP049504.1,c72b0428a43fa6e8cd2b,930adc3aa1d394dff59b,56007,56681,-
CP049504.1,ef77012ed92ddf67785c,930adc3aa1d394dff59b,56939,57106,+
CP049504.1,e792ec42ca611fdb43e3,930adc3aa1d394dff59b,57983,58726,+
CP049504.1,62a7bc7f80c5557e1bd6,930adc3aa1d394dff59b,58823,59251,+
CP049504.1,8f3b91f58a93f977accd,930adc3aa1d394dff59b,59297,61303,-
CP049504.1,a412189f1a80cbef1ed2,930adc3aa1d394dff59b,61403,63160,+
CP049504.1,17b3848b9348b8e0a9fa,930adc3aa1d394dff59b,63160,63531,+
CP049504.1,7cdc8f6c22cdf0a06369,930adc3aa1d394dff59b,64039,65148,+
CP049504.1,0e72c270a1513ccaf184,930adc3aa1d394dff59b,65262,65567,-
CP049504.1,592b5318e144598593d3,930adc3aa1d394dff59b,65658,66596,-
CP049504.1,8c35d9430f9d4acb44c8,930adc3aa1d394dff59b,66629,67693,-
CP049504.1,37759461ea8ea9619ede,930adc3aa1d394dff59b,67829,68089,+
CP049504.1,16f44a4b8a37efd09def,930adc3aa1d394dff59b,68104,68733,+
CP049504.1,aad60a4add019918259e,930adc3aa1d394dff59b,69072,69734,-
CP049504.1,9d4fe4c9a2a70d93d06e,930adc3aa1d394dff59b,70230,70961,+
CP049504.1,e0eb7e5a7a7dd0b1cfe1,930adc3aa1d394dff59b,71087,71869,-
CP049504.1,1c81c9ed3b09d89a0fad,930adc3aa1d394dff59b,72020,72397,-
CP049504.1,9f2efc5633c5a50d5eb1,930adc3aa1d394dff59b,72404,74296,-
CP049504.1,f7c8569c1a58de5a1744,930adc3aa1d394dff59b,74293,75378,-
CP049504.1,ea17b7459379dc1467e4,930adc3aa1d394dff59b,75497,75814,-
CP049504.1,eb678f6dd53eff6222ed,930adc3aa1d394dff59b,75835,76341,-
CP049504.1,d3fe72aeeea7fec45b92,930adc3aa1d394dff59b,76359,76670,-
