query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh,PF00389.32,134,0b921ace501a0fe980|cda39b290e2d841472|d974eac7de12e23e0c|911141|NZ_FQWV01000001.1:390421-415564(FWD);15320;16291;-,72.0,1.7e-21,324,0,133,7,316
2-Hacid_dh_C,PF02826.21,178,0b921ace501a0fe980|cda39b290e2d841472|d974eac7de12e23e0c|911141|NZ_FQWV01000001.1:390421-415564(FWD);15320;16291;-,162.1,3.9e-49,324,1,178,109,285
2-Hacid_dh_C,PF02826.21,178,0b921ace501a0fe980|665438f1152c44843c|22cd17139fc74a375e|2704381|NZ_SOSC01000014.1:7280-32423(REV);21284;22537;-,18.9,3.6e-05,418,25,70,199,244
2-Hacid_dh_C,PF02826.21,178,0b921ace501a0fe980|665438f1152c44843c|22cd17139fc74a375e|2704381|NZ_SOSC01000014.1:7280-32423(REV);21284;22537;-,18.9,3.6e-05,418,132,175,290,337
2-Hacid_dh_C,PF02826.21,178,0b921ace501a0fe980|665438f1152c44843c|22cd17139fc74a375e|2704381|NZ_SOSC01000014.1:7280-32423(REV);22984;24294;-,17.6,8.8e-05,437,28,67,223,262
2-Hacid_dh_C,PF02826.21,178,0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV);9793;11094;+,14.0,0.0012,434,37,73,1,37
2-Hacid_dh_C,PF02826.21,178,0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV);9793;11094;+,14.0,0.0012,434,52,83,345,376
2-Hacid_dh_C,PF02826.21,178,0b921ace501a0fe980|cda39b290e2d841472|d974eac7de12e23e0c|911141|NZ_FQWV01000001.1:390421-415564(FWD);2375;3700;+,10.4,0.015,442,38,71,6,39
2-Hacid_dh_C,PF02826.21,178,0b921ace501a0fe980|cda39b290e2d841472|d974eac7de12e23e0c|911141|NZ_FQWV01000001.1:390421-415564(FWD);2375;3700;+,10.4,0.015,442,31,63,190,224
2-Hacid_dh_C,PF02826.21,178,0b921ace501a0fe980|cda39b290e2d841472|d974eac7de12e23e0c|911141|NZ_FQWV01000001.1:390421-415564(FWD);2375;3700;+,10.4,0.015,442,39,72,244,277
2_5_RNA_ligase2,PF13563.8,153,0b921ace501a0fe980|cda39b290e2d841472|ee750466939df37c1e|7891231|NZ_JACKXD010000008.1:0-15820(FWD);6310;6870;+,65.9,2e-19,187,2,148,10,168
3Beta_HSD,PF01073.21,280,0b921ace501a0fe980|20e16cc4aaf7bb609c|20e16cc4aaf7bb609c|872631|NZ_MASN01000001.1:1895-27038(FWD);14436;15422;+,90.9,3.4e-27,329,0,224,3,229
3Beta_HSD,PF01073.21,280,0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV);17131;18066;-,84.4,3.3e-25,312,0,223,3,221
3Beta_HSD,PF01073.21,280,0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV);16152;17138;-,72.6,1.3e-21,329,0,256,10,259
3Beta_HSD,PF01073.21,280,0b921ace501a0fe980|cda39b290e2d841472|d974eac7de12e23e0c|911141|NZ_FQWV01000001.1:390421-415564(FWD);23591;24394;-,57.0,7e-17,268,1,154,6,160
3Beta_HSD,PF01073.21,280,0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV);86;1024;-,48.0,3.9e-14,313,0,219,4,218
3Beta_HSD,PF01073.21,280,0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV);4045;5106;-,46.3,1.3e-13,354,1,110,13,127
3Beta_HSD,PF01073.21,280,0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV);3080;4048;-,19.5,1.9e-05,323,0,49,13,67
3Beta_HSD,PF01073.21,280,0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV);18070;19242;-,13.3,0.0016,391,29,109,31,138
3HCDH,PF00725.24,97,0b921ace501a0fe980|bfb63bcf84e163b783|7b9f5f5a78e2b93a95|1652571|PXQV01000003.1:83690-108833(REV);8129;9793;+,155.8,1.6e-47,555,0,97,93,183
3HCDH,PF00725.24,97,0b921ace501a0fe980|bfb63bcf84e163b783|7b9f5f5a78e2b93a95|1652571|PXQV01000003.1:83690-108833(REV);8129;9793;+,155.8,1.6e-47,555,5,97,202,294
3HCDH_N,PF02737.20,180,0b921ace501a0fe980|bfb63bcf84e163b783|7b9f5f5a78e2b93a95|1652571|PXQV01000003.1:83690-108833(REV);8129;9793;+,115.1,1.6e-34,555,89,179,0,91
3HCDH_N,PF02737.20,180,0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV);9793;11094;+,23.5,2.1e-06,434,0,80,1,76
3HCDH_N,PF02737.20,180,0b921ace501a0fe980|20e16cc4aaf7bb609c|20e16cc4aaf7bb609c|872631|NZ_MASN01000001.1:1895-27038(FWD);14436;15422;+,17.6,0.00014,329,5,43,7,45
3HCDH_N,PF02737.20,180,0b921ace501a0fe980|cda39b290e2d841472|d974eac7de12e23e0c|911141|NZ_FQWV01000001.1:390421-415564(FWD);2375;3700;+,13.7,0.0022,442,0,39,5,44
3HCDH_N,PF02737.20,180,0b921ace501a0fe980|cda39b290e2d841472|a5c1515f52e994f7c7|1652461|PXRU01000010.1:89205-114348(FWD);20521;21729;-,13.5,0.0024,403,1,30,15,44
4HBT,PF03061.24,79,0b921ace501a0fe980|bfb63bcf84e163b783|7b9f5f5a78e2b93a95|1652571|PXQV01000003.1:83690-108833(REV);9790;10266;+,56.3,1.5e-16,159,1,76,50,125
4HBT,PF03061.24,79,0b921ace501a0fe980|bfb63bcf84e163b783|7b9f5f5a78e2b93a95|1652571|PXQV01000003.1:83690-108833(REV);10263;10712;+,15.3,0.00094,150,34,62,88,116
4HBT_2,PF13279.8,123,0b921ace501a0fe980|bfb63bcf84e163b783|7b9f5f5a78e2b93a95|1652571|PXQV01000003.1:83690-108833(REV);10263;10712;+,17.8,0.00017,150,29,74,57,120
4HBT_3,PF13622.8,250,0b921ace501a0fe980|bfb63bcf84e163b783|7b9f5f5a78e2b93a95|1652571|PXQV01000003.1:83690-108833(REV);9790;10266;+,20.8,1.9e-05,159,7,81,50,133
5_3_exonuc,PF01367.22,97,0b921ace501a0fe980|312ead9921799ff865|294e0d1bc01f9c6677|867481|NZ_FNQT01000004.1:106438-131581(FWD);22802;23800;+,12.9,0.0064,333,12,36,146,170
5_3_exonuc,PF01367.22,97,0b921ace501a0fe980|312ead9921799ff865|294e0d1bc01f9c6677|867481|NZ_FNQT01000004.1:106438-131581(FWD);22802;23800;+,12.9,0.0064,333,17,38,231,252
5_3_exonuc,PF01367.22,97,0b921ace501a0fe980|312ead9921799ff865|294e0d1bc01f9c6677|867481|NZ_FNQT01000004.1:106438-131581(FWD);22802;23800;+,12.9,0.0064,333,17,39,307,329
