Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Cas12c_0_CAS-V-C	c36b3b94eaf89826ba|fedef4bfc44c123a33|fedef4bfc44c123a33|8141951|NZ_JACJNY010000030.1:4254-29454(REV)_18	379	1272	0.52	2.2	18172	19308	c36b3b94eaf89826ba|fedef4bfc44c123a33|fedef4bfc44c123a33|8141951|NZ_JACJNY010000030.1:4254-29454(REV)	18	0.10554089709762533	0.031446540880503145	-1
Cas12f1_0_CAS-V-F	c36b3b94eaf89826ba|c36b3b94eaf89826ba|c36b3b94eaf89826ba|6600171|JAAUPF010000056.1:2033-27227(FWD)_17	393	512	2.1e-10	34.5	14145	15323	c36b3b94eaf89826ba|c36b3b94eaf89826ba|c36b3b94eaf89826ba|6600171|JAAUPF010000056.1:2033-27227(FWD)	17	0.5343511450381679	0.431640625	-1
Cas12f1_1_CAS-V-F	c36b3b94eaf89826ba|c36b3b94eaf89826ba|c36b3b94eaf89826ba|6600171|JAAUPF010000056.1:2033-27227(FWD)_17	393	557	3.3e-30	99.7	14145	15323	c36b3b94eaf89826ba|c36b3b94eaf89826ba|c36b3b94eaf89826ba|6600171|JAAUPF010000056.1:2033-27227(FWD)	17	0.7557251908396947	0.5529622980251346	-1
Cas12f1_1_CAS-V-F	c36b3b94eaf89826ba|cb40c5a125c0006cc1|cb40c5a125c0006cc1|8141851|NZ_JACJNV010000108.1:34631-59831(FWD)_8	374	557	2.9e-11	37.2	8072	9193	c36b3b94eaf89826ba|cb40c5a125c0006cc1|cb40c5a125c0006cc1|8141851|NZ_JACJNV010000108.1:34631-59831(FWD)	8	0.6737967914438503	0.4757630161579892	-1
Cas12f1_1_CAS-V-F	c36b3b94eaf89826ba|d3f16858e4bd64feda|d3f16858e4bd64feda|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:8521-33721(FWD)_4	211	557	2.7e-09	30.7	5426	6058	c36b3b94eaf89826ba|d3f16858e4bd64feda|d3f16858e4bd64feda|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:8521-33721(FWD)	4	0.44075829383886256	0.1651705565529623	-1
Cas12f1_1_CAS-V-F	c36b3b94eaf89826ba|fedef4bfc44c123a33|fedef4bfc44c123a33|8141951|NZ_JACJNY010000030.1:4254-29454(REV)_18	379	557	1.6e-13	44.6	18172	19308	c36b3b94eaf89826ba|fedef4bfc44c123a33|fedef4bfc44c123a33|8141951|NZ_JACJNY010000030.1:4254-29454(REV)	18	0.5435356200527705	0.40574506283662476	-1
Cas12f1_2_CAS-V-F	c36b3b94eaf89826ba|c36b3b94eaf89826ba|c36b3b94eaf89826ba|6600171|JAAUPF010000056.1:2033-27227(FWD)_17	393	429	1.3000000000000001e-32	107.8	14145	15323	c36b3b94eaf89826ba|c36b3b94eaf89826ba|c36b3b94eaf89826ba|6600171|JAAUPF010000056.1:2033-27227(FWD)	17	0.7964376590330788	0.7925407925407926	-1
Cas12f1_2_CAS-V-F	c36b3b94eaf89826ba|c36b3b94eaf89826ba|c36b3b94eaf89826ba|6600171|JAAUPF010000056.1:2033-27227(FWD)_21	102	429	0.0045	10.5	17460	17765	c36b3b94eaf89826ba|c36b3b94eaf89826ba|c36b3b94eaf89826ba|6600171|JAAUPF010000056.1:2033-27227(FWD)	21	0.47058823529411764	0.11655011655011654	1
Cas12f1_2_CAS-V-F	c36b3b94eaf89826ba|cb40c5a125c0006cc1|cb40c5a125c0006cc1|8141851|NZ_JACJNV010000108.1:34631-59831(FWD)_8	374	429	3.7e-14	47.0	8072	9193	c36b3b94eaf89826ba|cb40c5a125c0006cc1|cb40c5a125c0006cc1|8141851|NZ_JACJNV010000108.1:34631-59831(FWD)	8	0.6256684491978609	0.5687645687645687	-1
Cas12f1_2_CAS-V-F	c36b3b94eaf89826ba|d3f16858e4bd64feda|d3f16858e4bd64feda|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:8521-33721(FWD)_23	106	429	0.0002	15.0	24882	25199	c36b3b94eaf89826ba|d3f16858e4bd64feda|d3f16858e4bd64feda|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:8521-33721(FWD)	23	0.6981132075471698	0.17249417249417248	-1
Cas12f1_2_CAS-V-F	c36b3b94eaf89826ba|d3f16858e4bd64feda|d3f16858e4bd64feda|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:8521-33721(FWD)_4	211	429	1.5e-09	31.8	5426	6058	c36b3b94eaf89826ba|d3f16858e4bd64feda|d3f16858e4bd64feda|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:8521-33721(FWD)	4	0.6018957345971564	0.31934731934731936	-1
Cas12f1_2_CAS-V-F	c36b3b94eaf89826ba|fedef4bfc44c123a33|fedef4bfc44c123a33|8141951|NZ_JACJNY010000030.1:4254-29454(REV)_18	379	429	1.3e-12	41.9	18172	19308	c36b3b94eaf89826ba|fedef4bfc44c123a33|fedef4bfc44c123a33|8141951|NZ_JACJNY010000030.1:4254-29454(REV)	18	0.46437994722955145	0.40326340326340326	-1
Cas12f2_0_CAS-V-F	c36b3b94eaf89826ba|c36b3b94eaf89826ba|c36b3b94eaf89826ba|6600171|JAAUPF010000056.1:2033-27227(FWD)_17	393	517	3.2e-13	43.6	14145	15323	c36b3b94eaf89826ba|c36b3b94eaf89826ba|c36b3b94eaf89826ba|6600171|JAAUPF010000056.1:2033-27227(FWD)	17	0.5267175572519084	0.4197292069632495	-1
Cas12f2_0_CAS-V-F	c36b3b94eaf89826ba|cb40c5a125c0006cc1|cb40c5a125c0006cc1|8141851|NZ_JACJNV010000108.1:34631-59831(FWD)_8	374	517	1.3999999999999998e-41	137.2	8072	9193	c36b3b94eaf89826ba|cb40c5a125c0006cc1|cb40c5a125c0006cc1|8141851|NZ_JACJNV010000108.1:34631-59831(FWD)	8	0.7647058823529411	0.586073500967118	-1
