Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
0093c124a5b6ee038d|29e93ab53fcdb70c3e|e10715cddb96c92c8b|3171471|NZ_VAWE01000001.1:5503588-5529004(REV)	0093c124a5b6ee038d|29e93ab53fcdb70c3e|e10715cddb96c92c8b|3171471|NZ_VAWE01000001.1:5503588-5529004(REV)@1	3635	5863	False	20%	NA	IV-D	4.0	['RecD_0_IVD']	[4]	['2.50e-71']	[0.783]	[0.78]	-1	NA
0093c124a5b6ee038d|dabb1f64f4caeb35ff|dabb1f64f4caeb35ff|1110021|NZ_MUNE01000737.1:0-10285(REV)	0093c124a5b6ee038d|dabb1f64f4caeb35ff|dabb1f64f4caeb35ff|1110021|NZ_MUNE01000737.1:0-10285(REV)@2	8122	8478	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[13]	['1.30e-20']	[0.664]	[0.703]	NA	NA
0093c124a5b6ee038d|7953d9f5491edbf36c|7953d9f5491edbf36c|1108091|NZ_MUFU01000118.1:13923-37098(REV)	0093c124a5b6ee038d|7953d9f5491edbf36c|7953d9f5491edbf36c|1108091|NZ_MUFU01000118.1:13923-37098(REV)@1	2	730	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[1]	['2.10e-05']	[0.519]	[0.819]	NA	NA
0093c124a5b6ee038d|7953d9f5491edbf36c|7953d9f5491edbf36c|1108091|NZ_MUFU01000118.1:13923-37098(REV)	0093c124a5b6ee038d|7953d9f5491edbf36c|7953d9f5491edbf36c|1108091|NZ_MUFU01000118.1:13923-37098(REV)@2	10770	11198	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[11]	['3.70e-05']	[0.399]	[0.483]	NA	NA
0093c124a5b6ee038d|cf8e9b72d83114b894|cf8e9b72d83114b894|6088741|NZ_JAAKZZ010000113.1:0-17138(FWD)	0093c124a5b6ee038d|cf8e9b72d83114b894|cf8e9b72d83114b894|6088741|NZ_JAAKZZ010000113.1:0-17138(FWD)@1	6483	7079	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[8]	['2.50e-09']	[0.874]	[0.969]	NA	NA
0093c124a5b6ee038d|766cf87ff91f4adb1c|ce7111536f1a8fa833|GUT_GENOME212255|GUT_GENOME212255_64:0-9713(REV)	0093c124a5b6ee038d|766cf87ff91f4adb1c|ce7111536f1a8fa833|GUT_GENOME212255|GUT_GENOME212255_64:0-9713(REV)@2	7363	9711	Ambiguous	['100%', '100%']	['0%', '0%']	['II-A', 'II-C']	2.0	['Cas9_1_II', 'Cas9_1_II']	[11, 12]	['6.20e-146', '4.40e-115']	[0.987, 0.993]	[0.456, 0.28]	1	NA
0093c124a5b6ee038d|db71cb267cfbd614a8|db71cb267cfbd614a8|5478521|NZ_JAAALO010000005.1:85905-111282(FWD)	0093c124a5b6ee038d|db71cb267cfbd614a8|db71cb267cfbd614a8|5478521|NZ_JAAALO010000005.1:85905-111282(FWD)@1	2013	2960	False	0%	0%	I-A	0.0	['WYL_0_CAS-I-II-III-IV-V-VI']	[3]	['3.40e-61']	[0.981]	[0.971]	NA	NA
0093c124a5b6ee038d|c2b722a9c93d44c9d4|abb95bb561a9d2f1c4|1076631|NZ_FWZT01000036.1:19680-39518(REV)	0093c124a5b6ee038d|c2b722a9c93d44c9d4|abb95bb561a9d2f1c4|1076631|NZ_FWZT01000036.1:19680-39518(REV)@1	17855	18166	False	17%	0%	I-E	4.0	['Cse2gr11_0_CAS-I-E']	[21]	['1.40e-03']	[0.721]	[0.35]	1	NA
0093c124a5b6ee038d|766cf87ff91f4adb1c|c76039e46a913e1eba|1841291|NZ_UGHK01000002.1:891131-916547(FWD)	0093c124a5b6ee038d|766cf87ff91f4adb1c|c76039e46a913e1eba|1841291|NZ_UGHK01000002.1:891131-916547(FWD)@2	23228	23920	False	0%	33%	II-A	3.0	['Csn2_7_CAS-II-A']	[24]	['3.10e-05']	[0.494]	[0.312]	NA	-1
0093c124a5b6ee038d|2fce4a9c92db26ac0f|2fce4a9c92db26ac0f|8120681|NZ_BMUQ01000041.1:0-13085(FWD)	0093c124a5b6ee038d|2fce4a9c92db26ac0f|2fce4a9c92db26ac0f|8120681|NZ_BMUQ01000041.1:0-13085(FWD)@1	8054	8845	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[8]	['6.80e-11']	[0.542]	[0.489]	NA	NA
