query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh,PF00389.32,134,4e45823b6b83464d6e|ee778a2094c709d34c|ee778a2094c709d34c|954981|NZ_FTNR01000005.1:244825-260444(FWD);10519;12105;+,127.7,2.3e-38,529,0,134,2,311
2-Hacid_dh,PF00389.32,134,4e45823b6b83464d6e|2128a73e35ebc87846|ad339568db22a18c6e|1338991|NZ_PDBS01000008.1:151989-177420(REV);18031;18960;+,33.9,2.1e-09,310,50,133,48,308
2-Hacid_dh,PF00389.32,134,4e45823b6b83464d6e|5f358d1d979988c795|5f358d1d979988c795|2037911|NZ_RDQG01000024.1:0-20613(REV);2654;3619;-,33.3,3.2e-09,322,44,133,54,319
2-Hacid_dh,PF00389.32,134,4e45823b6b83464d6e|006a73897e3fb2a479|006a73897e3fb2a479|537388|NZ_AOLP01000002.1:106542-131973(FWD);3866;4795;+,30.1,3.2e-08,310,58,133,56,308
2-Hacid_dh,PF00389.32,134,4e45823b6b83464d6e|006a73897e3fb2a479|006a73897e3fb2a479|602641|NZ_LOEP01000055.1:0-21779(FWD);1670;2599;+,30.1,3.2e-08,310,58,133,56,308
2-Hacid_dh,PF00389.32,134,4e45823b6b83464d6e|006a73897e3fb2a479|b56c9e854cc181c3a7|8119001|NZ_BMOU01000006.1:4467-29898(REV);18538;19464;-,28.4,1.1e-07,309,63,133,60,307
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|ee778a2094c709d34c|ee778a2094c709d34c|954981|NZ_FTNR01000005.1:244825-260444(FWD);10519;12105;+,195.3,5.3e-59,529,0,178,104,279
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|006a73897e3fb2a479|006a73897e3fb2a479|537388|NZ_AOLP01000002.1:106542-131973(FWD);3866;4795;+,177.5,1.6e-53,310,1,178,101,277
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|006a73897e3fb2a479|006a73897e3fb2a479|602641|NZ_LOEP01000055.1:0-21779(FWD);1670;2599;+,177.5,1.6e-53,310,1,178,101,277
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|006a73897e3fb2a479|b56c9e854cc181c3a7|8119001|NZ_BMOU01000006.1:4467-29898(REV);18538;19464;-,172.1,6.8e-52,309,1,178,100,276
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|2128a73e35ebc87846|ad339568db22a18c6e|1338991|NZ_PDBS01000008.1:151989-177420(REV);18031;18960;+,166.3,4.3e-50,310,1,178,101,277
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|5f358d1d979988c795|5f358d1d979988c795|2037911|NZ_RDQG01000024.1:0-20613(REV);2654;3619;-,164.8,1.2e-49,322,1,178,113,288
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|a685d342db2f341679|a685d342db2f341679|2559571|NZ_CAAHFB010000001.1:1651177-1676557(FWD);7918;9195;-,43.8,1.7e-12,426,48,67,61,80
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|a685d342db2f341679|a685d342db2f341679|2559571|NZ_CAAHFB010000001.1:1651177-1676557(FWD);7918;9195;-,43.8,1.7e-12,426,31,127,207,299
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|b081170172175eea8d|b081170172175eea8d|181881|NC_017941.2:158802-184233(REV);22590;23876;-,41.3,1e-11,429,32,157,211,333
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|587cb75a8bd500ac5c|587cb75a8bd500ac5c|953061|NZ_LWLN01000001.1:3003205-3028585(FWD);8875;9888;+,19.1,6.5e-05,338,36,76,1,41
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|587cb75a8bd500ac5c|587cb75a8bd500ac5c|536788|NZ_AOIR01000053.1:0-21622(REV);8615;9628;+,19.1,6.6e-05,338,36,76,1,41
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|006a73897e3fb2a479|c474fc82d3d56e7cb8|4347341|NZ_CABLRR010000002.1:593849-619274(FWD);16259;17551;+,16.5,0.00042,431,37,69,1,33
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|006a73897e3fb2a479|c474fc82d3d56e7cb8|4347341|NZ_CABLRR010000002.1:593849-619274(FWD);16259;17551;+,16.5,0.00042,431,117,142,271,296
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|006a73897e3fb2a479|c474fc82d3d56e7cb8|4347341|NZ_CABLRR010000002.1:593849-619274(FWD);16259;17551;+,16.5,0.00042,431,56,97,347,389
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|aba3474d3d7cd91bf5|aba3474d3d7cd91bf5|EARTH_3300025351_10|3300025351.a:Ga0208135_101705:0-7638(FWD);6718;7392;+,14.9,0.0012,225,32,78,84,130
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|aba3474d3d7cd91bf5|aba3474d3d7cd91bf5|EARTH_3300025351_10|3300025351.a:Ga0208135_101705:0-7638(FWD);6718;7392;+,14.9,0.0012,225,57,92,176,212
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|a622d4953da6342cf0|a622d4953da6342cf0|479391|NZ_LIST01000006.1:116740-142120(REV);11274;12341;+,14.3,0.002,356,37,70,2,36
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|d6cb7048e8afd1ad43|f4164333a5d2a8bd1c|2799151|NZ_SZNP01000004.1:30742-56122(FWD);5866;6603;-,14.2,0.0021,246,37,85,7,58
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|d6cb7048e8afd1ad43|f4164333a5d2a8bd1c|2799151|NZ_SZNP01000004.1:748178-761253(FWD);5866;6603;-,14.2,0.0021,246,37,85,7,58
2-Hacid_dh_C,PF02826.21,178,4e45823b6b83464d6e|147f9ed00b2e9ddb10|147f9ed00b2e9ddb10|5605271|NZ_SBIS02000013.1:0-25069(FWD);21696;22766;-,13.9,0.0025,357,37,89,3,59
