Contig	Start	End	Strand	Pos
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	1	93	-1	1
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	278	619	-1	2
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	722	1057	1	3
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	1095	1502	-1	4
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	1673	2119	1	5
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	2983	4188	1	6
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	4185	5348	1	7
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	6175	6669	-1	8
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	7412	8962	-1	9
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	9064	9771	-1	10
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	9965	10297	-1	11
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	10484	11251	1	12
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	11342	11503	-1	13
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	11505	12263	-1	14
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	12501	12944	1	15
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	13264	13854	-1	16
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	13893	14819	-1	17
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	15139	16260	1	18
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	16811	19507	-1	19
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	20537	20716	-1	20
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	21635	24052	-1	21
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	24225	24404	1	22
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	24436	25101	1	23
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	25026	25184	-1	24
66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV)	25224	25337	-1	25
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	236	1105	1	1
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	1260	2579	1	2
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	2963	4051	-1	3
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	4102	6201	-1	4
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	6294	7757	1	5
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	7754	8266	1	6
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	8263	9210	1	7
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	9349	10014	-1	8
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	10382	10528	1	9
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	10528	10953	1	10
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	10990	12264	-1	11
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	12261	12425	-1	12
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	12500	12799	1	13
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	13103	14107	-1	14
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	14104	15198	-1	15
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	15195	15476	-1	16
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	15562	15870	-1	17
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	16034	19090	1	18
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	19182	19847	1	19
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	20221	20436	1	20
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	20393	21022	1	21
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	21019	22182	1	22
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	22179	22556	1	23
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	22884	24248	-1	24
66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	24433	24870	1	25
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	1	975	-1	1
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	1085	1267	-1	2
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	1380	1679	-1	3
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	1692	2042	-1	4
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	2175	2675	1	5
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	2922	3101	-1	6
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	4138	5490	1	7
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	5469	6476	-1	8
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	6477	6914	-1	9
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	6970	8418	-1	10
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	8566	9036	-1	11
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	9331	10116	-1	12
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	10226	10834	1	13
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	11020	12294	-1	14
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	12291	12446	-1	15
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	12500	12949	1	16
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	13036	13281	1	17
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	13336	13578	-1	18
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	13771	13980	-1	19
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	13977	14186	-1	20
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	14183	14950	-1	21
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	15041	15394	1	22
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	15456	16466	1	23
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	16565	17023	1	24
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	17020	17733	-1	25
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	17789	18316	-1	26
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	18467	19669	-1	27
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	19853	21007	-1	28
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	21081	21617	-1	29
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	21839	22873	1	30
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	23109	24038	1	31
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	24039	24701	1	32
66e3c83c192b25b489|f5931c1fa1780cb914|f5931c1fa1780cb914|44588|NC_013202.1:527418-552867(FWD)	24769	25353	1	33
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	1	594	-1	1
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	587	1663	-1	2
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	1660	1938	-1	3
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	2056	2616	1	4
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	2746	3036	-1	5
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	3193	3351	1	6
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	3422	3940	1	7
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	3891	5123	-1	8
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	5120	6370	-1	9
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	6363	7091	-1	10
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	7130	10777	-1	11
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	11021	12295	-1	12
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	12292	12447	-1	13
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	12501	12764	1	14
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	12852	14021	1	15
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	14063	15262	1	16
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	15297	16214	-1	17
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	16682	17938	1	18
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	18033	19172	-1	19
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	19314	20570	1	20
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	20670	20882	1	21
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	20885	22186	1	22
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	22183	23379	1	23
