recid,phash,chash,start,end,orient
uvig_392471,a149eca10244a3109a20,d604b5bfee7cda874ab9,58,270,+
uvig_392471,e6e4ae1576a099781cb5,d604b5bfee7cda874ab9,673,1095,-
uvig_392471,a8a013224b8d6e4d7d0b,d604b5bfee7cda874ab9,1243,1437,+
uvig_392471,11d3dea4f1044652bc7f,d604b5bfee7cda874ab9,1555,1764,+
uvig_392471,49506fcf01b8967a02b0,d604b5bfee7cda874ab9,1745,1966,+
uvig_392471,7a1b90aced34e09c9c06,d604b5bfee7cda874ab9,1982,2527,+
uvig_392471,ad03eecd21f5c50dc43a,d604b5bfee7cda874ab9,2537,4030,+
uvig_392471,1b72faa61db3f5765a93,d604b5bfee7cda874ab9,4055,4927,+
uvig_392471,87b336e17c0984c62e5c,d604b5bfee7cda874ab9,4924,5322,+
uvig_392471,c86fe0bc313b74e77d12,d604b5bfee7cda874ab9,5325,6002,+
uvig_392471,e593af4d35d2fb874aff,d604b5bfee7cda874ab9,5999,6235,+
uvig_392471,f793619acda530233a07,d604b5bfee7cda874ab9,6239,7144,+
uvig_392471,62621c995b1c9f0d6b62,d604b5bfee7cda874ab9,7164,7469,+
uvig_392471,0569883cec6c98e7aad9,d604b5bfee7cda874ab9,7503,7919,+
uvig_392471,ac88e36e89d0495a7640,d604b5bfee7cda874ab9,7978,8163,+
uvig_392471,e548b94af9229c811e0d,d604b5bfee7cda874ab9,8416,8859,+
uvig_392471,7c61e068adf35b0de1ed,d604b5bfee7cda874ab9,8881,9531,+
uvig_392471,296b3c1dcc17b6c487cc,d604b5bfee7cda874ab9,9855,10124,+
