recid,crhash,chash,start,end
NZ_SQTH01000001.1,5d68f75b8ac53fa2a9b2,338a1f1f1cc32f5afe70,378812,378941
NZ_SQTH01000003.1,499384a65e3ed9fc3fd7,6a786d9b228e5e42fe52,212249,214412
NZ_SQTH01000003.1,499384a65e3ed9fc3fd7,6a786d9b228e5e42fe52,231174,232605
NZ_SQTH01000004.1,95a8eb7e90881183ad06,03d993ae3b9de33adcfd,56066,56167
NZ_SQTH01000004.1,208eddf96855c3b142f6,03d993ae3b9de33adcfd,136661,136920
NZ_SQTH01000004.1,1c76d36c6f139fbf9b79,03d993ae3b9de33adcfd,359915,360224
NZ_SQTH01000005.1,32ce9348160369aad1b2,0456ae7a7fbcbce3d622,53207,53516
NZ_SQTH01000005.1,3c7285516e480ff93137,0456ae7a7fbcbce3d622,249656,249927
NZ_SQTH01000007.1,2cd0183b1643dc84ba44,539d682127f935c51105,26539,26722
NZ_SQTH01000020.1,841dca8fc4186aa6a924,e451b6bbb7c4246f9bdd,92,556
NZ_SQTH01000020.1,1366cac73d595f1e45e7,e451b6bbb7c4246f9bdd,1461,1556
