Contig	Start	End	Strand	Pos
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	1	993	1	1
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	1022	1600	-1	2
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	1994	3454	1	3
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	3519	4430	-1	4
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	4672	5550	1	5
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	5682	6467	-1	6
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	6612	7634	1	7
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	7806	8204	1	8
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	8201	9328	1	9
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	9325	10407	1	10
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	10407	11819	1	11
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	11669	12460	-1	12
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	12500	13159	1	13
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	13306	14283	1	14
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	14280	15434	1	15
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	15431	16492	1	16
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	16485	17663	1	17
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	17740	19863	1	18
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	19865	21196	-1	19
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	21689	22909	-1	20
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	23420	23611	1	21
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	23627	24616	1	22
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD)	24730	25659	-1	23
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	1	975	1	1
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	982	1560	-1	2
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	1957	3420	1	3
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	3485	4393	-1	4
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	4566	5444	1	5
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	5623	6408	-1	6
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	6553	7593	1	7
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	7792	8190	1	8
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	8187	9314	1	9
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	9311	10420	1	10
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	10420	11820	1	11
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	11670	12461	-1	12
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	12501	13160	1	13
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	13309	14286	1	14
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	14283	15437	1	15
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	15434	16495	1	16
c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV)	16488	17666	1	17
