query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,729ad68f76fcc9ad44|4eb54df82a07a71952|4eb54df82a07a71952|777491|MBRE01000043.1:13067-39725(REV);9637;10725;-,21.2,3.7e-06,363,36,127,167,267
2-Hacid_dh_C,PF02826.21,178,729ad68f76fcc9ad44|b9136844fa986e9a18|b9136844fa986e9a18|649638|NZ_KB235904.1:314674-341608(REV);9201;10289;-,20.5,6.3e-06,363,36,127,167,267
3HCDH_N,PF02737.20,180,729ad68f76fcc9ad44|b9136844fa986e9a18|b9136844fa986e9a18|649638|NZ_KB235904.1:314674-341608(REV);9201;10289;-,14.3,0.00076,363,0,41,168,209
3HCDH_N,PF02737.20,180,729ad68f76fcc9ad44|4eb54df82a07a71952|4eb54df82a07a71952|777491|MBRE01000043.1:13067-39725(REV);9637;10725;-,11.6,0.0049,363,0,40,168,208
7tm_1,PF00001.23,263,729ad68f76fcc9ad44|41a49d7e298fd5d4a9|25f56f7c6379f8b5af|7184451|NZ_SRRZ01000011.1:65763-86942(REV);19625;20452;-,8.4,0.031,276,149,251,129,230
7TM_GPCR_Srt,PF10321.11,313,729ad68f76fcc9ad44|d1f66d25f224d02cff|d1f66d25f224d02cff|2316331|RDXX01000008.1:205919-232622(FWD);16295;16534;+,14.2,0.00042,80,162,216,14,67
7TM_GPCR_Srt,PF10321.11,313,729ad68f76fcc9ad44|eac471d037a94d35fb|eac471d037a94d35fb|2316551|RDYN01000065.1:13455-40164(FWD);17617;17856;+,14.2,0.00042,80,162,216,14,67
7TM_GPCR_Srt,PF10321.11,313,729ad68f76fcc9ad44|1a6a0885e25353b7d8|1a6a0885e25353b7d8|7248571|JAAFKG010000062.1:24453-46066(FWD);16133;16372;+,13.8,0.00057,80,168,216,20,67
AAA,PF00004.31,132,729ad68f76fcc9ad44|4eb54df82a07a71952|4eb54df82a07a71952|777491|MBRE01000043.1:13067-39725(REV);7113;7673;-,20.6,1.2e-05,187,0,32,8,40
AAA,PF00004.31,132,729ad68f76fcc9ad44|1cffae066d711fc90f|1cffae066d711fc90f|2317061|REAP01000166.1:0-15282(FWD);351;1202;-,15.6,0.00043,284,2,22,61,83
AAA,PF00004.31,132,729ad68f76fcc9ad44|1cffae066d711fc90f|1cffae066d711fc90f|2317061|REAP01000166.1:0-15282(FWD);351;1202;-,15.6,0.00043,284,42,68,209,234
AAA,PF00004.31,132,729ad68f76fcc9ad44|4eb54df82a07a71952|4eb54df82a07a71952|777491|MBRE01000043.1:13067-39725(REV);23704;24441;+,12.6,0.0035,246,1,23,34,56
AAA,PF00004.31,132,729ad68f76fcc9ad44|dff8eeea3298bb2aa1|dff8eeea3298bb2aa1|6600171|JAAUPF010000126.1:0-20540(REV);6525;8291;+,12.2,0.0047,589,1,74,386,466
AAA,PF00004.31,132,729ad68f76fcc9ad44|dff8eeea3298bb2aa1|dff8eeea3298bb2aa1|6600171|JAAUPF010000126.1:0-20540(REV);6525;8291;+,12.2,0.0047,589,7,29,540,562
AAA_13,PF13166.8,713,729ad68f76fcc9ad44|729ad68f76fcc9ad44|729ad68f76fcc9ad44|5501391|NZ_WVIC01000016.1:1090-27661(REV);2067;2855;-,12.4,0.0012,263,17,38,36,57
AAA_13,PF13166.8,713,729ad68f76fcc9ad44|b9136844fa986e9a18|b9136844fa986e9a18|649638|NZ_KB235904.1:314674-341608(REV);12501;14435;+,8.3,0.022,645,154,209,53,108
AAA_13,PF13166.8,713,729ad68f76fcc9ad44|b9136844fa986e9a18|b9136844fa986e9a18|649638|NZ_KB235904.1:314674-341608(REV);12501;14435;+,8.3,0.022,645,283,348,329,394
