Contig	Start	End	Strand	Pos
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	3	872	-1	1
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	869	1666	-1	2
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	1710	2756	-1	3
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	2753	4273	-1	4
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	4270	5055	-1	5
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	5052	5990	-1	6
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	5991	7634	-1	7
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	7687	8169	-1	8
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	8212	9237	-1	9
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	9237	9743	-1	10
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	9746	10435	-1	11
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	10482	11015	-1	12
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	11186	11710	1	13
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	11712	12479	1	14
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	12500	13336	1	15
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	13460	14149	1	16
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	14236	16452	1	17
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	16506	17519	-1	18
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	17635	19089	1	19
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	19086	22586	-1	20
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	22667	23650	-1	21
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	24047	25489	-1	22
cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	25717	25836	1	23
cc3b1023fa38a3c1e6|714ee85b3991ec21c9|714ee85b3991ec21c9|2796381|NZ_SZPZ01000006.1:532699-558523(REV)	2	925	-1	1
cc3b1023fa38a3c1e6|714ee85b3991ec21c9|714ee85b3991ec21c9|2796381|NZ_SZPZ01000006.1:532699-558523(REV)	922	1725	-1	2
cc3b1023fa38a3c1e6|714ee85b3991ec21c9|714ee85b3991ec21c9|2796381|NZ_SZPZ01000006.1:532699-558523(REV)	1752	2798	-1	3
cc3b1023fa38a3c1e6|714ee85b3991ec21c9|714ee85b3991ec21c9|2796381|NZ_SZPZ01000006.1:532699-558523(REV)	2795	4315	-1	4
cc3b1023fa38a3c1e6|714ee85b3991ec21c9|714ee85b3991ec21c9|2796381|NZ_SZPZ01000006.1:532699-558523(REV)	4312	5097	-1	5
cc3b1023fa38a3c1e6|714ee85b3991ec21c9|714ee85b3991ec21c9|2796381|NZ_SZPZ01000006.1:532699-558523(REV)	5094	6032	-1	6
cc3b1023fa38a3c1e6|714ee85b3991ec21c9|714ee85b3991ec21c9|2796381|NZ_SZPZ01000006.1:532699-558523(REV)	6033	7559	-1	7
cc3b1023fa38a3c1e6|714ee85b3991ec21c9|714ee85b3991ec21c9|2796381|NZ_SZPZ01000006.1:532699-558523(REV)	7671	8153	-1	8
