Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Cas11d_0_CAS-I-D	e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)_2	294	207	0.002	12.6	969	1850	e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	2	0.14285714285714285	0.20772946859903382	1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|03434d69ce6d7b4087|03434d69ce6d7b4087|1556251|NZ_PQSS01000011.1:132728-147622(REV)_10	164	198	5e-07	24.2	9270	9761	e36a64acf9381581d3|03434d69ce6d7b4087|03434d69ce6d7b4087|1556251|NZ_PQSS01000011.1:132728-147622(REV)	10	0.31097560975609756	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)_21	165	198	2.3e-06	22.0	21074	21568	e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	21	0.3090909090909091	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|13dc7756039fa6d4f3|13dc7756039fa6d4f3|802091|NZ_MJAJ01000018.1:21503-47843(REV)_20	161	198	3.4e-06	21.5	20593	21075	e36a64acf9381581d3|13dc7756039fa6d4f3|13dc7756039fa6d4f3|802091|NZ_MJAJ01000018.1:21503-47843(REV)	20	0.3105590062111801	0.25252525252525254	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|2a85da1ea042e28dbb|2a85da1ea042e28dbb|193751|NZ_JOFH01000019.1:146974-173233(FWD)_22	165	198	4.4e-06	21.1	21041	21535	e36a64acf9381581d3|2a85da1ea042e28dbb|2a85da1ea042e28dbb|193751|NZ_JOFH01000019.1:146974-173233(FWD)	22	0.3090909090909091	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|2b6b82c83a3befb270|2b6b82c83a3befb270|2022231|NZ_CP023407.1:5226260-5252408(REV)_20	165	198	1.1e-06	23.1	20957	21451	e36a64acf9381581d3|2b6b82c83a3befb270|2b6b82c83a3befb270|2022231|NZ_CP023407.1:5226260-5252408(REV)	20	0.3333333333333333	0.2777777777777778	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|37f69aa23097a12213|37f69aa23097a12213|192131|NZ_JODM01000032.1:34486-60634(REV)_22	165	198	4.5e-06	21.1	21586	22080	e36a64acf9381581d3|37f69aa23097a12213|37f69aa23097a12213|192131|NZ_JODM01000032.1:34486-60634(REV)	22	0.3090909090909091	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|65a933fce5f7603ffb|65a933fce5f7603ffb|8120211|NZ_BMSX01000025.1:116072-142217(REV)_24	164	198	2.7e-06	21.8	21246	21737	e36a64acf9381581d3|65a933fce5f7603ffb|65a933fce5f7603ffb|8120211|NZ_BMSX01000025.1:116072-142217(REV)	24	0.31097560975609756	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|8020d52460f97f3015|8020d52460f97f3015|2021691|NZ_RCCZ01000002.1:1465371-1491540(REV)_21	165	198	1.6e-06	22.5	20572	21066	e36a64acf9381581d3|8020d52460f97f3015|8020d52460f97f3015|2021691|NZ_RCCZ01000002.1:1465371-1491540(REV)	21	0.30303030303030304	0.25252525252525254	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|8bfc6066df24a87426|8bfc6066df24a87426|1020391|NZ_CM007717.1:5718298-5744485(REV)_23	157	198	1.8e-06	22.4	20667	21137	e36a64acf9381581d3|8bfc6066df24a87426|8bfc6066df24a87426|1020391|NZ_CM007717.1:5718298-5744485(REV)	23	0.3248407643312102	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|be913d20bf12cc74b5|be913d20bf12cc74b5|2352841|NZ_SNZM01000005.1:15267-41361(FWD)_25	160	198	1.9e-06	22.3	22092	22571	e36a64acf9381581d3|be913d20bf12cc74b5|be913d20bf12cc74b5|2352841|NZ_SNZM01000005.1:15267-41361(FWD)	25	0.31875	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|c7cfe4e34851d3db33|c7cfe4e34851d3db33|618691|NZ_KQ949025.1:42297-68475(FWD)_25	160	198	3.6e-06	21.4	23334	23813	e36a64acf9381581d3|c7cfe4e34851d3db33|c7cfe4e34851d3db33|618691|NZ_KQ949025.1:42297-68475(FWD)	25	0.31875	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	e36a64acf9381581d3|c8c2f30148b6df650d|abbc4b12be16fa5cb1|195831|NZ_JFCB01000017.1:5183-31343(REV)_21	165	198	1.8e-06	22.4	23914	24408	e36a64acf9381581d3|c8c2f30148b6df650d|abbc4b12be16fa5cb1|195831|NZ_JFCB01000017.1:5183-31343(REV)	21	0.3333333333333333	0.2777777777777778	-1
