query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,0a3217e07a25d0cbe0|c86c0847b4c83ce5ff|c86c0847b4c83ce5ff|3213571|VBJR01000211.1:0-13785(FWD);12543;13379;-,20.8,5.4e-06,279,35,100,3,71
2-Hacid_dh_C,PF02826.21,178,0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV);8428;9804;+,19.9,1.1e-05,459,37,70,1,34
2-Hacid_dh_C,PF02826.21,178,0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV);8428;9804;+,19.9,1.1e-05,459,26,72,223,273
3Beta_HSD,PF01073.21,280,0a3217e07a25d0cbe0|90c25d6bc20048401e|90c25d6bc20048401e|4837061|NZ_WBMT01000021.1:94807-120688(FWD);281;1213;-,19.7,1e-05,311,1,168,4,177
3HCDH_N,PF02737.20,180,0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV);8428;9804;+,18.8,3.3e-05,459,0,44,1,45
3HCDH_N,PF02737.20,180,0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV);8428;9804;+,18.8,3.3e-05,459,1,42,235,278
3HCDH_N,PF02737.20,180,0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV);13368;14240;+,17.6,8e-05,291,0,48,2,51
3HCDH_N,PF02737.20,180,0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV);13368;14240;+,17.6,8e-05,291,19,66,130,177
7TMR-DISM_7TM,PF07695.13,205,0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV);271;1065;+,12.3,0.0035,265,123,157,2,36
7TMR-DISM_7TM,PF07695.13,205,0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV);271;1065;+,12.3,0.0035,265,37,145,32,144
