Contig	Start	End	Strand	Pos
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	3	677	1	1
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	1830	2141	1	2
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	2155	2496	1	3
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	2539	3189	1	4
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	3234	3833	1	5
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	3797	4375	1	6
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	4369	5067	1	7
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	5077	5703	1	8
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	5675	6880	1	9
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	6864	8066	-1	10
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	8130	8777	1	11
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	8725	9246	1	12
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	9194	9748	1	13
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	9745	10191	1	14
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	10361	11068	1	15
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	11078	11776	1	16
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	11783	12526	1	17
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	12501	13229	1	18
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	13231	14082	1	19
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	14075	14287	1	20
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	14352	14774	1	21
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	14782	15036	1	22
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	15014	15394	1	23
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	15430	16131	1	24
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	16221	18434	1	25
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	18471	19160	1	26
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	19143	20606	-1	27
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	20614	21189	1	28
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	21204	22217	1	29
f45a906808c45716e4|9262cc07eda603ede3|9262cc07eda603ede3|4539311|NZ_AP018929.1:1536503-1562231(REV)	22386	25517	1	30
f45a906808c45716e4|12baee9522beeb3702|12baee9522beeb3702|790561|NZ_CP017006.1:443149-468886(FWD)	3	215	1	1
f45a906808c45716e4|12baee9522beeb3702|12baee9522beeb3702|790561|NZ_CP017006.1:443149-468886(FWD)	809	1087	-1	2
f45a906808c45716e4|12baee9522beeb3702|12baee9522beeb3702|790561|NZ_CP017006.1:443149-468886(FWD)	1907	2239	1	3
f45a906808c45716e4|12baee9522beeb3702|12baee9522beeb3702|790561|NZ_CP017006.1:443149-468886(FWD)	2243	2584	1	4
f45a906808c45716e4|12baee9522beeb3702|12baee9522beeb3702|790561|NZ_CP017006.1:443149-468886(FWD)	2642	3250	1	5
f45a906808c45716e4|12baee9522beeb3702|12baee9522beeb3702|790561|NZ_CP017006.1:443149-468886(FWD)	3247	3903	1	6
f45a906808c45716e4|12baee9522beeb3702|12baee9522beeb3702|790561|NZ_CP017006.1:443149-468886(FWD)	3855	4451	1	7
f45a906808c45716e4|12baee9522beeb3702|12baee9522beeb3702|790561|NZ_CP017006.1:443149-468886(FWD)	4441	5160	1	8
