Contig	Start	End	Strand	Pos
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	165	1304	-1	1
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	1304	1906	-1	2
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	2953	4095	-1	3
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	4085	5545	-1	4
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	5547	6089	-1	5
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	9457	10272	-1	6
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	10399	11550	-1	7
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	11988	12248	-1	8
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	12500	13282	1	9
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	13285	14382	1	10
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	15034	15483	-1	11
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	15496	16362	-1	12
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	16359	16655	-1	13
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	16771	17652	-1	14
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	17960	19168	-1	15
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	19426	20661	-1	16
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	21104	21628	1	17
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	22151	23020	-1	18
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	23166	24590	1	19
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	24596	24979	1	20
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	25040	25549	1	21
c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	25546	25782	1	22
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	121	765	-1	1
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	1005	1133	1	2
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	1203	1991	1	3
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	2161	2817	-1	4
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	3094	4170	1	5
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	4413	4847	-1	6
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	5175	6581	-1	7
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	6571	7962	-1	8
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	8126	9061	-1	9
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	9215	10252	-1	10
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	10444	10929	-1	11
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	11124	11690	-1	12
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	11851	12135	-1	13
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	12501	13283	1	14
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	13286	14383	1	15
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	14733	16208	1	16
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	17003	17323	1	17
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	17303	18901	-1	18
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	19563	20138	1	19
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	20210	20497	1	20
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	20540	21418	1	21
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	21526	22380	1	22
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	22387	22956	1	23
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	23023	23343	-1	24
c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	24305	25780	1	25
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	3	944	-1	1
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	999	2228	-1	2
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	2259	4655	-1	3
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	4757	5737	1	4
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	5788	6873	-1	5
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	6928	7338	-1	6
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	7759	8397	-1	7
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	8400	8912	-1	8
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	9111	9851	-1	9
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	10241	11074	-1	10
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	11398	11613	-1	11
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	12501	13286	1	12
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	13298	14395	1	13
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	14629	14955	-1	14
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	15988	17139	1	15
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	17181	20627	1	16
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	20624	21541	1	17
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	21538	21888	1	18
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	21962	24994	-1	19
c1050b21cc75640d51|acddb38f14873225e8|5420e16bd1f18e99a1|909641|NZ_FQXT01000004.1:323479-349264(REV)	25125	25784	1	20
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	2	619	-1	1
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	630	1307	-1	2
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	1368	4220	-1	3
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	4318	5757	-1	4
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	5858	7060	-1	5
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	7062	8681	-1	6
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	8998	10038	1	7
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	10007	10372	1	8
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	10369	11574	1	9
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	11851	12084	-1	10
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	12501	13283	1	11
c1050b21cc75640d51|a799b6de1422ab2ee2|a799b6de1422ab2ee2|882361|NZ_FOOH01000041.1:0-14821(REV)	13286	14386	1	12
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	1	498	-1	1
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	523	1377	-1	2
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	1389	1703	-1	3
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	1744	5958	-1	4
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	6140	6628	-1	5
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	6935	7141	-1	6
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	7153	8463	-1	7
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	8501	9103	-1	8
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	9100	9474	-1	9
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	9771	10358	-1	10
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	10497	11036	-1	11
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	11526	11789	-1	12
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	12500	13294	1	13
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	13297	14394	1	14
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	14632	14958	-1	15
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	16017	17861	1	16
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	17863	18786	1	17
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	18790	19521	1	18
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	19518	20774	1	19
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	20826	21140	1	20
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	21152	22006	1	21
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	22059	23042	1	22
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	23073	23756	1	23
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	23756	24754	1	24
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	24751	25041	1	25
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	25041	25616	1	26
c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD)	25664	25792	1	27
c1050b21cc75640d51|a95cff64ff7885510a|a95cff64ff7885510a|1407411|PAPI01000003.1:0-17910(FWD)	1	459	-1	1
c1050b21cc75640d51|a95cff64ff7885510a|a95cff64ff7885510a|1407411|PAPI01000003.1:0-17910(FWD)	599	1351	-1	2
