query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|72b36e7d8019ffdff0|72b36e7d8019ffdff0|1151441|NZ_LT607750.1:1929354-1955181(FWD);16934;18415;+,31.5,6.1e-09,494,33,127,270,360
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|2c9f7752d76fbd2e9b|2c9f7752d76fbd2e9b|5355931|NZ_CP046121.1:927379-953197(REV);18143;19261;+,26.3,2.4e-07,373,33,127,165,268
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|2c9f7752d76fbd2e9b|2c9f7752d76fbd2e9b|5355931|NZ_CP046121.1:927379-953197(REV);10056;11036;+,18.7,5e-05,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|0f0fc2c90386413ccc|0f0fc2c90386413ccc|92281|NZ_KI912599.1:144259-169999(FWD);10074;10994;+,18.6,5.6e-05,307,32,99,112,179
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|659fd273a20e7ec7c1|659fd273a20e7ec7c1|2010651|NZ_RBKT01000001.1:663380-689204(FWD);10013;10993;+,16.5,0.00024,327,33,97,143,208
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|bb2587cb90c9d27c0d|bb2587cb90c9d27c0d|5061311|WHTB01000093.1:0-13590(REV);110;1105;-,16.3,0.00027,332,33,95,143,205
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|4494f5609734a8b099|4494f5609734a8b099|6600011|NZ_JAATEO010000024.1:0-23512(FWD);6412;7395;+,16.0,0.00036,328,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|8d91ae475025932c8e|8d91ae475025932c8e|624428|NZ_ANBB01000056.1:0-19726(REV);9928;10902;+,15.1,0.00064,325,33,104,143,214
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|a8edc77a9e9e021828|a8edc77a9e9e021828|272238|NC_015434.1:3462206-3488057(FWD);10060;11040;+,14.8,0.00082,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|dfd8df1f3b09a3790b|dfd8df1f3b09a3790b|2281661|NZ_SHKZ01000001.1:4468225-4494064(REV);10084;11064;+,14.8,0.00084,327,32,96,142,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|4494f5609734a8b099|1ebeb65b9ea9f17b1a|5355901|NZ_CP046104.1:3617101-3642925(FWD);10088;11071;+,14.7,0.00085,328,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|00e6974499440e2179|00e6974499440e2179|4255171|NZ_VLKE01000001.1:5782487-5808017(REV);9639;10640;+,14.7,0.00088,334,33,96,150,214
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|5957b500af7bd42b1d|5957b500af7bd42b1d|1757941|NZ_POTX01000016.1:26583-47883(REV);5523;6503;+,14.5,0.00097,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|1c4b276f67f480f72e|b5afece3e4cffb11aa|1151491|NZ_LT607733.1:2373343-2399167(FWD);10083;11063;+,14.5,0.001,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|e366d20f68a5f97fd9|e366d20f68a5f97fd9|7885471|NZ_JACHDB010000001.1:4488075-4513917(FWD);9649;10623;+,14.0,0.0014,325,33,101,143,211
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|a56d2c2a3ee3fc5b25|a56d2c2a3ee3fc5b25|2004761|NZ_RAQQ01000001.1:101703-127512(REV);10043;11023;+,13.9,0.0015,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|4d7c2ae61bc45f85ae|4d7c2ae61bc45f85ae|2345151|NZ_SMKG01000045.1:17174-32978(FWD);9927;10907;+,13.5,0.002,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|7d10056d6548f33f8a|7d10056d6548f33f8a|8118551|NZ_BMNB01000002.1:136079-161918(REV);10062;11042;+,13.2,0.0025,327,33,83,143,194
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|18b9646d6b1f4400cc|18b9646d6b1f4400cc|879881|NZ_FNYV01000002.1:147216-173040(REV);10056;11036;+,13.2,0.0026,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|59c592ce60f845e6f8|59c592ce60f845e6f8|1757951|NZ_POTY01000179.1:0-14897(FWD);3626;4606;+,12.9,0.0031,327,32,96,142,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|b644929f69e0f89169|b644929f69e0f89169|6551221|NZ_JAATVY010000007.1:5254-31063(REV);10035;11039;+,12.9,0.0032,335,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|9440e72d6f8f2f064e|9440e72d6f8f2f064e|188538|NZ_GG657738.1:576471-602136(REV);9752;10513;+,12.8,0.0033,254,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|1e9ce7708d722c7ce3|1e9ce7708d722c7ce3|1986341|NZ_QXEC01000014.1:119585-145436(REV);10058;11038;+,12.8,0.0034,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|bac48e3e4e5a28185b|bac48e3e4e5a28185b|1430781|NZ_PEFR01000001.1:1596720-1622544(REV);10053;11033;+,12.7,0.0037,327,33,98,143,208
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|89a62641c1b3faad68|89a62641c1b3faad68|8237271|NZ_JADBEM010000001.1:2711753-2737631(REV);10041;11018;+,12.4,0.0044,326,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD);10049;11029;+,12.3,0.0048,327,32,96,142,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|0ef452ab7918ca424b|0ef452ab7918ca424b|1881601|NZ_QVFU01000007.1:112782-138603(REV);9988;10968;+,11.9,0.0065,327,32,96,142,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|def1ef92987a2e72a2|def1ef92987a2e72a2|789861|NZ_FMHZ01000002.1:1001101-1026937(REV);2355;3194;+,11.8,0.0067,280,36,95,4,60
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|426d467ff5b1891dcf|426d467ff5b1891dcf|2339451|NZ_RQRT01000013.1:28626-54393(REV);11143;12087;+,11.8,0.0067,315,34,96,136,199
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|04ceb02140e5b1084b|04ceb02140e5b1084b|789881|NZ_FMIC01000002.1:4930824-4956642(FWD);10034;11014;+,11.8,0.0068,327,33,98,143,208
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|f529b0f4f6795720ce|f529b0f4f6795720ce|2345221|NZ_SMKN01000048.1:0-16778(FWD);1044;2021;+,11.6,0.0078,326,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|bd15833889c9131a6d|bd15833889c9131a6d|2337511|NZ_SJJR01000001.1:258138-284010(REV);10050;11030;+,11.5,0.0082,327,33,88,143,199
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|a49d9634c65b2b2a1c|a49d9634c65b2b2a1c|5782741|NZ_SAIY01000012.1:62934-88758(FWD);10052;11032;+,11.5,0.0083,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|36edd755dbd6078a42|36edd755dbd6078a42|789871|NZ_FMIA01000002.1:3408346-3434194(FWD);10043;11023;+,11.5,0.0086,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|5c26660ffa8d04b727|5c26660ffa8d04b727|882851|NZ_FOLJ01000003.1:340853-366680(FWD);10052;11032;+,11.3,0.0094,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|72b36e7d8019ffdff0|72b36e7d8019ffdff0|1151441|NZ_LT607750.1:1929354-1955181(FWD);10031;11011;+,11.3,0.0097,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|477a36a148d4f24837|477a36a148d4f24837|7291011|NZ_CP054923.1:4085588-4111409(FWD);9897;10877;+,11.0,0.012,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|e169d5df064c1cf8bf|e169d5df064c1cf8bf|789421|NZ_FMCT01000023.1:70087-89782(FWD);10043;11038;+,11.0,0.012,332,33,98,143,208
2-Hacid_dh_C,PF02826.21,178,d90f25484d732aa877|f9dac394a6c8c6a52b|157fe04c4dc59b05ed|2345181|NZ_SMKD01000120.1:575-17121(REV);812;1789;+,10.9,0.013,326,33,96,143,207
3Beta_HSD,PF01073.21,280,d90f25484d732aa877|4494f5609734a8b099|1ebeb65b9ea9f17b1a|5355901|NZ_CP046104.1:3617101-3642925(FWD);2451;3635;+,50.7,7.2e-15,395,0,123,22,145
3Beta_HSD,PF01073.21,280,d90f25484d732aa877|4494f5609734a8b099|1ebeb65b9ea9f17b1a|5355901|NZ_CP046104.1:3617101-3642925(FWD);2451;3635;+,50.7,7.2e-15,395,172,230,219,283
3Beta_HSD,PF01073.21,280,d90f25484d732aa877|f9dac394a6c8c6a52b|157fe04c4dc59b05ed|2345181|NZ_SMKD01000120.1:575-17121(REV);13840;14904;-,49.1,2.3e-14,355,0,122,3,125
3Beta_HSD,PF01073.21,280,d90f25484d732aa877|f9dac394a6c8c6a52b|157fe04c4dc59b05ed|2345181|NZ_SMKD01000120.1:575-17121(REV);13840;14904;-,49.1,2.3e-14,355,142,229,175,263
3Beta_HSD,PF01073.21,280,d90f25484d732aa877|a56d2c2a3ee3fc5b25|a56d2c2a3ee3fc5b25|2004761|NZ_RAQQ01000001.1:101703-127512(REV);21025;22089;+,49.0,2.4e-14,355,0,122,3,125
3Beta_HSD,PF01073.21,280,d90f25484d732aa877|a56d2c2a3ee3fc5b25|a56d2c2a3ee3fc5b25|2004761|NZ_RAQQ01000001.1:101703-127512(REV);21025;22089;+,49.0,2.4e-14,355,143,229,176,263
3HCDH_N,PF02737.20,180,d90f25484d732aa877|0f0fc2c90386413ccc|0f0fc2c90386413ccc|92281|NZ_KI912599.1:144259-169999(FWD);10074;10994;+,24.3,1.5e-06,307,1,39,118,157
3HCDH_N,PF02737.20,180,d90f25484d732aa877|dfd8df1f3b09a3790b|dfd8df1f3b09a3790b|2281661|NZ_SHKZ01000001.1:4468225-4494064(REV);10084;11064;+,23.2,3.3e-06,327,1,36,148,184
3HCDH_N,PF02737.20,180,d90f25484d732aa877|9440e72d6f8f2f064e|9440e72d6f8f2f064e|188538|NZ_GG657738.1:576471-602136(REV);9752;10513;+,22.9,3.8e-06,254,1,38,148,186
3HCDH_N,PF02737.20,180,d90f25484d732aa877|4494f5609734a8b099|1ebeb65b9ea9f17b1a|5355901|NZ_CP046104.1:3617101-3642925(FWD);10088;11071;+,22.8,4.2e-06,328,1,38,148,186
3HCDH_N,PF02737.20,180,d90f25484d732aa877|4494f5609734a8b099|4494f5609734a8b099|6600011|NZ_JAATEO010000024.1:0-23512(FWD);6412;7395;+,22.7,4.4e-06,328,1,39,148,187
3HCDH_N,PF02737.20,180,d90f25484d732aa877|36edd755dbd6078a42|36edd755dbd6078a42|789871|NZ_FMIA01000002.1:3408346-3434194(FWD);10043;11023;+,21.8,8.6e-06,327,1,36,148,184
