Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	97127aa4b059e7df3b|6366a9278d1402bd5b|6366a9278d1402bd5b|8559381|WANR01000047.1:5288-31121(FWD)_5	225	284	2.7e-08	28.3	2749	3423	97127aa4b059e7df3b|6366a9278d1402bd5b|6366a9278d1402bd5b|8559381|WANR01000047.1:5288-31121(FWD)	5	0.27111111111111114	0.20774647887323944	-1
AbiEii_1_CAS-III-A	97127aa4b059e7df3b|0467ce0e53d505473e|0467ce0e53d505473e|8559151|WAOS01000016.1:0-16716(REV)_19	124	335	0.006	10.4	13721	14092	97127aa4b059e7df3b|0467ce0e53d505473e|0467ce0e53d505473e|8559151|WAOS01000016.1:0-16716(REV)	19	0.7983870967741935	0.2955223880597015	1
AbiEii_1_CAS-III-A	97127aa4b059e7df3b|6366a9278d1402bd5b|6366a9278d1402bd5b|8559381|WANR01000047.1:5288-31121(FWD)_5	225	335	0.0029	11.4	2749	3423	97127aa4b059e7df3b|6366a9278d1402bd5b|6366a9278d1402bd5b|8559381|WANR01000047.1:5288-31121(FWD)	5	0.19111111111111112	0.1253731343283582	-1
Cas12f1_2_CAS-V-F	97127aa4b059e7df3b|1ab1fbf4d27c7f8c2a|1ab1fbf4d27c7f8c2a|79761|AYMD01000009.1:210504-236349(REV)_15	90	429	0.0021	11.7	13358	13627	97127aa4b059e7df3b|1ab1fbf4d27c7f8c2a|1ab1fbf4d27c7f8c2a|79761|AYMD01000009.1:210504-236349(REV)	15	0.36666666666666664	0.07692307692307693	1
Cas12f1_2_CAS-V-F	97127aa4b059e7df3b|97127aa4b059e7df3b|97127aa4b059e7df3b|1702621|QEFE01000004.1:0-4574(FWD)_2	90	429	0.0012	12.5	404	673	97127aa4b059e7df3b|97127aa4b059e7df3b|97127aa4b059e7df3b|1702621|QEFE01000004.1:0-4574(FWD)	2	0.36666666666666664	0.07692307692307693	1
Cas12f1_2_CAS-V-F	97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)_16	90	429	0.0036	11.0	13356	13625	97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	16	0.36666666666666664	0.07692307692307693	1
Cas12f1_2_CAS-V-F	97127aa4b059e7df3b|e7b79c05d67df8deb2|e7b79c05d67df8deb2|1906761|NZ_CP010515.1:1341557-1367402(REV)_14	91	429	0.0047	10.6	13353	13625	97127aa4b059e7df3b|e7b79c05d67df8deb2|e7b79c05d67df8deb2|1906761|NZ_CP010515.1:1341557-1367402(REV)	14	0.3626373626373626	0.07692307692307693	1
Cas12f1_2_CAS-V-F	97127aa4b059e7df3b|f27da40233a6e4dd3b|f27da40233a6e4dd3b|274618|NC_014374.1:1114120-1139962(REV)_14	91	429	0.0028	11.3	13350	13622	97127aa4b059e7df3b|f27da40233a6e4dd3b|f27da40233a6e4dd3b|274618|NC_014374.1:1114120-1139962(REV)	14	0.3516483516483517	0.07459207459207459	1
Cas12f2_1_CAS-V-F	97127aa4b059e7df3b|1ab1fbf4d27c7f8c2a|1ab1fbf4d27c7f8c2a|79761|AYMD01000009.1:210504-236349(REV)_15	90	422	0.0016	12.2	13358	13627	97127aa4b059e7df3b|1ab1fbf4d27c7f8c2a|1ab1fbf4d27c7f8c2a|79761|AYMD01000009.1:210504-236349(REV)	15	0.4	0.08530805687203792	1
Cas12f2_1_CAS-V-F	97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)_15	89	422	0.00037	14.3	13341	13607	97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	15	0.4044943820224719	0.08530805687203792	1
