Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	0a3217e07a25d0cbe0|a0197df829e00fcbf0|a0197df829e00fcbf0|1786491|NZ_QLYX01000002.1:562607-588464(FWD)_1	427	284	0.0001	17.0	1	1281	0a3217e07a25d0cbe0|a0197df829e00fcbf0|a0197df829e00fcbf0|1786491|NZ_QLYX01000002.1:562607-588464(FWD)	1	0.33021077283372363	0.30985915492957744	1
AbiEii_1_CAS-III-A	0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV)_5	744	335	0.049	7.8	4725	6956	0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV)	5	0.2674731182795699	0.2746268656716418	1
AbiEii_1_CAS-III-A	0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)_5	333	335	0.0025	12.0	3471	4469	0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	5	0.2672672672672673	0.2656716417910448	-1
Cas2_0_CAS-III-AM	0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)_9	405	95	2.1e-05	19.9	8925	10139	0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	9	0.14814814814814814	0.3894736842105263	1
Cas8a1_3_CAS-I-A	0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)_3	266	400	0.0061	10.7	1811	2608	0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	3	0.15037593984962405	0.085	-1
CasR_0_CAS-I-II-III-IV-V-VI	0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV)_15	253	198	0.0015	13.3	16311	17069	0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV)	15	0.16996047430830039	0.21212121212121213	1
CasR_0_CAS-I-II-III-IV-V-VI	0a3217e07a25d0cbe0|44d0e084966192e083|44d0e084966192e083|1154621|NZ_FZNP01000005.1:75953-101837(FWD)_3	147	198	0.00029	15.5	821	1261	0a3217e07a25d0cbe0|44d0e084966192e083|44d0e084966192e083|1154621|NZ_FZNP01000005.1:75953-101837(FWD)	3	0.3945578231292517	0.29292929292929293	-1
CasR_0_CAS-I-II-III-IV-V-VI	0a3217e07a25d0cbe0|44d0e084966192e083|afc324c9789d97014a|7343141|NZ_JACCBT010000001.1:3282886-3308770(REV)_2	117	198	0.0063	11.2	117	467	0a3217e07a25d0cbe0|44d0e084966192e083|afc324c9789d97014a|7343141|NZ_JACCBT010000001.1:3282886-3308770(REV)	2	0.4700854700854701	0.2777777777777778	-1
CasR_0_CAS-I-II-III-IV-V-VI	0a3217e07a25d0cbe0|90c25d6bc20048401e|90c25d6bc20048401e|4837061|NZ_WBMT01000021.1:94807-120688(FWD)_3	245	198	0.00028	15.6	1298	2032	0a3217e07a25d0cbe0|90c25d6bc20048401e|90c25d6bc20048401e|4837061|NZ_WBMT01000021.1:94807-120688(FWD)	3	0.20408163265306123	0.25757575757575757	-1
CasR_0_CAS-I-II-III-IV-V-VI	0a3217e07a25d0cbe0|c86c0847b4c83ce5ff|c86c0847b4c83ce5ff|3213571|VBJR01000211.1:0-13785(FWD)_8	327	198	0.00037	15.2	9521	10501	0a3217e07a25d0cbe0|c86c0847b4c83ce5ff|c86c0847b4c83ce5ff|3213571|VBJR01000211.1:0-13785(FWD)	8	0.1437308868501529	0.2474747474747475	-1
CasR_1_CAS-I-II-III-IV-V-VI	0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV)_15	253	218	0.0011	13.3	16311	17069	0a3217e07a25d0cbe0|229169593dd1dee04c|229169593dd1dee04c|5357771|NZ_SMMC01000182.1:1246-27067(REV)	15	0.16996047430830039	0.1926605504587156	1
CasR_1_CAS-I-II-III-IV-V-VI	0a3217e07a25d0cbe0|44d0e084966192e083|44d0e084966192e083|1154621|NZ_FZNP01000005.1:75953-101837(FWD)_3	147	218	0.0018	12.5	821	1261	0a3217e07a25d0cbe0|44d0e084966192e083|44d0e084966192e083|1154621|NZ_FZNP01000005.1:75953-101837(FWD)	3	0.36054421768707484	0.24311926605504589	-1
CasR_1_CAS-I-II-III-IV-V-VI	0a3217e07a25d0cbe0|90c25d6bc20048401e|90c25d6bc20048401e|4837061|NZ_WBMT01000021.1:94807-120688(FWD)_3	245	218	0.00065	14.0	1298	2032	0a3217e07a25d0cbe0|90c25d6bc20048401e|90c25d6bc20048401e|4837061|NZ_WBMT01000021.1:94807-120688(FWD)	3	0.20408163265306123	0.23394495412844038	-1
