Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	4e45823b6b83464d6e|006a73897e3fb2a479|b56c9e854cc181c3a7|8119001|NZ_BMOU01000006.1:4467-29898(REV)_27	786	284	0.01	12.3	23072	25429	4e45823b6b83464d6e|006a73897e3fb2a479|b56c9e854cc181c3a7|8119001|NZ_BMOU01000006.1:4467-29898(REV)	27	0.03816793893129771	0.1056338028169014	1
AbiEii_0_CAS-III	4e45823b6b83464d6e|2e1b92deaa16fc28b2|2e1b92deaa16fc28b2|999901|NZ_CP019067.1:2292926-2318306(FWD)_19	305	284	1.2e-05	21.9	15857	16771	4e45823b6b83464d6e|2e1b92deaa16fc28b2|2e1b92deaa16fc28b2|999901|NZ_CP019067.1:2292926-2318306(FWD)	19	0.3770491803278688	0.3908450704225352	-1
AbiEii_0_CAS-III	4e45823b6b83464d6e|587cb75a8bd500ac5c|587cb75a8bd500ac5c|536788|NZ_AOIR01000053.1:0-21622(REV)_16	338	284	3.2e-08	30.3	15975	16988	4e45823b6b83464d6e|587cb75a8bd500ac5c|587cb75a8bd500ac5c|536788|NZ_AOIR01000053.1:0-21622(REV)	16	0.2603550295857988	0.29225352112676056	1
AbiEii_0_CAS-III	4e45823b6b83464d6e|587cb75a8bd500ac5c|587cb75a8bd500ac5c|953061|NZ_LWLN01000001.1:3003205-3028585(FWD)_20	338	284	5.3e-08	29.6	17554	18567	4e45823b6b83464d6e|587cb75a8bd500ac5c|587cb75a8bd500ac5c|953061|NZ_LWLN01000001.1:3003205-3028585(FWD)	20	0.2603550295857988	0.29225352112676056	1
AbiEii_0_CAS-III	4e45823b6b83464d6e|587cb75a8bd500ac5c|b0c51ba753bfa56ed3|2799151|NZ_SZNP01000001.1:573089-598469(REV)_8	372	284	0.0012	15.4	6831	7946	4e45823b6b83464d6e|587cb75a8bd500ac5c|b0c51ba753bfa56ed3|2799151|NZ_SZNP01000001.1:573089-598469(REV)	8	0.32526881720430106	0.426056338028169	-1
AbiEii_0_CAS-III	4e45823b6b83464d6e|5f358d1d979988c795|5f358d1d979988c795|2037911|NZ_RDQG01000024.1:0-20613(REV)_6	912	284	0.0012	15.3	4411	7146	4e45823b6b83464d6e|5f358d1d979988c795|5f358d1d979988c795|2037911|NZ_RDQG01000024.1:0-20613(REV)	6	0.24890350877192982	0.5316901408450704	1
AbiEii_0_CAS-III	4e45823b6b83464d6e|a576156387192dfce7|a576156387192dfce7|878111|NZ_FNYR01000002.1:198534-223914(REV)_23	287	284	0.0022	14.5	21144	22004	4e45823b6b83464d6e|a576156387192dfce7|a576156387192dfce7|878111|NZ_FNYR01000002.1:198534-223914(REV)	23	0.1916376306620209	0.18661971830985916	1
AbiEii_0_CAS-III	4e45823b6b83464d6e|a576156387192dfce7|a576156387192dfce7|878111|NZ_FNYR01000002.1:198534-223914(REV)_24	276	284	5.6e-08	29.5	22001	22828	4e45823b6b83464d6e|a576156387192dfce7|a576156387192dfce7|878111|NZ_FNYR01000002.1:198534-223914(REV)	24	0.32971014492753625	0.30633802816901406	1
AbiEii_0_CAS-III	4e45823b6b83464d6e|a685d342db2f341679|a685d342db2f341679|2559571|NZ_CAAHFB010000001.1:1651177-1676557(FWD)_4	380	284	0.0022	14.5	2867	4006	4e45823b6b83464d6e|a685d342db2f341679|a685d342db2f341679|2559571|NZ_CAAHFB010000001.1:1651177-1676557(FWD)	4	0.3026315789473684	0.4014084507042254	-1
AbiEii_0_CAS-III	4e45823b6b83464d6e|b8a109246f823f7d77|b8a109246f823f7d77|43168|NC_012028.1:121066-146497(FWD)_4	374	284	7.7e-07	25.8	3312	4433	4e45823b6b83464d6e|b8a109246f823f7d77|b8a109246f823f7d77|43168|NC_012028.1:121066-146497(FWD)	4	0.4625668449197861	0.6126760563380281	1
