Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	49c65ceeadb463ef7d|d8b4c70715bfc90397|d8b4c70715bfc90397|488711|NZ_LJCV01000033.1:56912-82499(REV)_1	581	284	0.0041	11.7	3	1745	49c65ceeadb463ef7d|d8b4c70715bfc90397|d8b4c70715bfc90397|488711|NZ_LJCV01000033.1:56912-82499(REV)	1	0.043029259896729774	0.0880281690140845	-1
Cas8e_4_CAS-I-E	49c65ceeadb463ef7d|2da548495b07918fb9|2da548495b07918fb9|4253841|NZ_VISR01000009.1:37317-62871(REV)_26	144	465	0.0016	12.5	25121	25552	49c65ceeadb463ef7d|2da548495b07918fb9|2da548495b07918fb9|4253841|NZ_VISR01000009.1:37317-62871(REV)	26	0.625	0.1956989247311828	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|183000d8240c9a26e1|183000d8240c9a26e1|3920071|NZ_BJTV01000017.1:36168-61719(REV)_10	147	198	0.00022	15.9	8995	9435	49c65ceeadb463ef7d|183000d8240c9a26e1|183000d8240c9a26e1|3920071|NZ_BJTV01000017.1:36168-61719(REV)	10	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|2da548495b07918fb9|2da548495b07918fb9|4253841|NZ_VISR01000009.1:37317-62871(REV)_11	147	198	0.00021	16.0	8999	9439	49c65ceeadb463ef7d|2da548495b07918fb9|2da548495b07918fb9|4253841|NZ_VISR01000009.1:37317-62871(REV)	11	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|2da548495b07918fb9|e24500b4ca471215e1|1166431|NZ_MCGQ01000037.1:37341-62895(REV)_11	147	198	0.00021	16.0	8991	9431	49c65ceeadb463ef7d|2da548495b07918fb9|e24500b4ca471215e1|1166431|NZ_MCGQ01000037.1:37341-62895(REV)	11	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|33568408f4563e3494|33568408f4563e3494|4288231|NZ_VOGW01000189.1:0-24886(REV)_9	147	198	0.00022	15.9	8908	9348	49c65ceeadb463ef7d|33568408f4563e3494|33568408f4563e3494|4288231|NZ_VOGW01000189.1:0-24886(REV)	9	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|33568408f4563e3494|c3fcc93dc1ac6259c2|869271|NZ_FNTD01000004.1:1640026-1665580(REV)_9	147	198	0.00022	15.9	8909	9349	49c65ceeadb463ef7d|33568408f4563e3494|c3fcc93dc1ac6259c2|869271|NZ_FNTD01000004.1:1640026-1665580(REV)	9	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|37bc3fe3bbaed1ae40|37bc3fe3bbaed1ae40|797511|NZ_CP017248.1:7958551-7984102(FWD)_11	147	198	0.00022	16.0	8974	9414	49c65ceeadb463ef7d|37bc3fe3bbaed1ae40|37bc3fe3bbaed1ae40|797511|NZ_CP017248.1:7958551-7984102(FWD)	11	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|44851b24b29cea05b4|44851b24b29cea05b4|2010921|NZ_RBIY01000001.1:7770744-7796295(FWD)_10	147	198	0.00022	15.9	9008	9448	49c65ceeadb463ef7d|44851b24b29cea05b4|44851b24b29cea05b4|2010921|NZ_RBIY01000001.1:7770744-7796295(FWD)	10	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|48fdec4615aaca525e|48fdec4615aaca525e|3677141|NZ_VFNX01000001.1:6049968-6075522(FWD)_11	147	198	0.00022	15.9	8980	9420	49c65ceeadb463ef7d|48fdec4615aaca525e|48fdec4615aaca525e|3677141|NZ_VFNX01000001.1:6049968-6075522(FWD)	11	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|49c65ceeadb463ef7d|49c65ceeadb463ef7d|765321|NZ_CP016279.1:7772241-7797798(REV)_10	147	198	0.00022	15.9	9007	9447	49c65ceeadb463ef7d|49c65ceeadb463ef7d|49c65ceeadb463ef7d|765321|NZ_CP016279.1:7772241-7797798(REV)	10	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|525e19725eb00101ea|525e19725eb00101ea|5197421|NZ_WEGL01000009.1:454877-480428(FWD)_10	147	198	0.00022	16.0	8942	9382	49c65ceeadb463ef7d|525e19725eb00101ea|525e19725eb00101ea|5197421|NZ_WEGL01000009.1:454877-480428(FWD)	10	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|6a5173d2889fc442ca|6a5173d2889fc442ca|8120271|NZ_BMTD01000023.1:62990-88547(FWD)_11	147	198	0.00022	15.9	8804	9244	49c65ceeadb463ef7d|6a5173d2889fc442ca|6a5173d2889fc442ca|8120271|NZ_BMTD01000023.1:62990-88547(FWD)	11	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|71cea5eaeb881703fe|71cea5eaeb881703fe|2033911|NZ_PENI01000003.1:408716-434273(FWD)_10	147	198	0.00021	16.0	8151	8591	49c65ceeadb463ef7d|71cea5eaeb881703fe|71cea5eaeb881703fe|2033911|NZ_PENI01000003.1:408716-434273(FWD)	10	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|9b44ef28ff1845eec1|9b44ef28ff1845eec1|9176091|NZ_JAERRK010000027.1:47523-73074(FWD)_10	147	198	0.00022	16.0	8803	9243	49c65ceeadb463ef7d|9b44ef28ff1845eec1|9b44ef28ff1845eec1|9176091|NZ_JAERRK010000027.1:47523-73074(FWD)	10	0.2925170068027211	0.21717171717171718	1
CasR_0_CAS-I-II-III-IV-V-VI	49c65ceeadb463ef7d|9f765672d58ae6a375|9f765672d58ae6a375|5411851|NZ_CP047020.1:2090366-2115920(REV)_10	147	198	0.0002	16.1	8960	9400	49c65ceeadb463ef7d|9f765672d58ae6a375|9f765672d58ae6a375|5411851|NZ_CP047020.1:2090366-2115920(REV)	10	0.2925170068027211	0.21717171717171718	1
