recid,phash,chash,start,end,orient
NZ_MBAK01000001.1,833c055503dd82e0afe6,60cc9b15078308c04666,467,1699,+
NZ_MBAK01000001.1,53c7dc89b8435c77a2af,60cc9b15078308c04666,1773,2633,+
NZ_MBAK01000001.1,0410ff8481238289d30a,60cc9b15078308c04666,2630,3262,+
NZ_MBAK01000001.1,bb2efe9b9cc42d7844c6,60cc9b15078308c04666,3255,3464,+
NZ_MBAK01000001.1,6f108523fcb697004b6c,60cc9b15078308c04666,3550,5226,-
NZ_MBAK01000001.1,9affd154a03b8450341a,60cc9b15078308c04666,5564,6010,-
NZ_MBAK01000001.1,3682a5d0ac6052290e9f,60cc9b15078308c04666,6014,6988,-
NZ_MBAK01000001.1,20d3bb888444493be9b5,60cc9b15078308c04666,7212,7520,+
NZ_MBAK01000001.1,d930b068a3fb06b74985,60cc9b15078308c04666,7545,7817,+
NZ_MBAK01000001.1,523913d98a6fc44bef8e,60cc9b15078308c04666,7851,9236,+
NZ_MBAK01000001.1,cd415a5793b9b9608c00,60cc9b15078308c04666,9425,9580,-
NZ_MBAK01000001.1,f341b17baffe8e915f9c,60cc9b15078308c04666,9612,9845,-
NZ_MBAK01000001.1,549d5902929417e23206,60cc9b15078308c04666,10095,11618,-
NZ_MBAK01000001.1,182f36a75dd4de2e13ba,60cc9b15078308c04666,11642,12796,-
NZ_MBAK01000001.1,3289fb646bb09a7c7915,60cc9b15078308c04666,13085,13558,+
NZ_MBAK01000001.1,ae6c805ed46fcffae449,60cc9b15078308c04666,13633,14319,+
NZ_MBAK01000001.1,69e7a45357ac9f207347,60cc9b15078308c04666,14669,15961,-
NZ_MBAK01000001.1,2ccccba5a4b92e846ad1,60cc9b15078308c04666,16038,17006,+
NZ_MBAK01000001.1,6ffe359efeb3dd9a4c4f,60cc9b15078308c04666,17207,18637,-
NZ_MBAK01000001.1,e4439a13d11404bd225e,60cc9b15078308c04666,18815,19297,-
NZ_MBAK01000001.1,1a2720f3ae2d5d274756,60cc9b15078308c04666,20377,20622,-
NZ_MBAK01000001.1,e85571434ee2b4faa3cb,60cc9b15078308c04666,20734,21162,+
NZ_MBAK01000001.1,c55482cf13a514c1c8ed,60cc9b15078308c04666,21174,21650,+
NZ_MBAK01000001.1,84553be3967c507b2feb,60cc9b15078308c04666,21680,22168,-
NZ_MBAK01000001.1,cb9a1e78bdc2e2deaa81,60cc9b15078308c04666,22236,23291,-
