Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)_11	352	284	0.00038	15.3	9367	10422	27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	11	0.48863636363636365	0.573943661971831	-1
AbiEii_0_CAS-III	27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)_20	212	284	2.6e-06	22.4	20643	21278	27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	20	0.5518867924528302	0.4225352112676056	-1
AbiEii_0_CAS-III	27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)_23	368	284	5.9e-06	21.3	23634	24737	27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	23	0.38858695652173914	0.5176056338028169	1
AbiEii_0_CAS-III	27177e034d397f4d56|00832601b8e2646d20|0f04171ae458bf8fb2|633581|NZ_BCPY01000007.1:37587-62922(REV)_17	212	284	7.2e-06	21.0	20713	21348	27177e034d397f4d56|00832601b8e2646d20|0f04171ae458bf8fb2|633581|NZ_BCPY01000007.1:37587-62922(REV)	17	0.5518867924528302	0.4225352112676056	-1
AbiEii_0_CAS-III	27177e034d397f4d56|00832601b8e2646d20|0f04171ae458bf8fb2|633581|NZ_BCPY01000007.1:37587-62922(REV)_20	365	284	3.4e-06	22.0	23592	24686	27177e034d397f4d56|00832601b8e2646d20|0f04171ae458bf8fb2|633581|NZ_BCPY01000007.1:37587-62922(REV)	20	0.3917808219178082	0.5070422535211268	1
AbiEii_0_CAS-III	27177e034d397f4d56|00832601b8e2646d20|0f04171ae458bf8fb2|633581|NZ_BCPY01000007.1:37587-62922(REV)_8	355	284	0.00079	14.3	9367	10431	27177e034d397f4d56|00832601b8e2646d20|0f04171ae458bf8fb2|633581|NZ_BCPY01000007.1:37587-62922(REV)	8	0.4028169014084507	0.47183098591549294	-1
AbiEii_0_CAS-III	27177e034d397f4d56|00832601b8e2646d20|d1d8527758c69d0e13|2122661|NZ_PXYA01000003.1:350200-375535(FWD)_21	212	284	1.4e-06	23.3	20693	21328	27177e034d397f4d56|00832601b8e2646d20|d1d8527758c69d0e13|2122661|NZ_PXYA01000003.1:350200-375535(FWD)	21	0.5518867924528302	0.4225352112676056	-1
AbiEii_0_CAS-III	27177e034d397f4d56|00832601b8e2646d20|d1d8527758c69d0e13|2122661|NZ_PXYA01000003.1:350200-375535(FWD)_24	368	284	5e-06	21.5	23771	24874	27177e034d397f4d56|00832601b8e2646d20|d1d8527758c69d0e13|2122661|NZ_PXYA01000003.1:350200-375535(FWD)	24	0.32065217391304346	0.4154929577464789	1
AbiEii_0_CAS-III	27177e034d397f4d56|00832601b8e2646d20|d1d8527758c69d0e13|2122661|NZ_PXYA01000003.1:350200-375535(FWD)_8	353	284	0.00034	15.5	7837	8895	27177e034d397f4d56|00832601b8e2646d20|d1d8527758c69d0e13|2122661|NZ_PXYA01000003.1:350200-375535(FWD)	8	0.3654390934844193	0.44366197183098594	-1
AbiEii_0_CAS-III	27177e034d397f4d56|0367a89aff26571192|0367a89aff26571192|703568|NZ_KE136523.1:584232-609570(REV)_16	250	284	0.00062	14.6	19118	19867	27177e034d397f4d56|0367a89aff26571192|0367a89aff26571192|703568|NZ_KE136523.1:584232-609570(REV)	16	0.516	0.4507042253521127	-1
AbiEii_0_CAS-III	27177e034d397f4d56|0367a89aff26571192|0367a89aff26571192|703568|NZ_KE136523.1:584232-609570(REV)_19	212	284	1.5e-05	20.0	23280	23915	27177e034d397f4d56|0367a89aff26571192|0367a89aff26571192|703568|NZ_KE136523.1:584232-609570(REV)	19	0.3867924528301887	0.2992957746478873	-1
AbiEii_0_CAS-III	27177e034d397f4d56|0367a89aff26571192|0367a89aff26571192|703568|NZ_KE136523.1:584232-609570(REV)_8	349	284	0.0009	14.1	9367	10413	27177e034d397f4d56|0367a89aff26571192|0367a89aff26571192|703568|NZ_KE136523.1:584232-609570(REV)	8	0.36103151862464183	0.43309859154929575	-1
AbiEii_0_CAS-III	27177e034d397f4d56|0bb1e61ef9b45f8388|0bb1e61ef9b45f8388|894331|NZ_JXLE01000008.1:38063-63407(REV)_10	359	284	9.7e-05	17.3	9349	10425	27177e034d397f4d56|0bb1e61ef9b45f8388|0bb1e61ef9b45f8388|894331|NZ_JXLE01000008.1:38063-63407(REV)	10	0.3286908077994429	0.397887323943662	-1
AbiEii_0_CAS-III	27177e034d397f4d56|24baea25beed2fc31a|24baea25beed2fc31a|8650751|JADAKE010000020.1:31871-57218(FWD)_15	351	284	0.00077	14.3	9378	10430	27177e034d397f4d56|24baea25beed2fc31a|24baea25beed2fc31a|8650751|JADAKE010000020.1:31871-57218(FWD)	15	0.3247863247863248	0.38380281690140844	-1
