Contig	Start	End	Strand	Pos
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	2	703	-1	1
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	1168	1836	-1	2
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	2008	3483	1	3
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	3551	5038	-1	4
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	5245	5406	1	5
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	5384	6352	-1	6
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	6395	7357	-1	7
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	7348	7962	-1	8
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	8181	8771	1	9
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	8828	10090	-1	10
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	10474	11646	1	11
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	11609	12178	-1	12
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	12501	13628	1	13
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	13661	14761	1	14
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	14805	15245	-1	15
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	15483	15923	1	16
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	16037	17692	1	17
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	18223	19017	1	18
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	19142	19738	1	19
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	20047	20421	-1	20
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	20678	22024	-1	21
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	22098	22865	-1	22
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	22862	23551	-1	23
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	23649	25166	1	24
e95a232b429ceb001b|1de30e90a92d77ae9f|0e8121c8757f9f0f08|8118601|NZ_BMNG01000012.1:54645-80772(REV)	25208	26125	-1	25
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	1	582	-1	1
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	1035	1730	-1	2
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	1962	3359	1	3
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	3424	4911	-1	4
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	5118	5261	1	5
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	5239	6225	-1	6
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	6268	7230	-1	7
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	7221	7835	-1	8
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	8062	8652	1	9
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	8708	9958	-1	10
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	10415	11596	1	11
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	11559	12239	-1	12
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	12501	13628	1	13
e95a232b429ceb001b|1de30e90a92d77ae9f|e17f329d037c883d77|191491|NZ_JNXT01000022.1:53225-79352(REV)	13654	14754	1	14
