query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|566e6bc8a011e2bf8e|566e6bc8a011e2bf8e|638351|NZ_LOJP01000001.1:3438730-3464479(FWD);11417;12385;-,19.5,1.1e-05,323,33,97,141,206
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|3e596f3f4ae184042c|3e596f3f4ae184042c|1284031|NZ_OBDY01000016.1:150917-176693(REV);11426;12394;-,18.6,2e-05,323,32,97,142,208
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|7c7b1e4863cbf67be0|7c7b1e4863cbf67be0|8119681|NZ_BMQZ01000011.1:277980-302468(FWD);11443;12417;-,18.1,3e-05,325,35,99,144,208
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|81e94bfc616f96964e|81e94bfc616f96964e|2169051|NZ_QHHV01000014.1:0-21835(FWD);7434;8417;-,17.6,4e-05,328,32,97,142,208
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|ef744628319e2cbad7|ef744628319e2cbad7|670798|NC_021191.1:5113188-5138970(FWD);11410;12387;-,17.2,5.4e-05,326,33,97,141,206
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|7c8d22120719f2db6d|7c8d22120719f2db6d|79291|NC_022657.1:4307349-4333155(FWD);11411;12394;-,16.8,7.1e-05,328,32,97,142,208
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|ce874610f3457ecda5|ce874610f3457ecda5|7887741|NZ_JACHNH010000001.1:3911541-3937341(FWD);11411;12394;-,16.8,7.4e-05,328,32,97,142,208
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|ed9a37d0c97ef50511|ed9a37d0c97ef50511|8119671|NZ_BMQY01000004.1:65931-91728(FWD);11404;12387;-,16.5,9.2e-05,328,33,101,143,211
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV);11404;12387;-,16.2,0.00011,328,33,100,143,210
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|7d0808b76a9332a166|7d0808b76a9332a166|191191|KL571522.1:0-18620(FWD);9618;10763;-,15.1,0.00024,382,35,98,142,205
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|a6c67142d3ef83e39d|a6c67142d3ef83e39d|191191|KL571522.1:0-18620(FWD);9618;10763;-,15.1,0.00024,382,35,98,142,205
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD);11401;12375;-,14.8,0.00031,325,33,100,143,210
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|25373cc14071f090b3|25373cc14071f090b3|1631981|NZ_PVMZ01000011.1:71048-96812(REV);11426;12325;-,14.2,0.00046,300,35,102,113,180
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|2c950f0f83c512782c|2c950f0f83c512782c|8118511|NZ_BMMX01000028.1:13726-39517(REV);11345;12370;-,12.6,0.0014,342,33,98,143,208
2-Hacid_dh_C,PF02826.21,178,7c8d22120719f2db6d|963b070b8ced7d3abc|963b070b8ced7d3abc|7887661|NZ_JACHNB010000001.1:4876759-4902529(FWD);11444;12418;-,11.6,0.0028,325,35,98,144,207
2TM,PF13239.8,78,7c8d22120719f2db6d|81e94bfc616f96964e|81e94bfc616f96964e|2169051|NZ_QHHV01000014.1:0-21835(FWD);16098;17456;-,7.6,0.095,453,9,50,51,106
2TM,PF13239.8,78,7c8d22120719f2db6d|81e94bfc616f96964e|81e94bfc616f96964e|2169051|NZ_QHHV01000014.1:0-21835(FWD);16098;17456;-,7.6,0.095,453,2,46,156,210
3-dmu-9_3-mt,PF06983.15,116,7c8d22120719f2db6d|b185c8f1fb52e0b019|b185c8f1fb52e0b019|616281|NZ_LLZH01000010.1:16549-31782(FWD);2000;2410;+,47.9,3.7e-14,137,2,115,4,130
3-dmu-9_3-mt,PF06983.15,116,7c8d22120719f2db6d|a4feb64ffd566059b5|a4feb64ffd566059b5|2352121|NZ_SNWR01000002.1:175979-201746(FWD);1344;1754;+,45.6,2e-13,137,2,115,4,130
3-dmu-9_3-mt,PF06983.15,116,7c8d22120719f2db6d|2c950f0f83c512782c|2c950f0f83c512782c|8118511|NZ_BMMX01000028.1:13726-39517(REV);3978;4382;+,41.7,3.1e-12,135,2,115,4,129
3-dmu-9_3-mt,PF06983.15,116,7c8d22120719f2db6d|963b070b8ced7d3abc|963b070b8ced7d3abc|7887661|NZ_JACHNB010000001.1:4876759-4902529(FWD);1128;1535;+,40.4,8.1e-12,136,2,115,4,130
3-dmu-9_3-mt,PF06983.15,116,7c8d22120719f2db6d|7c7b1e4863cbf67be0|7c7b1e4863cbf67be0|8119681|NZ_BMQZ01000011.1:277980-302468(FWD);930;1337;+,38.8,2.6e-11,136,2,115,4,130
3-dmu-9_3-mt,PF06983.15,116,7c8d22120719f2db6d|3e596f3f4ae184042c|3e596f3f4ae184042c|1284031|NZ_OBDY01000016.1:150917-176693(REV);1649;2056;+,37.5,6.3e-11,136,2,115,4,130
3Beta_HSD,PF01073.21,280,7c8d22120719f2db6d|566e6bc8a011e2bf8e|566e6bc8a011e2bf8e|638351|NZ_LOJP01000001.1:3438730-3464479(FWD);277;1122;-,24.8,2.1e-07,282,0,81,3,79
3Beta_HSD,PF01073.21,280,7c8d22120719f2db6d|566e6bc8a011e2bf8e|566e6bc8a011e2bf8e|638351|NZ_LOJP01000001.1:3438730-3464479(FWD);277;1122;-,24.8,2.1e-07,282,170,224,138,192
3HCDH_N,PF02737.20,180,7c8d22120719f2db6d|ed9a37d0c97ef50511|ed9a37d0c97ef50511|8119671|NZ_BMQY01000004.1:65931-91728(FWD);11404;12387;-,24.7,3.9e-07,328,1,39,148,187
3HCDH_N,PF02737.20,180,7c8d22120719f2db6d|81e94bfc616f96964e|81e94bfc616f96964e|2169051|NZ_QHHV01000014.1:0-21835(FWD);7434;8417;-,24.6,4.5e-07,328,1,38,148,186
3HCDH_N,PF02737.20,180,7c8d22120719f2db6d|c877ec7fb27bbd0437|c877ec7fb27bbd0437|2087831|NZ_RJKL01000001.1:409491-435282(REV);11404;12387;-,24.3,5.5e-07,328,1,39,148,187
3HCDH_N,PF02737.20,180,7c8d22120719f2db6d|7c7b1e4863cbf67be0|7c7b1e4863cbf67be0|8119681|NZ_BMQZ01000011.1:277980-302468(FWD);11443;12417;-,22.1,2.6e-06,325,1,39,147,186
3HCDH_N,PF02737.20,180,7c8d22120719f2db6d|7c7b1e4863cbf67be0|7c7b1e4863cbf67be0|8119681|NZ_BMQZ01000011.1:277980-302468(FWD);11443;12417;-,22.1,2.6e-06,325,127,155,198,227
3HCDH_N,PF02737.20,180,7c8d22120719f2db6d|7c8d22120719f2db6d|7c8d22120719f2db6d|79291|NC_022657.1:4307349-4333155(FWD);11411;12394;-,21.6,3.8e-06,328,1,38,148,186
