Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	d90f25484d732aa877|00e6974499440e2179|00e6974499440e2179|4255171|NZ_VLKE01000001.1:5782487-5808017(REV)_4	536	284	0.00089	15.0	2506	4113	d90f25484d732aa877|00e6974499440e2179|00e6974499440e2179|4255171|NZ_VLKE01000001.1:5782487-5808017(REV)	4	0.2462686567164179	0.44014084507042256	-1
AbiEii_0_CAS-III	d90f25484d732aa877|04ceb02140e5b1084b|04ceb02140e5b1084b|789881|NZ_FMIC01000002.1:4930824-4956642(FWD)_17	276	284	1.9e-07	27.0	16204	17031	d90f25484d732aa877|04ceb02140e5b1084b|04ceb02140e5b1084b|789881|NZ_FMIC01000002.1:4930824-4956642(FWD)	17	0.30434782608695654	0.29225352112676056	-1
AbiEii_0_CAS-III	d90f25484d732aa877|0ef452ab7918ca424b|0ef452ab7918ca424b|1881601|NZ_QVFU01000007.1:112782-138603(REV)_4	248	284	3.6e-06	22.8	2381	3124	d90f25484d732aa877|0ef452ab7918ca424b|0ef452ab7918ca424b|1881601|NZ_QVFU01000007.1:112782-138603(REV)	4	0.38306451612903225	0.31690140845070425	-1
AbiEii_0_CAS-III	d90f25484d732aa877|0f0fc2c90386413ccc|0f0fc2c90386413ccc|92281|NZ_KI912599.1:144259-169999(FWD)_4	328	284	2.1e-07	26.8	4317	5300	d90f25484d732aa877|0f0fc2c90386413ccc|0f0fc2c90386413ccc|92281|NZ_KI912599.1:144259-169999(FWD)	4	0.2865853658536585	0.3274647887323944	1
AbiEii_0_CAS-III	d90f25484d732aa877|18b9646d6b1f4400cc|18b9646d6b1f4400cc|879881|NZ_FNYV01000002.1:147216-173040(REV)_18	270	284	2.2e-07	26.8	18284	19093	d90f25484d732aa877|18b9646d6b1f4400cc|18b9646d6b1f4400cc|879881|NZ_FNYV01000002.1:147216-173040(REV)	18	0.32222222222222224	0.3028169014084507	-1
AbiEii_0_CAS-III	d90f25484d732aa877|1c4b276f67f480f72e|1c4b276f67f480f72e|2343761|NZ_SLVT01000006.1:309810-334839(REV)_22	280	284	2e-07	26.9	23369	24208	d90f25484d732aa877|1c4b276f67f480f72e|1c4b276f67f480f72e|2343761|NZ_SLVT01000006.1:309810-334839(REV)	22	0.3	0.29225352112676056	-1
AbiEii_0_CAS-III	d90f25484d732aa877|1c4b276f67f480f72e|b5afece3e4cffb11aa|1151491|NZ_LT607733.1:2373343-2399167(FWD)_21	276	284	1.8e-07	27.1	22336	23163	d90f25484d732aa877|1c4b276f67f480f72e|b5afece3e4cffb11aa|1151491|NZ_LT607733.1:2373343-2399167(FWD)	21	0.3115942028985507	0.2992957746478873	-1
AbiEii_0_CAS-III	d90f25484d732aa877|1e9ce7708d722c7ce3|1e9ce7708d722c7ce3|1986341|NZ_QXEC01000014.1:119585-145436(REV)_22	282	284	5.6e-07	25.5	18391	19236	d90f25484d732aa877|1e9ce7708d722c7ce3|1e9ce7708d722c7ce3|1986341|NZ_QXEC01000014.1:119585-145436(REV)	22	0.30141843971631205	0.29577464788732394	-1
AbiEii_0_CAS-III	d90f25484d732aa877|1e9ce7708d722c7ce3|1e9ce7708d722c7ce3|1986341|NZ_QXEC01000014.1:119585-145436(REV)_7	219	284	0.00022	16.9	4147	4803	d90f25484d732aa877|1e9ce7708d722c7ce3|1e9ce7708d722c7ce3|1986341|NZ_QXEC01000014.1:119585-145436(REV)	7	0.3835616438356164	0.2852112676056338	1
AbiEii_0_CAS-III	d90f25484d732aa877|36edd755dbd6078a42|36edd755dbd6078a42|789871|NZ_FMIA01000002.1:3408346-3434194(FWD)_4	244	284	0.0026	13.4	2488	3219	d90f25484d732aa877|36edd755dbd6078a42|36edd755dbd6078a42|789871|NZ_FMIA01000002.1:3408346-3434194(FWD)	4	0.2581967213114754	0.21830985915492956	-1
AbiEii_0_CAS-III	d90f25484d732aa877|4494f5609734a8b099|1ebeb65b9ea9f17b1a|5355901|NZ_CP046104.1:3617101-3642925(FWD)_21	270	284	1.2e-06	24.4	19864	20673	d90f25484d732aa877|4494f5609734a8b099|1ebeb65b9ea9f17b1a|5355901|NZ_CP046104.1:3617101-3642925(FWD)	21	0.2851851851851852	0.2676056338028169	-1
AbiEii_0_CAS-III	d90f25484d732aa877|4494f5609734a8b099|4494f5609734a8b099|6600011|NZ_JAATEO010000024.1:0-23512(FWD)_18	245	284	2.4e-06	23.4	22777	23511	d90f25484d732aa877|4494f5609734a8b099|4494f5609734a8b099|6600011|NZ_JAATEO010000024.1:0-23512(FWD)	18	0.33877551020408164	0.30985915492957744	-1
