recid,phash,chash,start,end,orient
uvig_35168,444514a17e3591bc544d,43dbad53f0881ccdfc64,2,625,+
uvig_35168,188f3c7cbdf9c81f121f,43dbad53f0881ccdfc64,597,839,+
uvig_35168,29f32cb33d5251ad6616,43dbad53f0881ccdfc64,888,1250,+
uvig_35168,242d9aefdc16d799a981,43dbad53f0881ccdfc64,1247,2614,+
uvig_35168,2feb34b5cab50233b123,43dbad53f0881ccdfc64,2616,2861,+
uvig_35168,243e3cf45adbab0a025c,43dbad53f0881ccdfc64,2848,4383,+
uvig_35168,f3d0526862fb3c311c9c,43dbad53f0881ccdfc64,4522,5124,+
uvig_35168,78f97c5050a37fb59e65,43dbad53f0881ccdfc64,5145,6098,+
uvig_35168,cf701bd30b3e69d12297,43dbad53f0881ccdfc64,6196,6843,+
uvig_35168,3930c9ee6c98ff10e716,43dbad53f0881ccdfc64,6847,7413,+
uvig_35168,79ddbe36a5b45d3a0efa,43dbad53f0881ccdfc64,7425,7862,+
uvig_35168,a1628b2c9f6c5ab9ca0b,43dbad53f0881ccdfc64,7869,10742,+
uvig_35168,ab154299f9812180450c,43dbad53f0881ccdfc64,10807,11517,+
uvig_35168,b7d445f06a792dab15a2,43dbad53f0881ccdfc64,11573,11953,+
