query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-ph_phosp,PF04029.16,226,260273e052f76dffd2|38366d1b4bfd4d18f5|2d84ee217e62cce9b7|2203991|NZ_SAUN01000001.1:2177740-2203354(REV);12501;13115;+,11.1,0.0098,205,109,145,75,112
2-ph_phosp,PF04029.16,226,260273e052f76dffd2|38366d1b4bfd4d18f5|38366d1b4bfd4d18f5|3218381|NZ_VCKY01000146.1:0-21425(REV);12501;13115;+,10.9,0.011,205,109,144,75,111
2-ph_phosp,PF04029.16,226,260273e052f76dffd2|c45052b2452d4a14b8|c45052b2452d4a14b8|7888511|NZ_JACHMI010000001.1:8200378-8225995(FWD);12500;13117;+,10.9,0.011,206,109,144,76,112
2_5_RNA_ligase2,PF13563.8,153,260273e052f76dffd2|c565f84261023ed56c|c565f84261023ed56c|5346811|NZ_BLAE01000085.1:18974-44639(REV);13922;14566;-,13.8,0.0026,215,45,62,22,39
2_5_RNA_ligase2,PF13563.8,153,260273e052f76dffd2|c565f84261023ed56c|c565f84261023ed56c|5346811|NZ_BLAE01000085.1:18974-44639(REV);13922;14566;-,13.8,0.0026,215,25,116,44,164
3Beta_HSD,PF01073.21,280,260273e052f76dffd2|9dcdfec9ed9977af7c|9dcdfec9ed9977af7c|4837061|NZ_WBMT01000021.1:93986-119750(FWD);1102;2034;-,19.7,2.1e-05,311,1,168,4,177
3HCDH_N,PF02737.20,180,260273e052f76dffd2|5ede5ebb37fb17edc1|5ede5ebb37fb17edc1|EARTH_3300027909_28|3300027909.a:Ga0209382_10003598:0-21380(REV);19622;20836;-,13.0,0.0042,405,1,33,1,33
3HCDH_N,PF02737.20,180,260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD);21729;22553;+,11.6,0.011,275,8,75,11,76
3HCDH_N,PF02737.20,180,260273e052f76dffd2|19fc24001855daee2c|dfdbcd26e2fb7718bc|1758001|NZ_POUD01000157.1:0-21399(REV);17884;18708;+,11.2,0.015,275,8,73,11,74
AAA,PF00004.31,132,260273e052f76dffd2|9a23aa06aea4c1f98b|9a23aa06aea4c1f98b|636698|NZ_KB894098.1:174004-199642(FWD);14437;20394;+,22.8,6e-06,1986,0,112,731,851
AAA,PF00004.31,132,260273e052f76dffd2|9a23aa06aea4c1f98b|9a23aa06aea4c1f98b|636698|NZ_KB894098.1:174004-199642(FWD);406;1248;+,20.3,3.5e-05,281,0,20,55,75
AAA,PF00004.31,132,260273e052f76dffd2|9a23aa06aea4c1f98b|9a23aa06aea4c1f98b|636698|NZ_KB894098.1:174004-199642(FWD);406;1248;+,20.3,3.5e-05,281,46,112,178,234
AAA,PF00004.31,132,260273e052f76dffd2|c565f84261023ed56c|c565f84261023ed56c|5346811|NZ_BLAE01000085.1:18974-44639(REV);15868;21558;+,17.9,0.00018,1897,0,106,679,792
AAA,PF00004.31,132,260273e052f76dffd2|8c0aa60e8fce69c42a|8c0aa60e8fce69c42a|1821501|NZ_QOIL01000001.1:235548-261198(REV);15584;21331;+,17.8,0.00021,1916,0,105,702,815
AAA,PF00004.31,132,260273e052f76dffd2|7a7d3f615e47219855|894cfdfe5a1a98c7f9|7887711|NZ_JACHND010000001.1:6748523-6774173(FWD);15457;21171;+,17.7,0.00022,1905,0,105,693,806
AAA,PF00004.31,132,260273e052f76dffd2|7a7d3f615e47219855|7a7d3f615e47219855|7885261|NZ_JACHBR010000001.1:5835214-5860864(REV);15544;21255;+,17.5,0.00025,1904,0,105,691,804
AAA,PF00004.31,132,260273e052f76dffd2|2d75cc374dd9e28173|2d75cc374dd9e28173|191261|KL573182.1:0-16407(REV);6910;7743;+,17.2,0.00031,278,2,98,46,204
AAA,PF00004.31,132,260273e052f76dffd2|87d6ba5ff0c4d7e58a|87d6ba5ff0c4d7e58a|5197381|NZ_WEGH01000001.1:292902-318549(FWD);14425;20223;+,17.0,0.00037,1933,0,112,715,835
