recid,phash,qhash
CP049504.1,a9532f51402838beb96f,82e24a624a332f544909
CP049504.1,a9532f51402838beb96f,7f4a1de673d528692aa0
CP049504.1,a9532f51402838beb96f,480f35c7db3567655214
CP049504.1,a9532f51402838beb96f,7975f88b6e954fc1f11f
CP049504.1,4792a946df89b4d2a878,ef77012ed92ddf67785c
CP049504.1,4792a946df89b4d2a878,c72b0428a43fa6e8cd2b
CP049504.1,4792a946df89b4d2a878,ab827465f2c4030e8b45
CP049504.1,4792a946df89b4d2a878,d84358960c472c0646f3
CP049504.1,4792a946df89b4d2a878,c7da521da52de5f1afa0
CP049504.1,4792a946df89b4d2a878,170a0e1669e136f48bd3
CP049504.1,4792a946df89b4d2a878,7d102afd9a57c3de8b69
CP049504.1,4792a946df89b4d2a878,b706991d7fc9e36406b3
CP049504.1,4348e0cd1c2dd18432a5,ba3dbbb1752f978426b3
CP049504.1,4348e0cd1c2dd18432a5,b972651aeae56a79c087
CP049504.1,4348e0cd1c2dd18432a5,c40671f68f688afeb446
CP049504.1,4348e0cd1c2dd18432a5,8acd96c252ffc20960b4
CP049504.1,a5d3d311df1895db8108,147dcdd3b350620be3d8
CP049504.1,a5d3d311df1895db8108,9a4c824bd962c8bb5e71
CP049504.1,a5d3d311df1895db8108,b070b1176642c38d73a7
CP049504.1,a5d3d311df1895db8108,66de1792f03292c5142b
CP049504.1,9489a6e5ca45715b2223,414910e35c061c813dd0
CP049504.1,9489a6e5ca45715b2223,78c67309c05d1c9ab420
CP049504.1,9489a6e5ca45715b2223,91a7a0ea52198fca13ab
CP049504.1,9489a6e5ca45715b2223,e54632b0ea2ebe43a1ae
CP049504.1,9489a6e5ca45715b2223,79a3737120b6676539d1
CP049504.1,9489a6e5ca45715b2223,359e1c09ad2f5cb59438
CP049504.1,9489a6e5ca45715b2223,78ea8b17ae1ce977a665
CP049504.1,92e071a656175c78a4d9,6c465678f3b82f75e756
CP049504.1,92e071a656175c78a4d9,81841b00fc9747254137
CP049504.1,d884d7678f23cb9d035b,1d01ce98eaa7d6ded220
CP049504.1,d884d7678f23cb9d035b,ec3ca5f83144c68301ad
CP049504.1,d884d7678f23cb9d035b,75f7a07bd1c2c097dbf1
CP049504.1,d884d7678f23cb9d035b,adeaf96ba81646b2e40b
CP049504.1,1102bc5d56f4cd8c8bda,abf341076df6812c9b53
CP049504.1,1102bc5d56f4cd8c8bda,45f87577c80c7472599c
CP049504.1,1102bc5d56f4cd8c8bda,61416c29954ef45ff623
CP049504.1,1102bc5d56f4cd8c8bda,0ad0760471706b8e6806
CP049504.1,1102bc5d56f4cd8c8bda,803881ec79b20855b066
CP049504.1,8c9e46a3d17d1fb27be7,cc0194d8b8da279d505a
CP049504.1,8c9e46a3d17d1fb27be7,d6be6983f959a2296ac2
CP049504.1,8c9e46a3d17d1fb27be7,77c9bb856f483b0a7c99
CP049504.1,8c9e46a3d17d1fb27be7,d3eea0e3eb3d135d91a4
CP049504.1,8c9e46a3d17d1fb27be7,10788457321c1334067e
CP049504.1,8c9e46a3d17d1fb27be7,1102bc5d56f4cd8c8bda
CP049504.1,e861a5b1940d9a1f102f,9b3f5f90f4020ce0b2ec
CP049504.1,e861a5b1940d9a1f102f,c12653aace7c057dc318
CP049504.1,e861a5b1940d9a1f102f,685489fc7d4d46458615
CP049504.1,e861a5b1940d9a1f102f,63a468d1ebd230da6619
CP049504.1,cd153b12ad9a0d95f40c,4fcca248d7475391e086
CP049504.1,cd153b12ad9a0d95f40c,80c131206faf94f66aa6
CP049504.1,cd153b12ad9a0d95f40c,29136ba52c361826c4cb
CP049504.1,cd153b12ad9a0d95f40c,5ff5e2a7cbc2299b0990
CP049504.1,cd153b12ad9a0d95f40c,3c3729bdca3b3c6e38b5
CP049504.1,acf27c0c3f8f1cbbf429,7dcef9dddced9aec5b96
CP049504.1,acf27c0c3f8f1cbbf429,9159710e11a17166f923
CP049504.1,acf27c0c3f8f1cbbf429,c86d6341f9c13158eb99
CP049504.1,acf27c0c3f8f1cbbf429,8ca4b6f8014e1263587d
CP049504.1,acf27c0c3f8f1cbbf429,2ce62fff864102bbee55
CP049504.1,acf27c0c3f8f1cbbf429,f4828e446f7cdeb42a83
CP049504.1,acf27c0c3f8f1cbbf429,0d6643c159bcb2c5ca1a
CP049504.1,acf27c0c3f8f1cbbf429,cec38065abebe36ae736
CP049504.1,acf27c0c3f8f1cbbf429,ad65cfad97ab452f8f32
