query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,ba436543bec6c30920|ba436543bec6c30920|3db28baa98d5cdd03a|1848931|NZ_UHIA01000003.1:91013-116423(REV);19578;20924;+,27.4,3.7e-08,449,29,69,2,42
2-Hacid_dh_C,PF02826.21,178,ba436543bec6c30920|ba436543bec6c30920|3db28baa98d5cdd03a|1848931|NZ_UHIA01000003.1:91013-116423(REV);19578;20924;+,27.4,3.7e-08,449,34,68,163,197
3HCDH_N,PF02737.20,180,ba436543bec6c30920|ba436543bec6c30920|3db28baa98d5cdd03a|1848931|NZ_UHIA01000003.1:91013-116423(REV);19578;20924;+,29.3,1.5e-08,449,3,33,13,43
3HCDH_N,PF02737.20,180,ba436543bec6c30920|ba436543bec6c30920|3db28baa98d5cdd03a|1848931|NZ_UHIA01000003.1:91013-116423(REV);19578;20924;+,29.3,1.5e-08,449,2,77,168,242
3HCDH_N,PF02737.20,180,ba436543bec6c30920|ba436543bec6c30920|3db28baa98d5cdd03a|1848931|NZ_UHIA01000003.1:91013-116423(REV);19578;20924;+,29.3,1.5e-08,449,66,104,346,384
4HBT,PF03061.24,79,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);460;945;+,58.5,1.2e-17,162,0,74,26,99
4HBT,PF03061.24,79,ba436543bec6c30920|ba436543bec6c30920|ba436543bec6c30920|1017371|NZ_MUXT01000006.1:13613-39062(REV);9175;9612;-,28.1,3.9e-08,146,7,78,34,110
4HBT,PF03061.24,79,ba436543bec6c30920|3612049fa24a97fb04|3612049fa24a97fb04|7005851|NZ_JABBDX010000002.1:357676-383101(FWD);17743;18465;+,15.5,0.00034,241,1,56,100,154
4HBT_2,PF13279.8,123,ba436543bec6c30920|ba436543bec6c30920|ba436543bec6c30920|1017371|NZ_MUXT01000006.1:13613-39062(REV);9175;9612;-,49.0,1.6e-14,146,0,120,19,135
AAA,PF00004.31,132,ba436543bec6c30920|8dc46c70303e439363|6a086ec14afdd089a7|668818|NZ_KB849229.1:11285-36683(REV);20462;21262;+,21.9,3.9e-06,267,2,52,61,111
AAA,PF00004.31,132,ba436543bec6c30920|8dc46c70303e439363|6a086ec14afdd089a7|668818|NZ_KB849229.1:11285-36683(REV);20462;21262;+,21.9,3.9e-06,267,44,88,158,196
AAA,PF00004.31,132,ba436543bec6c30920|3612049fa24a97fb04|3612049fa24a97fb04|7005851|NZ_JABBDX010000002.1:357676-383101(FWD);19013;20527;-,16.7,0.00016,505,0,90,250,341
AAA,PF00004.31,132,ba436543bec6c30920|3531b23f439d7ade2f|3531b23f439d7ade2f|4335271|NZ_BJXB01000010.1:20839-46255(REV);16690;17457;-,16.4,0.00019,256,2,69,50,181
AAA,PF00004.31,132,ba436543bec6c30920|6485de8132f3f55d8e|cba4b898ca90b2538a|1241111|DGDC01000048.1:16758-39214(FWD);18714;19862;-,15.8,0.00029,383,1,35,49,85
AAA,PF00004.31,132,ba436543bec6c30920|6485de8132f3f55d8e|6485de8132f3f55d8e|1003671|NZ_FUGD01000105.1:0-13375(REV);8181;9329;-,15.7,0.00031,383,1,51,49,99
AAA,PF00004.31,132,ba436543bec6c30920|3612049fa24a97fb04|3612049fa24a97fb04|7005851|NZ_JABBDX010000002.1:357676-383101(FWD);16135;17550;-,14.7,0.00062,472,2,39,11,48
AAA,PF00004.31,132,ba436543bec6c30920|3612049fa24a97fb04|3612049fa24a97fb04|7005851|NZ_JABBDX010000002.1:357676-383101(FWD);16135;17550;-,14.7,0.00062,472,57,100,228,280
AAA,PF00004.31,132,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,13.5,0.0015,554,2,20,36,54
AAA,PF00004.31,132,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,13.5,0.0015,554,74,100,254,280
AAA,PF00004.31,132,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,13.5,0.0015,554,56,74,309,336
AAA,PF00004.31,132,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,13.5,0.0015,554,2,66,353,470
AAA_11,PF13086.8,261,ba436543bec6c30920|3612049fa24a97fb04|3612049fa24a97fb04|7005851|NZ_JABBDX010000002.1:357676-383101(FWD);19013;20527;-,13.9,0.00071,505,7,44,237,275
AAA_13,PF13166.8,713,ba436543bec6c30920|8dc46c70303e439363|6a086ec14afdd089a7|668818|NZ_KB849229.1:11285-36683(REV);20462;21262;+,10.4,0.0037,267,20,65,61,107
AAA_13,PF13166.8,713,ba436543bec6c30920|8dc46c70303e439363|6a086ec14afdd089a7|668818|NZ_KB849229.1:11285-36683(REV);20462;21262;+,10.4,0.0037,267,524,571,171,216
AAA_13,PF13166.8,713,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,10.2,0.0043,554,22,86,38,109
AAA_13,PF13166.8,713,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,10.2,0.0043,554,111,172,247,304
AAA_13,PF13166.8,713,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,10.2,0.0043,554,20,38,353,371
AAA_14,PF13173.8,130,ba436543bec6c30920|3612049fa24a97fb04|3612049fa24a97fb04|7005851|NZ_JABBDX010000002.1:357676-383101(FWD);19013;20527;-,18.6,3e-05,505,2,84,248,338
AAA_14,PF13173.8,130,ba436543bec6c30920|3612049fa24a97fb04|3612049fa24a97fb04|7005851|NZ_JABBDX010000002.1:357676-383101(FWD);19013;20527;-,18.6,3e-05,505,111,124,431,444
AAA_14,PF13173.8,130,ba436543bec6c30920|3612049fa24a97fb04|3612049fa24a97fb04|7005851|NZ_JABBDX010000002.1:357676-383101(FWD);19013;20527;-,18.6,3e-05,505,31,72,454,503
AAA_14,PF13173.8,130,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,15.4,0.00029,554,5,23,35,53
AAA_14,PF13173.8,130,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,15.4,0.00029,554,62,89,179,208
AAA_14,PF13173.8,130,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,15.4,0.00029,554,3,26,350,373
AAA_14,PF13173.8,130,ba436543bec6c30920|ba436543bec6c30920|7fad13cc7d516a7f37|514548|NZ_ANIN01000001.1:345028-370438(REV);22594;24255;+,15.4,0.00029,554,56,75,455,474
AAA_14,PF13173.8,130,ba436543bec6c30920|8dc46c70303e439363|6a086ec14afdd089a7|668818|NZ_KB849229.1:11285-36683(REV);20462;21262;+,13.8,0.00091,267,3,45,58,97
AAA_14,PF13173.8,130,ba436543bec6c30920|6485de8132f3f55d8e|cba4b898ca90b2538a|1241111|DGDC01000048.1:16758-39214(FWD);18714;19862;-,13.1,0.0014,383,2,74,46,115
AAA_14,PF13173.8,130,ba436543bec6c30920|6485de8132f3f55d8e|cba4b898ca90b2538a|1241111|DGDC01000048.1:16758-39214(FWD);18714;19862;-,13.1,0.0014,383,61,71,166,176
AAA_14,PF13173.8,130,ba436543bec6c30920|6485de8132f3f55d8e|6485de8132f3f55d8e|1003671|NZ_FUGD01000105.1:0-13375(REV);8181;9329;-,12.6,0.0021,383,2,74,46,115
AAA_15,PF13175.8,374,ba436543bec6c30920|3531b23f439d7ade2f|3531b23f439d7ade2f|4335271|NZ_BJXB01000010.1:20839-46255(REV);15972;16697;-,18.7,2.1e-05,242,23,49,33,60
AAA_15,PF13175.8,374,ba436543bec6c30920|3531b23f439d7ade2f|3531b23f439d7ade2f|4335271|NZ_BJXB01000010.1:20839-46255(REV);16690;17457;-,15.1,0.00026,256,24,50,47,73
AAA_15,PF13175.8,374,ba436543bec6c30920|3531b23f439d7ade2f|3531b23f439d7ade2f|4335271|NZ_BJXB01000010.1:20839-46255(REV);16690;17457;-,15.1,0.00026,256,328,362,171,205
