query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,e8a14f064cce46f350|841add0b6227c2450e|841add0b6227c2450e|8120471|NZ_BMTX01000002.1:66008-92174(FWD);7527;8285;-,11.8,0.012,253,29,73,1,46
2-Hacid_dh_C,PF02826.21,178,e8a14f064cce46f350|841add0b6227c2450e|841add0b6227c2450e|8120471|NZ_BMTX01000002.1:66008-92174(FWD);7527;8285;-,11.8,0.012,253,38,48,145,155
3-alpha,PF03475.16,44,e8a14f064cce46f350|d7cd72552b8d7a972b|d7cd72552b8d7a972b|5431841|NZ_WUNA01000053.1:3585-29229(REV);4851;6842;-,13.8,0.0045,664,13,41,465,493
3-alpha,PF03475.16,44,e8a14f064cce46f350|40b62077a762c7f390|40b62077a762c7f390|8124481|NZ_BNBM01000003.1:420584-446750(REV);6358;8391;-,13.7,0.0049,678,13,41,478,506
3-alpha,PF03475.16,44,e8a14f064cce46f350|d591438dd55111d03a|d591438dd55111d03a|2177101|NZ_CP034539.1:6827914-6854035(REV);3310;5280;-,13.5,0.0056,657,13,41,457,485
3-alpha,PF03475.16,44,e8a14f064cce46f350|85498c5aa87027aae7|85498c5aa87027aae7|192791|NZ_JOFS01000004.1:163409-189416(REV);6234;8285;-,13.5,0.0058,684,13,41,484,512
3-alpha,PF03475.16,44,e8a14f064cce46f350|9e6b4408d76d10ad78|9e6b4408d76d10ad78|4378141|NZ_RDBN01000005.1:634198-660199(REV);7050;9086;-,13.4,0.0062,679,13,41,478,506
3-alpha,PF03475.16,44,e8a14f064cce46f350|383e52a3fe48982d26|383e52a3fe48982d26|866491|NZ_FNHV01000006.1:156044-182177(FWD);3551;5521;-,13.0,0.0078,657,13,41,457,485
3-alpha,PF03475.16,44,e8a14f064cce46f350|383e52a3fe48982d26|383e52a3fe48982d26|866491|NZ_FNHV01000006.1:156044-182177(FWD);3551;5521;-,13.0,0.0078,657,16,26,513,523
3-alpha,PF03475.16,44,e8a14f064cce46f350|3585a4d1cc7602bf30|3585a4d1cc7602bf30|4726211|NZ_CP023689.1:3370002-3396216(FWD);5682;7637;-,12.8,0.0089,652,13,41,452,480
3-alpha,PF03475.16,44,e8a14f064cce46f350|3585a4d1cc7602bf30|3585a4d1cc7602bf30|4726211|NZ_CP023689.1:3370002-3396216(FWD);5682;7637;-,12.8,0.0089,652,16,26,508,518
3-alpha,PF03475.16,44,e8a14f064cce46f350|c7f61878c76cc8f480|c7f61878c76cc8f480|616301|NZ_LLZG01000301.1:635-26792(REV);5844;7889;-,12.7,0.01,682,13,41,482,510
3-alpha,PF03475.16,44,e8a14f064cce46f350|c7f61878c76cc8f480|c7f61878c76cc8f480|616301|NZ_LLZG01000301.1:635-26792(REV);5844;7889;-,12.7,0.01,682,16,26,538,548
3-alpha,PF03475.16,44,e8a14f064cce46f350|e9cea63511aea7a42f|e9cea63511aea7a42f|2212421|NZ_RQJW01000009.1:224180-250349(REV);5784;7829;-,12.5,0.011,682,13,41,482,510
3-alpha,PF03475.16,44,e8a14f064cce46f350|e9cea63511aea7a42f|e9cea63511aea7a42f|2212421|NZ_RQJW01000009.1:224180-250349(REV);5784;7829;-,12.5,0.011,682,16,26,538,548
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|841add0b6227c2450e|841add0b6227c2450e|8120471|NZ_BMTX01000002.1:66008-92174(FWD);7527;8285;-,15.4,0.0014,253,4,48,13,58
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|841add0b6227c2450e|841add0b6227c2450e|8120471|NZ_BMTX01000002.1:66008-92174(FWD);7527;8285;-,15.4,0.0014,253,7,40,146,178
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|6337b306fa00ca865f|6337b306fa00ca865f|1626241|NZ_PJME01000100.1:0-13454(REV);2671;3930;-,14.2,0.0033,420,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|758d8d9134c923c42e|758d8d9134c923c42e|8121111|NZ_BMWH01000003.1:201969-227841(REV);13334;14608;-,14.0,0.0039,425,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|3585a4d1cc7602bf30|3585a4d1cc7602bf30|4726211|NZ_CP023689.1:3370002-3396216(FWD);13632;14885;-,14.0,0.004,418,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|9e6b4408d76d10ad78|9e6b4408d76d10ad78|4378141|NZ_RDBN01000005.1:634198-660199(REV);15783;17036;-,13.9,0.0041,418,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|73a92041e60057c0c6|73a92041e60057c0c6|618671|NZ_KQ948926.1:428074-454228(FWD);13572;14825;-,13.6,0.0051,418,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|c7f61878c76cc8f480|c7f61878c76cc8f480|616301|NZ_LLZG01000301.1:635-26792(REV);13576;14829;-,13.6,0.0053,418,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|a705255f610b40cc0e|a705255f610b40cc0e|474301|NZ_LGUR01000106.1:187204-210730(REV);11087;12340;-,13.6,0.0053,418,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|d4a4cc6b0864847100|d4a4cc6b0864847100|191321|NZ_KL575053.1:40727-67049(REV);13839;15092;-,13.6,0.0053,418,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|e9cea63511aea7a42f|e9cea63511aea7a42f|2212421|NZ_RQJW01000009.1:224180-250349(REV);13588;14841;-,13.6,0.0053,418,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|383e52a3fe48982d26|383e52a3fe48982d26|866491|NZ_FNHV01000006.1:156044-182177(FWD);13551;14804;-,13.5,0.0056,418,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|d591438dd55111d03a|d591438dd55111d03a|2177101|NZ_CP034539.1:6827914-6854035(REV);13540;14793;-,13.4,0.0058,418,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|79618db4549751bd8c|79618db4549751bd8c|655098|NZ_JH161782.1:0-10284(FWD);8872;10125;-,13.4,0.0062,418,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|461d06d77455b25c83|461d06d77455b25c83|1108041|NZ_MUKA01000435.1:0-14969(FWD);2433;3695;-,13.3,0.0063,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|d27639ae42cfd5178f|d27639ae42cfd5178f|1825951|NZ_CP026121.1:5808492-5834769(REV);13742;15004;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|522a91a39ba4fb001f|522a91a39ba4fb001f|194381|NZ_KL579006.1:134980-160927(REV);13850;15112;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|86c6d8375072f706ce|86c6d8375072f706ce|4726261|NZ_CP023694.1:6244244-6270473(REV);13694;14956;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|2023c386ad58b2f6c7|2023c386ad58b2f6c7|1107191|NZ_NGFN01000194.1:2425-16115(REV);1155;2417;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|46743db71187d9c01e|46743db71187d9c01e|191081|KL569120.1:13305-39663(REV);13823;15085;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|a3386aa5824aa53bb7|a3386aa5824aa53bb7|2582471|NZ_CP021978.1:5888376-5914572(REV);13661;14923;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|e5bf3f2f785823ee0b|e5bf3f2f785823ee0b|7887421|NZ_JACHLX010000001.1:5304366-5330622(REV);13721;14983;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|a8545d94549d5f03d5|a8545d94549d5f03d5|1163221|NZ_NOKT01000022.1:125985-152139(FWD);13651;14913;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|e2c14a35201c08140e|e2c14a35201c08140e|1522241|NZ_LT962942.1:2959992-2986173(FWD);13645;14907;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|7b4b9cf17d3dcf598b|7b4b9cf17d3dcf598b|8121061|NZ_BMWC01000022.1:6341-32522(REV);13646;14908;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|be7648f7985fbac582|be7648f7985fbac582|5460521|NZ_WWIC01000214.1:10577-36830(FWD);13717;14979;-,13.3,0.0064,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|3e522c66994c41a904|3e522c66994c41a904|7886281|NZ_JACHGV010000003.1:874835-901061(REV);13691;14953;-,13.3,0.0065,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|750cf9e5e62f70aa85|750cf9e5e62f70aa85|479171|NZ_LGEA01000092.1:123876-150129(FWD);13717;14979;-,13.3,0.0065,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|e8a14f064cce46f350|e8a14f064cce46f350|7887571|NZ_JACHMS010000001.1:2918422-2944753(FWD);13795;15057;-,13.3,0.0065,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|d50a6ada9499aabfd1|d50a6ada9499aabfd1|1528691|NZ_POUC01000249.1:0-12001(REV);8655;9917;-,13.3,0.0065,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|18a47f59d2477cc3b5|18a47f59d2477cc3b5|8120021|NZ_BMSE01000017.1:113579-139871(FWD);13756;15018;-,13.1,0.0073,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|4f21aba7e6492d7eed|4f21aba7e6492d7eed|7887671|NZ_JACHNE010000001.1:5866718-5892932(REV);13679;14941;-,12.9,0.0088,421,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|92379612a57a20e597|92379612a57a20e597|1054581|NZ_MPOH02000020.1:166301-192443(REV);15198;16451;-,11.7,0.02,418,0,34,2,36
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|92379612a57a20e597|c966b03b8eba9205c7|1109981|NZ_MUBA01000237.1:0-21793(REV);10427;11680;-,11.7,0.02,418,0,34,2,36
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|d208b39dc4d7d0555e|d208b39dc4d7d0555e|2088201|NZ_RJKZ01000001.1:6353836-6379909(REV);13547;14800;-,11.6,0.022,418,0,34,2,36
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|970ec4a4023f479a49|970ec4a4023f479a49|5775131|NZ_JAAGLY010000031.1:60471-86565(FWD);13543;14796;-,11.4,0.025,418,0,33,2,35
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|7ace00d0551c1e8cee|7ace00d0551c1e8cee|7290011|JABFVM010000014.1:0-16990(REV);13540;14793;-,11.4,0.025,418,0,33,2,35
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|4eba1fa449d6ff26cd|4eba1fa449d6ff26cd|2173221|NZ_CP034463.1:7015451-7041551(REV);13580;14827;-,11.4,0.025,416,0,32,2,34
3HCDH_N,PF02737.20,180,e8a14f064cce46f350|f6524bc18522018242|f6524bc18522018242|2162271|NZ_RSAJ01000193.1:0-14392(REV);7614;8867;-,11.3,0.026,418,0,33,2,35
