query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh,PF00389.32,134,7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD);692;1648;-,89.9,2e-27,319,22,134,27,317
2-Hacid_dh,PF00389.32,134,7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD);19215;19979;+,11.6,0.0031,255,9,59,30,80
2-Hacid_dh,PF00389.32,134,7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD);19215;19979;+,11.6,0.0031,255,34,61,169,194
2-Hacid_dh_C,PF02826.21,178,7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD);692;1648;-,189.3,7.3e-58,319,0,178,106,286
2-Hacid_dh_C,PF02826.21,178,7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV);869;2272;+,22.3,1.3e-06,468,32,127,246,337
2-ph_phosp,PF04029.16,226,7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD);21810;22718;-,11.7,0.0022,303,119,162,29,72
23S_rRNA_IVP,PF05635.13,106,7205dff302ff900300|149353d29eaa6fc570|149353d29eaa6fc570|833071|MGVE01000018.1:5630-32327(FWD);7709;8215;+,79.2,4.6e-24,169,0,105,6,113
23S_rRNA_IVP,PF05635.13,106,7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD);11904;12440;+,71.7,1e-21,179,0,86,6,92
23S_rRNA_IVP,PF05635.13,106,7205dff302ff900300|c049d69fedb1076310|c049d69fedb1076310|9164511|JADJPM010000004.1:2774868-2801688(FWD);11904;12440;+,71.7,1e-21,179,36,37,113,114
3Beta_HSD,PF01073.21,280,7205dff302ff900300|940b48332f6a9fa2c5|940b48332f6a9fa2c5|835721|MHGQ01000070.1:18360-33698(FWD);6239;7315;+,26.4,6.1e-08,359,29,137,31,156
3HCDH_N,PF02737.20,180,7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV);20796;21878;-,9.3,0.018,361,0,42,3,46
3HCDH_N,PF02737.20,180,7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV);20796;21878;-,9.3,0.018,361,79,97,101,119
3HCDH_RFF,PF18321.3,69,7205dff302ff900300|4f0141d1c2cde98b72|4f0141d1c2cde98b72|7802151|CAIQQM010000018.1:99755-115906(FWD);1210;1866;-,17.3,9.3e-05,219,4,27,36,59
5_3_exonuc,PF01367.22,97,7205dff302ff900300|49171fcf208358b96f|49171fcf208358b96f|EARTH_3300018018_28|3300018018.a:Ga0187886_1002393:0-15169(REV);12476;13963;-,17.0,0.00013,496,28,73,221,267
5_3_exonuc,PF01367.22,97,7205dff302ff900300|49171fcf208358b96f|49171fcf208358b96f|EARTH_3300018018_28|3300018018.a:Ga0187886_1002393:0-15169(REV);12476;13963;-,17.0,0.00013,496,23,49,445,471
5_3_exonuc,PF01367.22,97,7205dff302ff900300|49171fcf208358b96f|49171fcf208358b96f|EARTH_3300018018_28|3300018018.a:Ga0187886_1002393:0-15169(REV);12476;13963;-,17.0,0.00013,496,17,34,471,488
A2L_zn_ribbon,PF08792.12,33,7205dff302ff900300|90550fdec598b3f625|90550fdec598b3f625|EARTH_3300027706_37|3300027706.a:Ga0209581_1000448:58798-85612(REV);25528;26127;-,14.2,0.0005,200,19,31,106,118
A2L_zn_ribbon,PF08792.12,33,7205dff302ff900300|90550fdec598b3f625|90550fdec598b3f625|EARTH_3300027706_37|3300027706.a:Ga0209581_1000448:58798-85612(REV);25528;26127;-,14.2,0.0005,200,4,22,129,146
AAA,PF00004.31,132,7205dff302ff900300|91e57b31ad27b8f440|91e57b31ad27b8f440|6943371|JAAYDL010000118.1:0-15340(REV);2402;3652;-,61.5,2e-18,417,0,106,112,244
AAA,PF00004.31,132,7205dff302ff900300|25a84f0f169dd7b3a9|48b908d6cb2b66107b|EARTH_3300025409_9|3300025409.a:Ga0208321_1000009:189792-216594(FWD);19961;21325;+,24.8,4.7e-07,455,0,117,172,299
AAA,PF00004.31,132,7205dff302ff900300|17d81b33487932bcde|17d81b33487932bcde|EARTH_3300005529_32|3300005529.a:Ga0070741_10000008:261017-287822(REV);1458;3275;+,15.3,0.00041,606,1,97,380,538
AAA,PF00004.31,132,7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV);1565;2347;+,14.4,0.00076,261,2,20,34,52
AAA,PF00004.31,132,7205dff302ff900300|7205dff302ff900300|7205dff302ff900300|9214191|JAEUHJ010000172.1:27608-54452(REV);1565;2347;+,14.4,0.00076,261,10,23,149,162
AAA,PF00004.31,132,7205dff302ff900300|b3846b384bbb30d475|b3846b384bbb30d475|8895251|JACPAV010000038.1:0-18703(FWD);11182;12183;-,13.5,0.0015,334,1,35,26,60
