Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
0204aff763d8b45bfe|5fa56f786bf39069b8|5fa56f786bf39069b8|5774921|NZ_JAAGLV010000035.1:15398-32008(FWD)	0204aff763d8b45bfe|5fa56f786bf39069b8|5fa56f786bf39069b8|5774921|NZ_JAAGLV010000035.1:15398-32008(FWD)@1	15300	15764	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[17]	['4.40e-04']	[0.568]	[0.414]	NA	NA
0204aff763d8b45bfe|c867d108c1d2f0dadd|c867d108c1d2f0dadd|6463241|NZ_JAASRO010000001.1:2644929-2670438(FWD)	0204aff763d8b45bfe|c867d108c1d2f0dadd|c867d108c1d2f0dadd|6463241|NZ_JAASRO010000001.1:2644929-2670438(FWD)@1	14034	14516	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[14]	['5.60e-04']	[0.41]	[0.303]	NA	NA
0204aff763d8b45bfe|a0b538258dde846814|f9a92c09abb2772392|2354841|NZ_SODP01000003.1:617692-643198(FWD)	0204aff763d8b45bfe|a0b538258dde846814|f9a92c09abb2772392|2354841|NZ_SODP01000003.1:617692-643198(FWD)@1	14074	14556	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[15]	['1.60e-04']	[0.441]	[0.328]	NA	NA
0204aff763d8b45bfe|c867d108c1d2f0dadd|c867d108c1d2f0dadd|6463241|NZ_JAASRO010000001.1:2644929-2670438(FWD)	0204aff763d8b45bfe|c867d108c1d2f0dadd|c867d108c1d2f0dadd|6463241|NZ_JAASRO010000001.1:2644929-2670438(FWD)@2	20564	21319	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[20]	['3.20e-06']	[0.516]	[0.936]	NA	NA
0204aff763d8b45bfe|a0b538258dde846814|a0b538258dde846814|2796381|NZ_SZPZ01000006.1:536261-561767(FWD)	0204aff763d8b45bfe|a0b538258dde846814|a0b538258dde846814|2796381|NZ_SZPZ01000006.1:536261-561767(FWD)@1	14110	14592	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[15]	['1.90e-04']	[0.441]	[0.328]	NA	NA
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)@1	14038	14523	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[14]	['1.80e-04']	[0.432]	[0.323]	NA	NA
0204aff763d8b45bfe|54a444a8ab78de901d|83e28f4e040026ae3b|2353981|NZ_SODU01000003.1:715488-740994(REV)	0204aff763d8b45bfe|54a444a8ab78de901d|83e28f4e040026ae3b|2353981|NZ_SODU01000003.1:715488-740994(REV)@1	14034	14516	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[16]	['8.30e-05']	[0.429]	[0.318]	NA	NA
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)@1	14198	14695	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[12]	['5.50e-05']	[0.428]	[0.328]	NA	NA
0204aff763d8b45bfe|85878a1eb797b810bf|85878a1eb797b810bf|2345171|NZ_SMKA01000044.1:21939-39468(FWD)	0204aff763d8b45bfe|85878a1eb797b810bf|85878a1eb797b810bf|2345171|NZ_SMKA01000044.1:21939-39468(FWD)@1	14126	14632	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[16]	['2.80e-04']	[0.402]	[0.313]	NA	NA
0204aff763d8b45bfe|a8f3affcbc53851ff6|93db11c9e5634e3654|3676801|NZ_VFMM01000001.1:1710967-1736479(REV)	0204aff763d8b45bfe|a8f3affcbc53851ff6|93db11c9e5634e3654|3676801|NZ_VFMM01000001.1:1710967-1736479(REV)@1	14048	19538	False	0%	NA	III-A	1.0	['CasR_0_CAS-I-II-III-IV-V-VI', 'AbiEii_0_CAS-III']	[16, 20]	['1.50e-04', '3.00e-04']	[0.447, 0.323]	[0.333, 0.384]	NA	NA
0204aff763d8b45bfe|54a444a8ab78de901d|fdfc3adcb27132ba43|2337451|NZ_SJJZ01000001.1:702935-728441(REV)	0204aff763d8b45bfe|54a444a8ab78de901d|fdfc3adcb27132ba43|2337451|NZ_SJJZ01000001.1:702935-728441(REV)@1	20838	21602	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[22]	['3.00e-06']	[0.51]	[0.936]	NA	NA
