query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh,PF00389.32,134,7684dc2cf4ee624258|dac7e2edcdbb9289ab|81a7d982d5291e57f5|1492501|NZ_PEND01000001.1:855896-881033(FWD);4431;5378;+,36.0,2.7e-10,316,50,132,57,313
2-Hacid_dh,PF00389.32,134,7684dc2cf4ee624258|c00eab36c02f7a694a|cf33efeebd74328e85|317518|NC_014729.1:755162-780299(FWD);21383;22315;+,32.0,4.9e-09,311,52,133,53,309
2-Hacid_dh_C,PF02826.21,178,7684dc2cf4ee624258|dac7e2edcdbb9289ab|81a7d982d5291e57f5|1492501|NZ_PEND01000001.1:855896-881033(FWD);4431;5378;+,175.8,2.9e-53,316,1,178,109,282
2-Hacid_dh_C,PF02826.21,178,7684dc2cf4ee624258|c00eab36c02f7a694a|cf33efeebd74328e85|317518|NC_014729.1:755162-780299(FWD);21383;22315;+,171.1,8.6e-52,311,1,178,102,278
2-Hacid_dh_C,PF02826.21,178,7684dc2cf4ee624258|f9248fa71094fe6741|f9248fa71094fe6741|8118821|NZ_BMOC01000017.1:0-13517(FWD);1178;2341;+,25.1,5.5e-07,388,33,103,4,80
2-Hacid_dh_C,PF02826.21,178,7684dc2cf4ee624258|2e3844454a0c270d88|2e3844454a0c270d88|1653691|PXST01000026.1:0-24876(REV);18676;19533;+,17.0,0.00017,286,36,88,7,57
2-Hacid_dh_C,PF02826.21,178,7684dc2cf4ee624258|aba02898f0559cb125|eb1ee21283ce62f49f|536528|NZ_AOIB01000021.1:37258-62416(FWD);4644;6161;-,16.6,0.00022,506,38,108,12,89
2-Hacid_dh_C,PF02826.21,178,7684dc2cf4ee624258|c00eab36c02f7a694a|68aeb098288fb55fd8|7330941|NZ_JACAWU010000001.1:1170780-1195929(REV);20314;21621;+,15.6,0.00046,436,29,68,223,262
2-Hacid_dh_C,PF02826.21,178,7684dc2cf4ee624258|7684dc2cf4ee624258|7684dc2cf4ee624258|7280471|NZ_JABURX010000002.1:342658-367834(FWD);22661;23647;-,14.9,0.00074,329,37,102,2,73
2-Hacid_dh_C,PF02826.21,178,7684dc2cf4ee624258|c00eab36c02f7a694a|d8cfc337e9367ee4bd|537068|NZ_AOJL01000063.1:26625-51762(FWD);9728;10987;+,11.6,0.0077,420,28,68,206,246
3Beta_HSD,PF01073.21,280,7684dc2cf4ee624258|c00eab36c02f7a694a|cf33efeebd74328e85|1970911|PUMI01000014.1:0-5961(REV);1177;2163;-,74.7,3.6e-22,329,0,223,3,228
3Beta_HSD,PF01073.21,280,7684dc2cf4ee624258|b9d80b258c9778ee4f|1dba1c97e3e420aebc|7280471|NZ_JABURX010000002.1:416976-442113(REV);12779;13762;+,69.0,1.9e-20,328,0,229,29,245
