Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
031933be88d0f6dd71|031933be88d0f6dd71|03d848240f8267316e|2337451|NZ_SJJZ01000001.1:704191-729706(REV)	031933be88d0f6dd71|031933be88d0f6dd71|03d848240f8267316e|2337451|NZ_SJJZ01000001.1:704191-729706(REV)@1	22103	22867	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[23]	['2.70e-06']	[0.51]	[0.936]	NA	NA
031933be88d0f6dd71|e3dcd789cf8d7706b5|e3dcd789cf8d7706b5|3676801|NZ_VFMM01000001.1:1712267-1737755(REV)	031933be88d0f6dd71|e3dcd789cf8d7706b5|e3dcd789cf8d7706b5|3676801|NZ_VFMM01000001.1:1712267-1737755(REV)@1	15324	20814	False	0%	NA	III-A	1.0	['CasR_0_CAS-I-II-III-IV-V-VI', 'AbiEii_0_CAS-III']	[16, 20]	['1.40e-04', '2.70e-04']	[0.447, 0.323]	[0.333, 0.384]	NA	NA
031933be88d0f6dd71|b448e52b7de1a93665|b448e52b7de1a93665|2354841|NZ_SODP01000003.1:616414-641947(FWD)	031933be88d0f6dd71|b448e52b7de1a93665|b448e52b7de1a93665|2354841|NZ_SODP01000003.1:616414-641947(FWD)@1	15352	15834	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[16]	['1.50e-04']	[0.441]	[0.328]	NA	NA
031933be88d0f6dd71|e07d6a45d3106e5984|e07d6a45d3106e5984|2345171|NZ_SMKA01000044.1:20666-39468(FWD)	031933be88d0f6dd71|e07d6a45d3106e5984|e07d6a45d3106e5984|2345171|NZ_SMKA01000044.1:20666-39468(FWD)@1	15399	15905	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[17]	['2.60e-04']	[0.402]	[0.313]	NA	NA
031933be88d0f6dd71|2afb1f9b5a124d34dd|2afb1f9b5a124d34dd|2353981|NZ_SODU01000003.1:716728-742243(REV)	031933be88d0f6dd71|2afb1f9b5a124d34dd|2afb1f9b5a124d34dd|2353981|NZ_SODU01000003.1:716728-742243(REV)@1	15283	15765	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[16]	['7.50e-05']	[0.429]	[0.318]	NA	NA
031933be88d0f6dd71|94404d5eccedeb33c4|94404d5eccedeb33c4|1772781|NZ_QFXK01000030.1:128577-154221(REV)	031933be88d0f6dd71|94404d5eccedeb33c4|94404d5eccedeb33c4|1772781|NZ_QFXK01000030.1:128577-154221(REV)@2	20636	22303	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[22]	['2.00e-06']	[0.3]	[0.412]	NA	NA
031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)@1	15292	15774	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[14]	['5.10e-04']	[0.41]	[0.303]	NA	NA
031933be88d0f6dd71|67494bb655c5c33e73|67494bb655c5c33e73|2353611|NZ_SOCE01000001.1:5160909-5186469(FWD)	031933be88d0f6dd71|67494bb655c5c33e73|67494bb655c5c33e73|2353611|NZ_SOCE01000001.1:5160909-5186469(FWD)@1	15337	15876	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[16]	['4.00e-05']	[0.4]	[0.333]	NA	NA
031933be88d0f6dd71|8129c5c2d883bba1a3|8129c5c2d883bba1a3|7887721|NZ_JACHNF010000001.1:7090030-7115569(FWD)	031933be88d0f6dd71|8129c5c2d883bba1a3|8129c5c2d883bba1a3|7887721|NZ_JACHNF010000001.1:7090030-7115569(FWD)@2	22093	22836	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[20]	['2.10e-06']	[0.464]	[0.936]	NA	NA
031933be88d0f6dd71|f0e1a244f8b2e40bef|f0e1a244f8b2e40bef|2345581|NZ_SMKX01000102.1:9512-32281(REV)	031933be88d0f6dd71|f0e1a244f8b2e40bef|f0e1a244f8b2e40bef|2345581|NZ_SMKX01000102.1:9512-32281(REV)@1	12568	13074	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[15]	['1.80e-04']	[0.396]	[0.308]	NA	NA
