query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
1-cysPrx_C,PF10417.11,40,6bf6c4c7da68779d7a|05bea63ebceaf8a404|3899cf24f8f3cbc04d|3558131|NZ_SRZY01000030.1:73172-98987(REV);8278;8913;+,38.8,2.3e-11,212,0,33,155,188
1-cysPrx_C,PF10417.11,40,6bf6c4c7da68779d7a|05bea63ebceaf8a404|05bea63ebceaf8a404|8693681|NZ_MU158693.1:380214-406029(REV);6417;7052;+,38.4,3e-11,212,0,34,155,189
1-cysPrx_C,PF10417.11,40,6bf6c4c7da68779d7a|05bea63ebceaf8a404|ac74770fb6b96fa37b|2704241|NZ_SUKA01000008.1:140727-166542(REV);5773;6408;+,38.4,3.1e-11,212,0,34,155,189
1-cysPrx_C,PF10417.11,40,6bf6c4c7da68779d7a|05bea63ebceaf8a404|c70c7acafcda55aa94|2704121|NZ_SUME01000009.1:114870-140685(REV);4652;5287;+,37.8,4.8e-11,212,0,34,155,189
2-Hacid_dh,PF00389.32,134,6bf6c4c7da68779d7a|cf1183adcd3348274f|6cb46adafc75ce3bb5|EARTH_3300024044_9|3300024044.a:Ga0222419_100310:26730-52542(FWD);19095;20042;+,103.8,2.1e-31,316,4,124,6,313
2-Hacid_dh,PF00389.32,134,6bf6c4c7da68779d7a|a4e8b47903e3186e9e|a4e8b47903e3186e9e|6598101|NZ_JAAUVN010000007.1:266549-292358(FWD);22660;23073;+,37.2,7.9e-11,138,1,100,3,108
2-Hacid_dh_C,PF02826.21,178,6bf6c4c7da68779d7a|cf1183adcd3348274f|6cb46adafc75ce3bb5|EARTH_3300024044_9|3300024044.a:Ga0222419_100310:26730-52542(FWD);19095;20042;+,152.9,2.1e-46,316,1,178,104,291
2-Hacid_dh_C,PF02826.21,178,6bf6c4c7da68779d7a|cf1183adcd3348274f|4532b45c4e7edc67c0|885241|NZ_FOZZ01000001.1:166628-192440(REV);19739;20578;-,26.8,1e-07,280,37,107,1,75
2-Hacid_dh_C,PF02826.21,178,6bf6c4c7da68779d7a|cf1183adcd3348274f|4532b45c4e7edc67c0|885241|NZ_FOZZ01000001.1:166628-192440(REV);19739;20578;-,26.8,1e-07,280,150,169,252,271
23S_rRNA_IVP,PF05635.13,106,6bf6c4c7da68779d7a|05bea63ebceaf8a404|ac74770fb6b96fa37b|2704241|NZ_SUKA01000008.1:140727-166542(REV);21353;21706;+,105.1,8.1e-32,118,1,105,3,108
