query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
1-cysPrx_C,PF10417.11,40,4a23bcab7c50591a6a|7c9eb5807dce42fc07|7c9eb5807dce42fc07|EARTH_3300027653_24|3300027653.a:Ga0209487_1002804:0-13966(FWD);9118;9687;-,29.5,8.5e-08,190,1,31,156,184
1-cysPrx_C,PF10417.11,40,4a23bcab7c50591a6a|5cd590d190a494f515|5cd590d190a494f515|1884411|NZ_QJSH01000018.1:21022-46228(REV);16185;16748;-,25.9,1.1e-06,188,1,31,154,182
17kDa_Anti_2,PF16998.7,116,4a23bcab7c50591a6a|5ce30e7b0d8c1e9f72|92abc364d5f0aca373|477821|NZ_CP011456.1:598829-624230(FWD);22112;23353;-,8.3,0.35,414,44,62,78,96
17kDa_Anti_2,PF16998.7,116,4a23bcab7c50591a6a|5ce30e7b0d8c1e9f72|92abc364d5f0aca373|477821|NZ_CP011456.1:598829-624230(FWD);22112;23353;-,8.3,0.35,414,44,63,175,194
17kDa_Anti_2,PF16998.7,116,4a23bcab7c50591a6a|5ce30e7b0d8c1e9f72|92abc364d5f0aca373|477821|NZ_CP011456.1:598829-624230(FWD);22112;23353;-,8.3,0.35,414,40,64,219,243
17kDa_Anti_2,PF16998.7,116,4a23bcab7c50591a6a|5ce30e7b0d8c1e9f72|92abc364d5f0aca373|477821|NZ_CP011456.1:598829-624230(FWD);22112;23353;-,8.3,0.35,414,44,63,270,289
17kDa_Anti_2,PF16998.7,116,4a23bcab7c50591a6a|5ce30e7b0d8c1e9f72|92abc364d5f0aca373|477821|NZ_CP011456.1:598829-624230(FWD);22112;23353;-,8.3,0.35,414,44,64,317,337
2-Hacid_dh,PF00389.32,134,4a23bcab7c50591a6a|7c9eb5807dce42fc07|7c9eb5807dce42fc07|EARTH_3300027653_24|3300027653.a:Ga0209487_1002804:0-13966(FWD);10301;11956;-,119.5,1.3e-35,552,0,134,24,335
2-Hacid_dh,PF00389.32,134,4a23bcab7c50591a6a|8e5a55dbfab1c28eff|8e5a55dbfab1c28eff|7054621|DTYB01000304.1:0-4095(REV);191;1117;+,105.9,2e-31,309,0,126,5,308
2-Hacid_dh,PF00389.32,134,4a23bcab7c50591a6a|b422be962cf0ad260e|b422be962cf0ad260e|233381|NZ_JUGY01000029.1:30198-55512(FWD);4846;5802;+,104.5,5.5e-31,319,19,129,23,314
