Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
d2248a31d0e133ef11|d31dc44558d37188b3|d31dc44558d37188b3|1648141|OMVU01000053.1:6439-19772(FWD)	d2248a31d0e133ef11|d31dc44558d37188b3|d31dc44558d37188b3|1648141|OMVU01000053.1:6439-19772(FWD)@1	6731	8876	False	0%	0%	I-A	0.0	['WYL_3_CAS-I-II-III-IV-V-VI', 'WYL_3_CAS-I-II-III-IV-V-VI']	[7, 8]	['1.10e-12', '4.40e-15']	[0.531, 0.443]	[0.977, 0.988]	NA	NA
d2248a31d0e133ef11|72bf6e01bfc569c693|72bf6e01bfc569c693|GUT_GENOME245976|GUT_GENOME245976_10:30271-52091(REV)	d2248a31d0e133ef11|72bf6e01bfc569c693|72bf6e01bfc569c693|GUT_GENOME245976|GUT_GENOME245976_10:30271-52091(REV)@2	20334	21176	False	20%	NA	III-A	4.0	['Csm2gr11_7_CAS-III-A']	[21]	['2.70e-03']	[0.367]	[0.782]	1	NA
d2248a31d0e133ef11|bba23b6ed39226aa30|4d8982e141e6fdd9f3|5851201|JAAHHH010000096.1:0-12876(FWD)	d2248a31d0e133ef11|bba23b6ed39226aa30|4d8982e141e6fdd9f3|5851201|JAAHHH010000096.1:0-12876(FWD)@1	357	2144	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[2]	['4.90e-56']	[0.394]	[0.735]	NA	NA
d2248a31d0e133ef11|89ba49a64467a1fc46|89ba49a64467a1fc46|816601|NZ_CP017014.1:2030717-2056112(REV)	d2248a31d0e133ef11|89ba49a64467a1fc46|89ba49a64467a1fc46|816601|NZ_CP017014.1:2030717-2056112(REV)@3	20601	21362	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[20]	['2.10e-08']	[0.559]	[0.479]	NA	NA
d2248a31d0e133ef11|46ec86fd227a64e9da|46ec86fd227a64e9da|EARTH_3300018065_21|3300018065.a:Ga0180430_10011705:0-6795(FWD)	d2248a31d0e133ef11|46ec86fd227a64e9da|46ec86fd227a64e9da|EARTH_3300018065_21|3300018065.a:Ga0180430_10011705:0-6795(FWD)@1	3101	5956	False	20%	NA	IV-A1	2.0	['Csf4_0_IVA']	[5]	['9.00e-63']	[0.674]	[0.905]	-1	NA
d2248a31d0e133ef11|61d4b029ae6b33a43b|61d4b029ae6b33a43b|3592841|NZ_CP041244.1:8642210-8667554(FWD)	d2248a31d0e133ef11|61d4b029ae6b33a43b|61d4b029ae6b33a43b|3592841|NZ_CP041244.1:8642210-8667554(FWD)@1	671	1399	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['5.20e-07']	[0.432]	[0.349]	NA	NA
d2248a31d0e133ef11|2c5a1d34e6ae9557a2|2c5a1d34e6ae9557a2|5404971|WRJC01000001.1:163130-188579(FWD)	d2248a31d0e133ef11|2c5a1d34e6ae9557a2|2c5a1d34e6ae9557a2|5404971|WRJC01000001.1:163130-188579(FWD)@1	2628	3215	False	0%	NA	III-B	1.0	['HTH_0_CAS-III-B']	[4]	['4.70e-04']	[0.51]	[0.498]	NA	NA
d2248a31d0e133ef11|866ec60bdfdf0d4098|29a8bcc10cfe9ad1ef|789921|NZ_FMHU01000002.1:3253581-3278976(FWD)	d2248a31d0e133ef11|866ec60bdfdf0d4098|29a8bcc10cfe9ad1ef|789921|NZ_FMHU01000002.1:3253581-3278976(FWD)@2	20155	20628	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[26]	['3.70e-03']	[0.361]	[0.517]	NA	NA
d2248a31d0e133ef11|3a7e33d6edf34180d8|24b5a680dff2b05cfe|GUT_GENOME159033|GUT_GENOME159033_1:0-16266(REV)	d2248a31d0e133ef11|3a7e33d6edf34180d8|24b5a680dff2b05cfe|GUT_GENOME159033|GUT_GENOME159033_1:0-16266(REV)@1	7590	8234	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[11]	['4.70e-09']	[0.595]	[0.44]	NA	NA
d2248a31d0e133ef11|2b65bf5fb70447d791|2b65bf5fb70447d791|EARTH_3300027823_50|3300027823.a:Ga0209490_10011850:0-7519(FWD)	d2248a31d0e133ef11|2b65bf5fb70447d791|2b65bf5fb70447d791|EARTH_3300027823_50|3300027823.a:Ga0209490_10011850:0-7519(FWD)@1	5963	7084	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[9]	['5.80e-09']	[0.447]	[0.574]	NA	NA
