recid,crhash,chash,start,end
CP049504.1,a9532f51402838beb96f,930adc3aa1d394dff59b,34906,35110
CP049504.1,bd770e96fc21a9b9eb30,930adc3aa1d394dff59b,35121,35394
CP049504.1,fe41124354ad87948e6b,930adc3aa1d394dff59b,38854,39617
CP049504.1,4792a946df89b4d2a878,930adc3aa1d394dff59b,57374,57720
CP049504.1,4348e0cd1c2dd18432a5,930adc3aa1d394dff59b,137199,137418
CP049504.1,a5d3d311df1895db8108,930adc3aa1d394dff59b,280497,280933
CP049504.1,9489a6e5ca45715b2223,930adc3aa1d394dff59b,624859,625396
CP049504.1,92e071a656175c78a4d9,930adc3aa1d394dff59b,633159,633595
CP049504.1,d884d7678f23cb9d035b,930adc3aa1d394dff59b,796120,796255
CP049504.1,1102bc5d56f4cd8c8bda,930adc3aa1d394dff59b,837097,837175
CP049504.1,8c9e46a3d17d1fb27be7,930adc3aa1d394dff59b,842552,842814
CP049504.1,e861a5b1940d9a1f102f,930adc3aa1d394dff59b,849840,849920
CP049504.1,cd153b12ad9a0d95f40c,930adc3aa1d394dff59b,868957,869690
CP049504.1,acf27c0c3f8f1cbbf429,930adc3aa1d394dff59b,886107,886191
CP049504.1,91840caf56cc7b48906e,930adc3aa1d394dff59b,900672,900823
CP049504.1,879d1acad48353304c88,930adc3aa1d394dff59b,1068341,1068635
CP049504.1,58db2a83e96730dace62,930adc3aa1d394dff59b,1149188,1149279
CP049504.1,c70d57f4c8d6bc760793,930adc3aa1d394dff59b,1154671,1154759
CP049504.1,7bb0bceda11a89f7556a,930adc3aa1d394dff59b,1227577,1227731
CP049504.1,d711c1ceb293a65122de,930adc3aa1d394dff59b,1709276,1709415
CP049504.1,6a1ab41f876111e21f25,930adc3aa1d394dff59b,1970034,1970249
CP049504.1,2036704d8a764ca0f277,930adc3aa1d394dff59b,2057658,2057749
CP049504.1,4659bdb96bfcaf04f434,930adc3aa1d394dff59b,2156503,2156682
CP049504.1,8a7357d283279092b5c6,930adc3aa1d394dff59b,2292338,2292423
CP049504.1,2f23ed9bd84064f1f955,930adc3aa1d394dff59b,2463032,2463131
CP049504.1,2684f0bf4078304ba816,930adc3aa1d394dff59b,2514537,2514697
CP049504.1,3e915965542df517199f,930adc3aa1d394dff59b,2782720,2783185
CP049506.1,09c8a6f0d1bf2dac82d9,40edf053208b6de4d306,27380,27498
