Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	a366ac26802335850e|2308b8354517735f4a|2308b8354517735f4a|880371|NZ_FOUV01000018.1:135569-161447(REV)_23	800	284	0.00017	16.1	22050	24449	a366ac26802335850e|2308b8354517735f4a|2308b8354517735f4a|880371|NZ_FOUV01000018.1:135569-161447(REV)	23	0.155	0.30985915492957744	-1
AbiEii_0_CAS-III	a366ac26802335850e|510c11a61902e9b6fe|510c11a61902e9b6fe|220081|NZ_JRHJ01000022.1:91416-117246(REV)_23	800	284	0.00022	15.8	22514	24913	a366ac26802335850e|510c11a61902e9b6fe|510c11a61902e9b6fe|220081|NZ_JRHJ01000022.1:91416-117246(REV)	23	0.15	0.30985915492957744	-1
AbiEii_0_CAS-III	a366ac26802335850e|5b33a88a494600e822|5b33a88a494600e822|431881|NZ_KQ257875.1:1247825-1273649(FWD)_24	803	284	7.9e-06	20.5	22496	24904	a366ac26802335850e|5b33a88a494600e822|5b33a88a494600e822|431881|NZ_KQ257875.1:1247825-1273649(FWD)	24	0.1581569115815691	0.31690140845070425	-1
AbiEii_0_CAS-III	a366ac26802335850e|5b33a88a494600e822|721ff03d3d0830c8ce|667238|NZ_KB911581.1:1635615-1661439(FWD)_23	803	284	7.7e-06	20.6	22277	24685	a366ac26802335850e|5b33a88a494600e822|721ff03d3d0830c8ce|667238|NZ_KB911581.1:1635615-1661439(FWD)	23	0.1581569115815691	0.31690140845070425	-1
AbiEii_0_CAS-III	a366ac26802335850e|681599921f4bf008a8|681599921f4bf008a8|163818|NC_013929.1:3359333-3385163(REV)_23	803	284	3e-05	18.6	22316	24724	a366ac26802335850e|681599921f4bf008a8|681599921f4bf008a8|163818|NC_013929.1:3359333-3385163(REV)	23	0.33623910336239105	0.8133802816901409	-1
AbiEii_0_CAS-III	a366ac26802335850e|80d8a7ab53b5f1cfc3|80d8a7ab53b5f1cfc3|7886961|NZ_JACHJX010000002.1:334474-360331(FWD)_23	806	284	0.00032	15.3	22332	24749	a366ac26802335850e|80d8a7ab53b5f1cfc3|80d8a7ab53b5f1cfc3|7886961|NZ_JACHJX010000002.1:334474-360331(FWD)	23	0.1588089330024814	0.31338028169014087	-1
AbiEii_0_CAS-III	a366ac26802335850e|9003e96e9b6f7550ed|9003e96e9b6f7550ed|4970821|NZ_CP045096.1:7239068-7264871(FWD)_23	800	284	9.6e-05	17.0	22061	24460	a366ac26802335850e|9003e96e9b6f7550ed|9003e96e9b6f7550ed|4970821|NZ_CP045096.1:7239068-7264871(FWD)	23	0.155	0.30985915492957744	-1
Cas10_7_CAS-III	a366ac26802335850e|98793f802771bb661b|98793f802771bb661b|8120841|NZ_BMVG01000021.1:99460-125293(REV)_22	333	410	0.0018	12.3	20854	21852	a366ac26802335850e|98793f802771bb661b|98793f802771bb661b|8120841|NZ_BMVG01000021.1:99460-125293(REV)	22	0.24024024024024024	0.1951219512195122	1
Cas12a_1_CAS-V-A	a366ac26802335850e|c8d985df64b9e23216|c8d985df64b9e23216|3677141|NZ_VFNX01000001.1:1700909-1726754(REV)_9	448	1086	0.00022	14.2	8176	9519	a366ac26802335850e|c8d985df64b9e23216|c8d985df64b9e23216|3677141|NZ_VFNX01000001.1:1700909-1726754(REV)	9	0.11160714285714286	0.053406998158379376	1
Cas12b2_0_CAS-V-B	a366ac26802335850e|c8d985df64b9e23216|c8d985df64b9e23216|3677141|NZ_VFNX01000001.1:1700909-1726754(REV)_9	448	747	0.00071	13.0	8176	9519	a366ac26802335850e|c8d985df64b9e23216|c8d985df64b9e23216|3677141|NZ_VFNX01000001.1:1700909-1726754(REV)	9	0.35714285714285715	0.22088353413654618	1
Cas12e_0_CAS-V-E	a366ac26802335850e|c8d985df64b9e23216|c8d985df64b9e23216|3677141|NZ_VFNX01000001.1:1700909-1726754(REV)_9	448	855	0.00022	14.4	8176	9519	a366ac26802335850e|c8d985df64b9e23216|c8d985df64b9e23216|3677141|NZ_VFNX01000001.1:1700909-1726754(REV)	9	0.140625	0.07368421052631578	1
Cas12f1_0_CAS-V-F	a366ac26802335850e|c8d985df64b9e23216|c8d985df64b9e23216|3677141|NZ_VFNX01000001.1:1700909-1726754(REV)_9	448	512	2.6e-09	31.3	8176	9519	a366ac26802335850e|c8d985df64b9e23216|c8d985df64b9e23216|3677141|NZ_VFNX01000001.1:1700909-1726754(REV)	9	0.35714285714285715	0.33984375	1
Cas12f1_1_CAS-V-F	a366ac26802335850e|c8d985df64b9e23216|c8d985df64b9e23216|3677141|NZ_VFNX01000001.1:1700909-1726754(REV)_9	448	557	3.8e-29	96.6	8176	9519	a366ac26802335850e|c8d985df64b9e23216|c8d985df64b9e23216|3677141|NZ_VFNX01000001.1:1700909-1726754(REV)	9	0.42857142857142855	0.37881508078994613	1
