query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|6e33177ddfe400f784|6e33177ddfe400f784|1151511|NZ_LT607410.1:3080728-3106549(REV);10083;11063;+,15.8,0.00013,327,32,97,142,208
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|3ca641e5d9e0cfb620|3ca641e5d9e0cfb620|37528|NC_009380.1:2868955-2894803(REV);10090;11070;+,15.8,0.00013,327,33,97,143,208
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|99bad8a5a029016db4|6cc3a43ebb73e26eab|667218|NZ_KB911579.1:5062479-5088327(REV);10090;11070;+,15.8,0.00013,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD);10089;11069;+,14.8,0.00026,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|ae4b9acc35d4c7e246|ae4b9acc35d4c7e246|90041|NZ_AZWO01000004.1:99938-125786(REV);10090;11070;+,14.8,0.00027,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|ae4b9acc35d4c7e246|ae4b9acc35d4c7e246|90041|NZ_AZWO01000004.1:99938-125786(REV);15720;16589;+,14.6,0.00031,290,26,73,29,78
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|ae4b9acc35d4c7e246|ae4b9acc35d4c7e246|90041|NZ_AZWO01000004.1:99938-125786(REV);15720;16589;+,14.6,0.00031,290,31,59,211,239
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV);10071;11042;+,14.5,0.00033,324,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|4d563ad3edeadda1c7|4d563ad3edeadda1c7|72791|NZ_AXVR01000005.1:46472-72320(REV);10090;11070;+,13.9,0.0005,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|5ec0081988797c16da|5ec0081988797c16da|761451|NZ_LT594323.1:2197422-2223231(REV);10082;11059;+,12.5,0.0013,326,32,96,142,207
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|744e59ea365d35a501|744e59ea365d35a501|789901|NZ_FMHV01000002.1:5078761-5104570(REV);10081;11061;+,12.4,0.0015,327,33,99,143,209
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|04bbfb58c48a0e8a29|04bbfb58c48a0e8a29|789791|NZ_FMDN01000004.1:292448-318269(FWD);10090;11067;+,11.9,0.0021,326,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,04bbfb58c48a0e8a29|04bbfb58c48a0e8a29|3f8836fe83265b8701|1151501|NZ_LT607753.1:1194217-1220038(FWD);10090;11067;+,11.3,0.0031,326,33,96,143,207
3Beta_HSD,PF01073.21,280,04bbfb58c48a0e8a29|6e33177ddfe400f784|6e33177ddfe400f784|1151511|NZ_LT607410.1:3080728-3106549(REV);22357;23418;-,51.6,1.3e-15,354,0,124,3,127
3Beta_HSD,PF01073.21,280,04bbfb58c48a0e8a29|6e33177ddfe400f784|6e33177ddfe400f784|1151511|NZ_LT607410.1:3080728-3106549(REV);22357;23418;-,51.6,1.3e-15,354,142,230,175,264
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|ae4b9acc35d4c7e246|ae4b9acc35d4c7e246|90041|NZ_AZWO01000004.1:99938-125786(REV);10090;11070;+,22.7,1.5e-06,327,1,36,148,184
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|3ca641e5d9e0cfb620|3ca641e5d9e0cfb620|37528|NC_009380.1:2868955-2894803(REV);10090;11070;+,22.0,2.4e-06,327,1,36,148,184
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|4d563ad3edeadda1c7|4d563ad3edeadda1c7|72791|NZ_AXVR01000005.1:46472-72320(REV);10090;11070;+,21.6,3.3e-06,327,1,36,148,184
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD);10089;11069;+,21.4,3.6e-06,327,1,36,148,184
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV);10071;11042;+,20.9,5.5e-06,324,1,38,148,186
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|99bad8a5a029016db4|6cc3a43ebb73e26eab|667218|NZ_KB911579.1:5062479-5088327(REV);10090;11070;+,20.6,6.4e-06,327,1,36,148,184
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|1f6828539e89a56a68|2e397bd7c94b422c08|7531331|NZ_CP059322.1:5176082-5201888(REV);10084;11061;+,20.1,9.6e-06,326,1,35,148,183
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|744e59ea365d35a501|744e59ea365d35a501|789901|NZ_FMHV01000002.1:5078761-5104570(REV);10081;11061;+,19.6,1.3e-05,327,1,37,148,185
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|6e33177ddfe400f784|6e33177ddfe400f784|1151511|NZ_LT607410.1:3080728-3106549(REV);10083;11063;+,19.4,1.6e-05,327,1,38,148,186
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|5ec0081988797c16da|5ec0081988797c16da|761451|NZ_LT594323.1:2197422-2223231(REV);10082;11059;+,18.7,2.5e-05,326,1,38,148,186
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|504c4ab2bd157199d1|504c4ab2bd157199d1|920271|NZ_LWLS01000072.1:203474-229286(FWD);10085;11062;+,18.0,4e-05,326,1,39,148,187
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|1f6828539e89a56a68|1f6828539e89a56a68|789801|NZ_FMDM01000001.1:244122-269928(FWD);10083;11060;+,18.0,4.1e-05,326,1,36,148,184
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|04bbfb58c48a0e8a29|3f8836fe83265b8701|1151501|NZ_LT607753.1:1194217-1220038(FWD);10090;11067;+,17.5,6e-05,326,1,37,148,185
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|04bbfb58c48a0e8a29|04bbfb58c48a0e8a29|789791|NZ_FMDN01000004.1:292448-318269(FWD);10090;11067;+,16.9,8.8e-05,326,1,37,148,185
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|99bad8a5a029016db4|6cc3a43ebb73e26eab|667218|NZ_KB911579.1:5062479-5088327(REV);16142;16924;+,13.5,0.00097,261,3,44,14,57
3HCDH_N,PF02737.20,180,04bbfb58c48a0e8a29|ae4b9acc35d4c7e246|ae4b9acc35d4c7e246|90041|NZ_AZWO01000004.1:99938-125786(REV);15720;16589;+,11.9,0.0032,290,3,43,43,85
7TMR-DISM_7TM,PF07695.13,205,04bbfb58c48a0e8a29|99bad8a5a029016db4|6cc3a43ebb73e26eab|667218|NZ_KB911579.1:5062479-5088327(REV);20631;21659;-,13.0,0.0015,343,132,141,24,33
7TMR-DISM_7TM,PF07695.13,205,04bbfb58c48a0e8a29|99bad8a5a029016db4|6cc3a43ebb73e26eab|667218|NZ_KB911579.1:5062479-5088327(REV);20631;21659;-,13.0,0.0015,343,105,169,109,171
7TMR-DISM_7TM,PF07695.13,205,04bbfb58c48a0e8a29|4d563ad3edeadda1c7|4d563ad3edeadda1c7|72791|NZ_AXVR01000005.1:46472-72320(REV);19283;20311;-,12.1,0.0027,343,133,140,25,32
