Contig	Start	End	Strand	Pos
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	3	1904	1	1
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	2055	3503	1	2
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	3809	4792	1	3
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	4820	6232	-1	4
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	6415	8631	-1	5
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	8884	9594	-1	6
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	9980	11032	-1	7
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	11115	11654	1	8
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	11703	12497	1	9
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	12500	13024	1	10
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	13126	14100	1	11
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	14198	14695	1	12
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	14837	16369	1	13
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	16370	17308	1	14
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	17305	18102	1	15
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	18099	19637	1	16
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	19634	20698	1	17
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	20708	21451	1	18
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	21448	22257	1	19
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	22254	23480	1	20
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	23709	24776	1	21
0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	25172	25522	1	22
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	3	332	1	1
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	528	950	1	2
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	1650	3086	1	3
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	3471	4454	1	4
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	4451	5860	-1	5
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	5990	8206	-1	6
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	8259	8933	-1	7
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	8965	9801	-1	8
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	9822	10583	-1	9
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	10585	11109	-1	10
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	11226	11759	1	11
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	11809	12498	1	12
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	12501	13010	1	13
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	13007	13996	1	14
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	14039	14521	1	15
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	14631	16166	1	16
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	16167	17105	1	17
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	17192	17959	1	18
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	17956	19488	1	19
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	19485	20531	1	20
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	20541	21350	1	21
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	21347	22543	1	22
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	22607	23284	1	23
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	23330	23785	1	24
0204aff763d8b45bfe|e425987854198e58b4|e425987854198e58b4|2353891|NZ_SODF01000003.1:910636-936145(REV)	23769	25508	-1	25
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	3	209	1	1
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	246	2453	1	2
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	2601	4037	1	3
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	4037	5020	1	4
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	5386	6201	1	5
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	6280	7263	1	6
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	7299	9515	-1	7
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	9567	10241	-1	8
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	10273	11124	-1	9
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	11222	11743	1	10
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	11797	12498	1	11
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	12501	13007	1	12
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	13196	13990	1	13
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	14038	14523	1	14
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	14817	16349	1	15
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	16350	17288	1	16
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	17285	18109	1	17
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	18106	19668	1	18
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	19665	20714	1	19
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	20920	21735	1	20
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	21732	22964	1	21
0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	22985	23677	1	22
