Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	0093c124a5b6ee038d|7953d9f5491edbf36c|7953d9f5491edbf36c|1108091|NZ_MUFU01000118.1:13923-37098(REV)_1	243	94	2.1e-05	22.6	2	730	0093c124a5b6ee038d|7953d9f5491edbf36c|7953d9f5491edbf36c|1108091|NZ_MUFU01000118.1:13923-37098(REV)	1	0.5185185185185185	0.8191489361702128	-1
AbiEii_0_CAS-III	0093c124a5b6ee038d|12ca4df68ab9506577|12ca4df68ab9506577|5060041|NZ_VJZD01000153.1:1512-23399(REV)_3	249	284	5.6e-05	20.3	2438	3184	0093c124a5b6ee038d|12ca4df68ab9506577|12ca4df68ab9506577|5060041|NZ_VJZD01000153.1:1512-23399(REV)	3	0.42168674698795183	0.34507042253521125	1
AbiEii_0_CAS-III	0093c124a5b6ee038d|1974c1bd0699cf5dcc|1974c1bd0699cf5dcc|1590631|NZ_CP026652.1:279034-304450(REV)_10	309	284	0.0041	14.2	8125	9051	0093c124a5b6ee038d|1974c1bd0699cf5dcc|1974c1bd0699cf5dcc|1590631|NZ_CP026652.1:279034-304450(REV)	10	0.2783171521035599	0.29225352112676056	-1
AbiEii_0_CAS-III	0093c124a5b6ee038d|24b3be7121c6736fff|24b3be7121c6736fff|2087411|NZ_RJJY01000001.1:3556017-3581385(FWD)_3	247	284	0.00073	16.6	1736	2476	0093c124a5b6ee038d|24b3be7121c6736fff|24b3be7121c6736fff|2087411|NZ_RJJY01000001.1:3556017-3581385(FWD)	3	0.23481781376518218	0.2007042253521127	1
AbiEii_0_CAS-III	0093c124a5b6ee038d|24b3be7121c6736fff|24b3be7121c6736fff|2087411|NZ_RJJY01000001.1:3556017-3581385(FWD)_9	650	284	0.0094	13.0	7243	9192	0093c124a5b6ee038d|24b3be7121c6736fff|24b3be7121c6736fff|2087411|NZ_RJJY01000001.1:3556017-3581385(FWD)	9	0.11076923076923077	0.24647887323943662	-1
AbiEii_0_CAS-III	0093c124a5b6ee038d|25a6fcba61cb5d1e44|25a6fcba61cb5d1e44|2087411|NZ_RJJY01000002.1:1425593-1450811(FWD)_16	553	284	7.6e-07	26.4	16381	18039	0093c124a5b6ee038d|25a6fcba61cb5d1e44|25a6fcba61cb5d1e44|2087411|NZ_RJJY01000002.1:1425593-1450811(FWD)	16	0.09584086799276673	0.10211267605633803	1
AbiEii_0_CAS-III	0093c124a5b6ee038d|29e93ab53fcdb70c3e|822c4c1b731054be19|3171471|NZ_VAWE01000001.1:1927712-1953128(FWD)_20	380	284	0.003	14.7	18639	19778	0093c124a5b6ee038d|29e93ab53fcdb70c3e|822c4c1b731054be19|3171471|NZ_VAWE01000001.1:1927712-1953128(FWD)	20	0.11842105263157894	0.1619718309859155	-1
AbiEii_0_CAS-III	0093c124a5b6ee038d|2c4fec412407701b7e|aad70f744d914036dc|6227751|NZ_JAAOTJ010000001.1:645571-670948(REV)_22	311	284	3.1e-07	27.7	20434	21366	0093c124a5b6ee038d|2c4fec412407701b7e|aad70f744d914036dc|6227751|NZ_JAAOTJ010000001.1:645571-670948(REV)	22	0.31189710610932475	0.33098591549295775	1
AbiEii_0_CAS-III	0093c124a5b6ee038d|2fce4a9c92db26ac0f|2fce4a9c92db26ac0f|8120681|NZ_BMUQ01000041.1:0-13085(FWD)_8	264	284	6.8e-11	39.7	8054	8845	0093c124a5b6ee038d|2fce4a9c92db26ac0f|2fce4a9c92db26ac0f|8120681|NZ_BMUQ01000041.1:0-13085(FWD)	8	0.5416666666666666	0.4894366197183099	-1
AbiEii_0_CAS-III	0093c124a5b6ee038d|44a668524df4b07221|44a668524df4b07221|8237271|NZ_JADBEM010000001.1:3695639-3721040(REV)_1	343	284	0.00064	16.8	1	1029	0093c124a5b6ee038d|44a668524df4b07221|44a668524df4b07221|8237271|NZ_JADBEM010000001.1:3695639-3721040(REV)	1	0.26822157434402333	0.3204225352112676	-1
AbiEii_0_CAS-III	0093c124a5b6ee038d|44d67e1972ae715e74|4a4dd13aca27c01810|8062461|NZ_VJYI01000010.1:257609-283025(REV)_22	398	284	0.037	11.1	24222	25415	0093c124a5b6ee038d|44d67e1972ae715e74|4a4dd13aca27c01810|8062461|NZ_VJYI01000010.1:257609-283025(REV)	22	0.16080402010050251	0.5387323943661971	1
AbiEii_0_CAS-III	0093c124a5b6ee038d|4a2f1bf216fb4c0bb6|4a2f1bf216fb4c0bb6|290628|NC_015663.1:1393573-1418983(FWD)_23	371	284	0.0002	18.5	20966	22078	0093c124a5b6ee038d|4a2f1bf216fb4c0bb6|4a2f1bf216fb4c0bb6|290628|NC_015663.1:1393573-1418983(FWD)	23	0.1725067385444744	0.21830985915492956	-1
AbiEii_0_CAS-III	0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)_10	361	284	0.00021	18.4	15234	16316	0093c124a5b6ee038d|58a88b2459eb9cbe7b|58a88b2459eb9cbe7b|78148|NC_012522.1:6067080-6092367(FWD)	10	0.24376731301939059	0.323943661971831	-1
