Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	214319fd8cc31efee9|0f9477b5fae49d0c52|0f9477b5fae49d0c52|864631|NZ_FNBE01000030.1:2067-23440(FWD)_6	1130	284	1.1e-06	22.9	5139	8528	214319fd8cc31efee9|0f9477b5fae49d0c52|0f9477b5fae49d0c52|864631|NZ_FNBE01000030.1:2067-23440(FWD)	6	0.1079646017699115	0.34507042253521125	-1
Cas3_0_CAS-I-D	214319fd8cc31efee9|043ac27cf8faa5510c|043ac27cf8faa5510c|408138|NC_017093.1:5386075-5413033(FWD)_15	627	626	0.0027	10.3	14526	16406	214319fd8cc31efee9|043ac27cf8faa5510c|043ac27cf8faa5510c|408138|NC_017093.1:5386075-5413033(FWD)	15	0.1419457735247209	0.14376996805111822	1
Cas3_0_CAS-I-D	214319fd8cc31efee9|0ff28404fff4fd574e|0ff28404fff4fd574e|1154431|NZ_FZNR01000007.1:29980-56965(REV)_17	633	626	0.00017	14.3	14539	16437	214319fd8cc31efee9|0ff28404fff4fd574e|0ff28404fff4fd574e|1154431|NZ_FZNR01000007.1:29980-56965(REV)	17	0.14218009478672985	0.14536741214057508	1
Cas3_0_CAS-I-D	214319fd8cc31efee9|2b0833a905b658fa0b|2b0833a905b658fa0b|1631981|NZ_PVMZ01000011.1:78477-105399(FWD)_17	834	626	0.0026	10.4	14483	16984	214319fd8cc31efee9|2b0833a905b658fa0b|2b0833a905b658fa0b|1631981|NZ_PVMZ01000011.1:78477-105399(FWD)	17	0.10671462829736211	0.14376996805111822	1
Cas3_0_CAS-I-D	214319fd8cc31efee9|3617d95e33d4ec4a2d|3617d95e33d4ec4a2d|1053561|NZ_LT827010.1:2814996-2841909(REV)_17	776	626	0.00092	11.9	14468	16795	214319fd8cc31efee9|3617d95e33d4ec4a2d|3617d95e33d4ec4a2d|1053561|NZ_LT827010.1:2814996-2841909(REV)	17	0.11597938144329897	0.14536741214057508	1
Cas3_0_CAS-I-D	214319fd8cc31efee9|405d21764ac3041e5d|405d21764ac3041e5d|316721|NZ_JZKF01000138.1:0-13900(FWD)_13	633	626	0.0019	10.8	11845	13743	214319fd8cc31efee9|405d21764ac3041e5d|405d21764ac3041e5d|316721|NZ_JZKF01000138.1:0-13900(FWD)	13	0.13902053712480253	0.14217252396166133	1
Cas3_0_CAS-I-D	214319fd8cc31efee9|543b98e77aa4e83124|543b98e77aa4e83124|2198851|NZ_AP019371.1:8178542-8205470(FWD)_15	720	626	0.0012	11.4	14505	16664	214319fd8cc31efee9|543b98e77aa4e83124|543b98e77aa4e83124|2198851|NZ_AP019371.1:8178542-8205470(FWD)	15	0.14305555555555555	0.1645367412140575	1
Cas3_0_CAS-I-D	214319fd8cc31efee9|8b5bd41f013fb9954e|8b5bd41f013fb9954e|320411|JNYT01003488.1:0-2519(REV)_2	223	626	7.4e-05	15.5	1850	2518	214319fd8cc31efee9|8b5bd41f013fb9954e|8b5bd41f013fb9954e|320411|JNYT01003488.1:0-2519(REV)	2	0.40358744394618834	0.14536741214057508	1
Cas3_0_CAS-I-D	214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)_17	742	626	0.001	11.7	14721	16946	214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV)	17	0.12129380053908356	0.14536741214057508	1
Cas3_0_CAS-I-D	214319fd8cc31efee9|dad526963fe33e374d|dad526963fe33e374d|1769821|NZ_QLMJ01000018.1:43889-70817(FWD)_14	609	626	0.0022	10.6	14497	16323	214319fd8cc31efee9|dad526963fe33e374d|dad526963fe33e374d|1769821|NZ_QLMJ01000018.1:43889-70817(FWD)	14	0.14614121510673234	0.14376996805111822	1
