Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_0_CAS-I-II-III-IV-V-VI	32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)_3	225	205	2.1e-05	18.5	2366	3040	32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	3	0.3466666666666667	0.40487804878048783	1
2OG_1_CAS-I-II-III-IV-V-VI	32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)_3	225	94	3e-18	61.2	2366	3040	32de67ee40e11f3f2f|47af8db9e0957dde43|47af8db9e0957dde43|6600451|JAAUPI010000139.1:0-14987(FWD)	3	0.4	0.9680851063829787	1
Can2_Card1_17_CAS-III	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)_24	194	380	0.0016	12.0	25704	26285	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)	24	0.4793814432989691	0.24473684210526317	1
Cas12c_0_CAS-V-C	32de67ee40e11f3f2f|7e11ce0fa6490895c9|c50292c93a2dd68f07|8141951|NZ_JACJNY010000030.1:5224-31510(REV)_20	379	1272	0.66	2.2	20228	21364	32de67ee40e11f3f2f|7e11ce0fa6490895c9|c50292c93a2dd68f07|8141951|NZ_JACJNY010000030.1:5224-31510(REV)	20	0.10554089709762533	0.031446540880503145	-1
Cas12f1_0_CAS-V-F	32de67ee40e11f3f2f|9c22bb64954919b5ef|9c22bb64954919b5ef|6600171|JAAUPF010000056.1:0-24270(FWD)_18	393	512	2.7e-10	34.5	16178	17356	32de67ee40e11f3f2f|9c22bb64954919b5ef|9c22bb64954919b5ef|6600171|JAAUPF010000056.1:0-24270(FWD)	18	0.5343511450381679	0.431640625	-1
Cas12f1_1_CAS-V-F	32de67ee40e11f3f2f|0bc5c4e5618db9214b|0bc5c4e5618db9214b|8141851|NZ_JACJNV010000108.1:32471-58757(FWD)_10	374	557	3.6e-11	37.2	10232	11353	32de67ee40e11f3f2f|0bc5c4e5618db9214b|0bc5c4e5618db9214b|8141851|NZ_JACJNV010000108.1:32471-58757(FWD)	10	0.6737967914438503	0.4757630161579892	-1
Cas12f1_1_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|c50292c93a2dd68f07|8141951|NZ_JACJNY010000030.1:5224-31510(REV)_20	379	557	2.1e-13	44.6	20228	21364	32de67ee40e11f3f2f|7e11ce0fa6490895c9|c50292c93a2dd68f07|8141951|NZ_JACJNY010000030.1:5224-31510(REV)	20	0.5435356200527705	0.40574506283662476	-1
Cas12f1_1_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)_6	193	557	2.7e-09	31.0	8935	9513	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)	6	0.616580310880829	0.1651705565529623	-1
Cas12f1_1_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)_9	118	557	0.0036	10.8	10559	10912	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)	9	0.559322033898305	0.12208258527827648	-1
Cas12f1_1_CAS-V-F	32de67ee40e11f3f2f|9c22bb64954919b5ef|9c22bb64954919b5ef|6600171|JAAUPF010000056.1:0-24270(FWD)_18	393	557	4.2e-30	99.7	16178	17356	32de67ee40e11f3f2f|9c22bb64954919b5ef|9c22bb64954919b5ef|6600171|JAAUPF010000056.1:0-24270(FWD)	18	0.7557251908396947	0.5529622980251346	-1
Cas12f1_2_CAS-V-F	32de67ee40e11f3f2f|0bc5c4e5618db9214b|0bc5c4e5618db9214b|8141851|NZ_JACJNV010000108.1:32471-58757(FWD)_10	374	429	4.7e-14	47.0	10232	11353	32de67ee40e11f3f2f|0bc5c4e5618db9214b|0bc5c4e5618db9214b|8141851|NZ_JACJNV010000108.1:32471-58757(FWD)	10	0.6256684491978609	0.5687645687645687	-1
Cas12f1_2_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|c50292c93a2dd68f07|8141951|NZ_JACJNY010000030.1:5224-31510(REV)_20	379	429	1.7e-12	41.9	20228	21364	32de67ee40e11f3f2f|7e11ce0fa6490895c9|c50292c93a2dd68f07|8141951|NZ_JACJNY010000030.1:5224-31510(REV)	20	0.46437994722955145	0.40326340326340326	-1
Cas12f1_2_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)_6	193	429	4.4e-09	30.6	8935	9513	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)	6	0.6580310880829016	0.31934731934731936	-1
Cas12f1_2_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)_8	74	429	0.0006	13.7	10139	10360	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)	8	0.36486486486486486	0.06293706293706294	-1
Cas12f1_2_CAS-V-F	32de67ee40e11f3f2f|9c22bb64954919b5ef|9c22bb64954919b5ef|6600171|JAAUPF010000056.1:0-24270(FWD)_18	393	429	1.6e-32	107.8	16178	17356	32de67ee40e11f3f2f|9c22bb64954919b5ef|9c22bb64954919b5ef|6600171|JAAUPF010000056.1:0-24270(FWD)	18	0.7964376590330788	0.7925407925407926	-1
Cas12f1_2_CAS-V-F	32de67ee40e11f3f2f|9c22bb64954919b5ef|9c22bb64954919b5ef|6600171|JAAUPF010000056.1:0-24270(FWD)_22	102	429	0.0058	10.5	19493	19798	32de67ee40e11f3f2f|9c22bb64954919b5ef|9c22bb64954919b5ef|6600171|JAAUPF010000056.1:0-24270(FWD)	22	0.47058823529411764	0.11655011655011654	1
Cas12f2_0_CAS-V-F	32de67ee40e11f3f2f|0bc5c4e5618db9214b|0bc5c4e5618db9214b|8141851|NZ_JACJNV010000108.1:32471-58757(FWD)_10	374	517	1.8e-41	137.2	10232	11353	32de67ee40e11f3f2f|0bc5c4e5618db9214b|0bc5c4e5618db9214b|8141851|NZ_JACJNV010000108.1:32471-58757(FWD)	10	0.7647058823529411	0.586073500967118	-1
Cas12f2_0_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|c50292c93a2dd68f07|8141951|NZ_JACJNY010000030.1:5224-31510(REV)_20	379	517	4.4999999999999997e-94	310.7	20228	21364	32de67ee40e11f3f2f|7e11ce0fa6490895c9|c50292c93a2dd68f07|8141951|NZ_JACJNY010000030.1:5224-31510(REV)	20	0.9445910290237467	0.7156673114119922	-1
Cas12f2_0_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)_8	74	517	3e-06	20.9	10139	10360	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)	8	0.581081081081081	0.08123791102514506	-1
Cas12f2_0_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)_9	118	517	1.9e-05	18.3	10559	10912	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)	9	0.6186440677966102	0.14313346228239845	-1
Cas12f2_0_CAS-V-F	32de67ee40e11f3f2f|9c22bb64954919b5ef|9c22bb64954919b5ef|6600171|JAAUPF010000056.1:0-24270(FWD)_18	393	517	4.1e-13	43.6	16178	17356	32de67ee40e11f3f2f|9c22bb64954919b5ef|9c22bb64954919b5ef|6600171|JAAUPF010000056.1:0-24270(FWD)	18	0.5267175572519084	0.4197292069632495	-1
Cas12f2_1_CAS-V-F	32de67ee40e11f3f2f|0bc5c4e5618db9214b|0bc5c4e5618db9214b|8141851|NZ_JACJNV010000108.1:32471-58757(FWD)_10	374	422	8e-78	257.2	10232	11353	32de67ee40e11f3f2f|0bc5c4e5618db9214b|0bc5c4e5618db9214b|8141851|NZ_JACJNV010000108.1:32471-58757(FWD)	10	0.9037433155080213	0.9028436018957346	-1
Cas12f2_1_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|c50292c93a2dd68f07|8141951|NZ_JACJNY010000030.1:5224-31510(REV)_20	379	422	6.9e-43	142.1	20228	21364	32de67ee40e11f3f2f|7e11ce0fa6490895c9|c50292c93a2dd68f07|8141951|NZ_JACJNY010000030.1:5224-31510(REV)	20	0.7651715039577837	0.7345971563981043	-1
Cas12f2_1_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)_6	193	422	1e-05	19.7	8935	9513	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)	6	0.689119170984456	0.3175355450236967	-1
Cas12f2_1_CAS-V-F	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)_8	74	422	4e-10	34.1	10139	10360	32de67ee40e11f3f2f|7e11ce0fa6490895c9|fbccb388683e828dba|EARTH_3300022891_2|3300022891.a:Ga0247770_1000504:5012-31298(FWD)	8	0.5135135135135135	0.09004739336492891	-1
