Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	4dcbca21fe7e9a5c29|2330e21d6aab6d4f7d|2330e21d6aab6d4f7d|1652991|PXRF01000003.1:0-20490(FWD)_15	324	284	0.001	12.8	13967	14938	4dcbca21fe7e9a5c29|2330e21d6aab6d4f7d|2330e21d6aab6d4f7d|1652991|PXRF01000003.1:0-20490(FWD)	15	0.19444444444444445	0.21830985915492956	-1
AbiEii_0_CAS-III	4dcbca21fe7e9a5c29|4e608df1c39a7a79cc|4e608df1c39a7a79cc|2561221|NZ_ML219773.1:70059-95787(FWD)_21	351	284	0.00036	14.3	21832	22884	4dcbca21fe7e9a5c29|4e608df1c39a7a79cc|4e608df1c39a7a79cc|2561221|NZ_ML219773.1:70059-95787(FWD)	21	0.32763532763532766	0.4014084507042254	1
AbiEii_0_CAS-III	4dcbca21fe7e9a5c29|9995ba3fb6cc1f7889|9995ba3fb6cc1f7889|1861981|NZ_KZ859510.1:34977-60906(REV)_2	262	284	1.5e-05	18.8	365	1150	4dcbca21fe7e9a5c29|9995ba3fb6cc1f7889|9995ba3fb6cc1f7889|1861981|NZ_KZ859510.1:34977-60906(REV)	2	0.41603053435114506	0.3767605633802817	1
Cas12b2_0_CAS-V-B	4dcbca21fe7e9a5c29|0a2e8b2dccd4c81883|0a2e8b2dccd4c81883|5605281|NZ_ML974136.1:116335-142033(REV)_12	456	747	0.0094	8.5	9922	11289	4dcbca21fe7e9a5c29|0a2e8b2dccd4c81883|0a2e8b2dccd4c81883|5605281|NZ_ML974136.1:116335-142033(REV)	12	0.15789473684210525	0.10575635876840696	-1
Cas12b2_0_CAS-V-B	4dcbca21fe7e9a5c29|4dcbca21fe7e9a5c29|4dcbca21fe7e9a5c29|5605271|NZ_SBIS02000011.1:140078-165821(FWD)_11	412	747	0.0033	9.9	9844	11079	4dcbca21fe7e9a5c29|4dcbca21fe7e9a5c29|4dcbca21fe7e9a5c29|5605271|NZ_SBIS02000011.1:140078-165821(FWD)	11	0.279126213592233	0.1606425702811245	-1
Cas12b2_0_CAS-V-B	4dcbca21fe7e9a5c29|4e608df1c39a7a79cc|4e608df1c39a7a79cc|2561221|NZ_ML219773.1:70059-95787(FWD)_12	404	747	0.0038	9.8	9966	11177	4dcbca21fe7e9a5c29|4e608df1c39a7a79cc|4e608df1c39a7a79cc|2561221|NZ_ML219773.1:70059-95787(FWD)	12	0.16584158415841585	0.09103078982597054	-1
Cas12b2_0_CAS-V-B	4dcbca21fe7e9a5c29|87e2903e0f7a05c3dc|87e2903e0f7a05c3dc|1861321|NZ_QPMJ01000003.1:90414-116133(FWD)_9	404	747	0.0034	9.9	9900	11111	4dcbca21fe7e9a5c29|87e2903e0f7a05c3dc|87e2903e0f7a05c3dc|1861321|NZ_QPMJ01000003.1:90414-116133(FWD)	9	0.1707920792079208	0.12985274431057564	-1
Cas12b2_0_CAS-V-B	4dcbca21fe7e9a5c29|9995ba3fb6cc1f7889|9995ba3fb6cc1f7889|1861981|NZ_KZ859510.1:34977-60906(REV)_9	434	747	0.0066	9.0	9965	11266	4dcbca21fe7e9a5c29|9995ba3fb6cc1f7889|9995ba3fb6cc1f7889|1861981|NZ_KZ859510.1:34977-60906(REV)	9	0.2834101382488479	0.17804551539491298	-1
Cas12b2_0_CAS-V-B	4dcbca21fe7e9a5c29|d11b5007dc6758a642|d11b5007dc6758a642|2799151|NZ_SZNP01000006.1:232237-257926(FWD)_11	388	747	0.0029	10.1	9921	11084	4dcbca21fe7e9a5c29|d11b5007dc6758a642|d11b5007dc6758a642|2799151|NZ_SZNP01000006.1:232237-257926(FWD)	11	0.27835051546391754	0.15127175368139223	-1
Cas12c_0_CAS-V-C	4dcbca21fe7e9a5c29|0a2e8b2dccd4c81883|0a2e8b2dccd4c81883|5605281|NZ_ML974136.1:116335-142033(REV)_12	456	1272	0.00059	11.6	9922	11289	4dcbca21fe7e9a5c29|0a2e8b2dccd4c81883|0a2e8b2dccd4c81883|5605281|NZ_ML974136.1:116335-142033(REV)	12	0.10526315789473684	0.03930817610062893	-1
Cas12c_0_CAS-V-C	4dcbca21fe7e9a5c29|37c661c596d7a884e6|37c661c596d7a884e6|2213001|NZ_CP035119.1:1113555-1139244(FWD)_13	404	1272	0.013	7.1	9897	11108	4dcbca21fe7e9a5c29|37c661c596d7a884e6|37c661c596d7a884e6|2213001|NZ_CP035119.1:1113555-1139244(FWD)	13	0.09405940594059406	0.029874213836477988	-1
Cas12c_0_CAS-V-C	4dcbca21fe7e9a5c29|3c26a0b8ab199d7718|3c26a0b8ab199d7718|2561191|NZ_SBIT01000002.1:303779-329459(REV)_9	388	1272	5.7e-05	14.9	9956	11119	4dcbca21fe7e9a5c29|3c26a0b8ab199d7718|3c26a0b8ab199d7718|2561191|NZ_SBIT01000002.1:303779-329459(REV)	9	0.11597938144329897	0.036949685534591194	-1
Cas12c_0_CAS-V-C	4dcbca21fe7e9a5c29|4dcbca21fe7e9a5c29|4dcbca21fe7e9a5c29|5605271|NZ_SBIS02000011.1:140078-165821(FWD)_11	412	1272	6.3e-05	14.8	9844	11079	4dcbca21fe7e9a5c29|4dcbca21fe7e9a5c29|4dcbca21fe7e9a5c29|5605271|NZ_SBIS02000011.1:140078-165821(FWD)	11	0.10922330097087378	0.036949685534591194	-1
Cas12c_0_CAS-V-C	4dcbca21fe7e9a5c29|4e608df1c39a7a79cc|4e608df1c39a7a79cc|2561221|NZ_ML219773.1:70059-95787(FWD)_12	404	1272	7.9e-05	14.5	9966	11177	4dcbca21fe7e9a5c29|4e608df1c39a7a79cc|4e608df1c39a7a79cc|2561221|NZ_ML219773.1:70059-95787(FWD)	12	0.12376237623762376	0.040880503144654086	-1
Cas12c_0_CAS-V-C	4dcbca21fe7e9a5c29|87e2903e0f7a05c3dc|87e2903e0f7a05c3dc|1861321|NZ_QPMJ01000003.1:90414-116133(FWD)_9	404	1272	0.00019	13.2	9900	11111	4dcbca21fe7e9a5c29|87e2903e0f7a05c3dc|87e2903e0f7a05c3dc|1861321|NZ_QPMJ01000003.1:90414-116133(FWD)	9	0.10643564356435643	0.03537735849056604	-1
Cas12c_0_CAS-V-C	4dcbca21fe7e9a5c29|9648799a9bcf312def|9648799a9bcf312def|2561201|NZ_SBIV01000003.1:133708-159382(REV)_11	403	1272	0.0013	10.4	9922	11130	4dcbca21fe7e9a5c29|9648799a9bcf312def|9648799a9bcf312def|2561201|NZ_SBIV01000003.1:133708-159382(REV)	11	0.12158808933002481	0.04009433962264151	-1
Cas12c_0_CAS-V-C	4dcbca21fe7e9a5c29|9995ba3fb6cc1f7889|9995ba3fb6cc1f7889|1861981|NZ_KZ859510.1:34977-60906(REV)_9	434	1272	0.00016	13.5	9965	11266	4dcbca21fe7e9a5c29|9995ba3fb6cc1f7889|9995ba3fb6cc1f7889|1861981|NZ_KZ859510.1:34977-60906(REV)	9	0.11981566820276497	0.04245283018867924	-1
Cas12c_0_CAS-V-C	4dcbca21fe7e9a5c29|ac5de3d028d588ede8|ac5de3d028d588ede8|5880531|NZ_VSLZ01000005.1:89109-114630(FWD)_6	388	1272	0.013	7.1	4032	5195	4dcbca21fe7e9a5c29|ac5de3d028d588ede8|ac5de3d028d588ede8|5880531|NZ_VSLZ01000005.1:89109-114630(FWD)	6	0.10309278350515463	0.0330188679245283	-1
Cas12c_0_CAS-V-C	4dcbca21fe7e9a5c29|d11b5007dc6758a642|d11b5007dc6758a642|2799151|NZ_SZNP01000006.1:232237-257926(FWD)_11	388	1272	0.014	7.0	9921	11084	4dcbca21fe7e9a5c29|d11b5007dc6758a642|d11b5007dc6758a642|2799151|NZ_SZNP01000006.1:232237-257926(FWD)	11	0.0979381443298969	0.029874213836477988	-1
