Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
ee669bb85d7c4a9459|7ec06f401b7f6b6cfc|7ec06f401b7f6b6cfc|1772781|NZ_QFXK01000030.1:131515-157216(FWD)	ee669bb85d7c4a9459|7ec06f401b7f6b6cfc|7ec06f401b7f6b6cfc|1772781|NZ_QFXK01000030.1:131515-157216(FWD)@1	404	2071	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['2.10e-06']	[0.3]	[0.412]	NA	NA
ee669bb85d7c4a9459|57bf3bbec172de2d10|57bf3bbec172de2d10|2351931|NZ_SNWQ01000012.1:132787-158479(REV)	ee669bb85d7c4a9459|57bf3bbec172de2d10|57bf3bbec172de2d10|2351931|NZ_SNWQ01000012.1:132787-158479(REV)@1	2415	3956	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4]	['1.70e-05']	[0.352]	[0.479]	NA	NA
ee669bb85d7c4a9459|6883ac8ab42de40b43|6883ac8ab42de40b43|3676801|NZ_VFMM01000001.1:1713772-1739440(FWD)	ee669bb85d7c4a9459|6883ac8ab42de40b43|6883ac8ab42de40b43|3676801|NZ_VFMM01000001.1:1713772-1739440(FWD)@1	3170	8660	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'CasR_0_CAS-I-II-III-IV-V-VI']	[4, 8]	['2.90e-04', '1.50e-04']	[0.323, 0.447]	[0.384, 0.333]	NA	NA
ee669bb85d7c4a9459|c54f0e648edae87c65|c54f0e648edae87c65|6463241|NZ_JAASRO010000001.1:2640626-2666288(REV)	ee669bb85d7c4a9459|c54f0e648edae87c65|c54f0e648edae87c65|6463241|NZ_JAASRO010000001.1:2640626-2666288(REV)@2	6844	7326	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[7]	['5.40e-04']	[0.41]	[0.303]	NA	NA
ee669bb85d7c4a9459|ca2cc8e489ce8642e5|ca2cc8e489ce8642e5|7887721|NZ_JACHNF010000001.1:7087799-7113509(REV)	ee669bb85d7c4a9459|ca2cc8e489ce8642e5|ca2cc8e489ce8642e5|7887721|NZ_JACHNF010000001.1:7087799-7113509(REV)@1	644	1387	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[2]	['2.30e-06']	[0.464]	[0.936]	NA	NA
ee669bb85d7c4a9459|7ec06f401b7f6b6cfc|7ec06f401b7f6b6cfc|1772781|NZ_QFXK01000030.1:131515-157216(FWD)	ee669bb85d7c4a9459|7ec06f401b7f6b6cfc|7ec06f401b7f6b6cfc|1772781|NZ_QFXK01000030.1:131515-157216(FWD)@2	6746	7285	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[7]	['4.70e-05']	[0.394]	[0.328]	NA	NA
ee669bb85d7c4a9459|ca2cc8e489ce8642e5|ca2cc8e489ce8642e5|7887721|NZ_JACHNF010000001.1:7087799-7113509(REV)	ee669bb85d7c4a9459|ca2cc8e489ce8642e5|ca2cc8e489ce8642e5|7887721|NZ_JACHNF010000001.1:7087799-7113509(REV)@2	7400	7897	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[8]	['5.30e-05']	[0.428]	[0.328]	NA	NA
ee669bb85d7c4a9459|57bf3bbec172de2d10|57bf3bbec172de2d10|2351931|NZ_SNWQ01000012.1:132787-158479(REV)	ee669bb85d7c4a9459|57bf3bbec172de2d10|57bf3bbec172de2d10|2351931|NZ_SNWQ01000012.1:132787-158479(REV)@2	8288	8785	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[9]	['1.20e-04']	[0.422]	[0.323]	NA	NA
ee669bb85d7c4a9459|c060029ec7b1b669ed|c060029ec7b1b669ed|7148791|NZ_JABJRC010000008.1:201562-227239(FWD)	ee669bb85d7c4a9459|c060029ec7b1b669ed|c060029ec7b1b669ed|7148791|NZ_JABJRC010000008.1:201562-227239(FWD)@1	6836	7327	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[7]	['4.50e-05']	[0.445]	[0.338]	NA	NA
ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV)	ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV)@1	201	998	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[2]	['3.00e-07']	[0.432]	[0.936]	NA	NA
