query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2OG-FeII_Oxy_3,PF13640.8,96,ee669bb85d7c4a9459|ee669bb85d7c4a9459|ee669bb85d7c4a9459|4254481|NZ_VIVK01000001.1:96301-122017(FWD);333;1091;-,25.4,4.6e-07,253,2,91,112,226
2OG-FeII_Oxy_3,PF13640.8,96,ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV);201;998;-,25.1,5.9e-07,266,2,92,125,240
2OG-FeII_Oxy_3,PF13640.8,96,ee669bb85d7c4a9459|ca2cc8e489ce8642e5|ca2cc8e489ce8642e5|7887721|NZ_JACHNF010000001.1:7087799-7113509(REV);644;1387;-,23.3,2e-06,248,2,91,107,221
2OG-FeII_Oxy_3,PF13640.8,96,ee669bb85d7c4a9459|c54f0e648edae87c65|c54f0e648edae87c65|6463241|NZ_JAASRO010000001.1:2640626-2666288(REV);41;796;-,23.1,2.4e-06,252,2,92,111,226
2OG-FeII_Oxy_5,PF13759.8,101,ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV);201;998;-,21.0,7.6e-06,266,37,73,15,39
2OG-FeII_Oxy_5,PF13759.8,101,ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV);201;998;-,21.0,7.6e-06,266,59,100,200,241
2OG-FeII_Oxy_5,PF13759.8,101,ee669bb85d7c4a9459|ca2cc8e489ce8642e5|ca2cc8e489ce8642e5|7887721|NZ_JACHNF010000001.1:7087799-7113509(REV);644;1387;-,19.7,1.9e-05,248,58,98,181,221
2OG-FeII_Oxy_5,PF13759.8,101,ee669bb85d7c4a9459|ee669bb85d7c4a9459|ee669bb85d7c4a9459|4254481|NZ_VIVK01000001.1:96301-122017(FWD);333;1091;-,19.7,2e-05,253,59,98,187,226
2OG-FeII_Oxy_5,PF13759.8,101,ee669bb85d7c4a9459|c54f0e648edae87c65|c54f0e648edae87c65|6463241|NZ_JAASRO010000001.1:2640626-2666288(REV);41;796;-,19.4,2.5e-05,252,60,98,187,225
3Beta_HSD,PF01073.21,280,ee669bb85d7c4a9459|c54f0e648edae87c65|c54f0e648edae87c65|6463241|NZ_JAASRO010000001.1:2640626-2666288(REV);19855;20691;-,34.4,2.7e-10,279,0,186,4,178
5-FTHF_cyc-lig,PF01812.22,187,ee669bb85d7c4a9459|eb2430d2a87766ed52|eb2430d2a87766ed52|7887611|NZ_JACHMY010000001.1:4746947-4772642(FWD);21917;22396;+,109.7,3.5e-33,160,29,187,3,152
AAA,PF00004.31,132,ee669bb85d7c4a9459|e686e3500ea729bd41|e686e3500ea729bd41|2342021|NZ_SLWN01000002.1:704654-730337(FWD);849;2447;-,28.9,3.1e-08,533,2,35,49,87
AAA,PF00004.31,132,ee669bb85d7c4a9459|e686e3500ea729bd41|e686e3500ea729bd41|2342021|NZ_SLWN01000002.1:704654-730337(FWD);849;2447;-,28.9,3.1e-08,533,2,21,297,316
AAA,PF00004.31,132,ee669bb85d7c4a9459|e686e3500ea729bd41|e686e3500ea729bd41|2342021|NZ_SLWN01000002.1:704654-730337(FWD);849;2447;-,28.9,3.1e-08,533,46,100,412,472
AAA,PF00004.31,132,ee669bb85d7c4a9459|5a74141461b8166cdb|5a74141461b8166cdb|631798|NZ_AQUZ01000072.1:1943-27626(REV);763;2310;-,27.0,1.1e-07,516,2,66,34,172
AAA,PF00004.31,132,ee669bb85d7c4a9459|5a74141461b8166cdb|5a74141461b8166cdb|631798|NZ_AQUZ01000072.1:1943-27626(REV);763;2310;-,27.0,1.1e-07,516,2,33,279,312
AAA,PF00004.31,132,ee669bb85d7c4a9459|7ec06f401b7f6b6cfc|7ec06f401b7f6b6cfc|1772781|NZ_QFXK01000030.1:131515-157216(FWD);404;2071;-,26.5,1.7e-07,556,2,66,34,169
AAA,PF00004.31,132,ee669bb85d7c4a9459|7ec06f401b7f6b6cfc|7ec06f401b7f6b6cfc|1772781|NZ_QFXK01000030.1:131515-157216(FWD);404;2071;-,26.5,1.7e-07,556,2,31,282,311
AAA,PF00004.31,132,ee669bb85d7c4a9459|7ec06f401b7f6b6cfc|7ec06f401b7f6b6cfc|1772781|NZ_QFXK01000030.1:131515-157216(FWD);404;2071;-,26.5,1.7e-07,556,46,96,397,439
AAA,PF00004.31,132,ee669bb85d7c4a9459|2e04dfb7ec52525710|2e04dfb7ec52525710|2345281|NZ_SMKR01000015.1:12146-37817(REV);1414;3012;-,26.4,1.8e-07,533,2,23,48,69
AAA,PF00004.31,132,ee669bb85d7c4a9459|2e04dfb7ec52525710|2e04dfb7ec52525710|2345281|NZ_SMKR01000015.1:12146-37817(REV);1414;3012;-,26.4,1.8e-07,533,2,20,298,316
AAA,PF00004.31,132,ee669bb85d7c4a9459|2e04dfb7ec52525710|2e04dfb7ec52525710|2345281|NZ_SMKR01000015.1:12146-37817(REV);1414;3012;-,26.4,1.8e-07,533,44,107,411,463
AAA,PF00004.31,132,ee669bb85d7c4a9459|7ec06f401b7f6b6cfc|e0a1827cd2867f3119|2353611|NZ_SOCE01000001.1:5157858-5183559(REV);427;2091;-,25.9,2.6e-07,555,2,38,34,154
AAA,PF00004.31,132,ee669bb85d7c4a9459|7ec06f401b7f6b6cfc|e0a1827cd2867f3119|2353611|NZ_SOCE01000001.1:5157858-5183559(REV);427;2091;-,25.9,2.6e-07,555,2,32,296,326
AAA,PF00004.31,132,ee669bb85d7c4a9459|7ec06f401b7f6b6cfc|e0a1827cd2867f3119|2353611|NZ_SOCE01000001.1:5157858-5183559(REV);427;2091;-,25.9,2.6e-07,555,46,96,411,453
AAA,PF00004.31,132,ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV);2076;3638;-,25.3,4e-07,521,2,35,39,77
AAA,PF00004.31,132,ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV);2076;3638;-,25.3,4e-07,521,2,23,288,309
AAA,PF00004.31,132,ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV);2076;3638;-,25.3,4e-07,521,48,98,405,447
AAA,PF00004.31,132,ee669bb85d7c4a9459|ca2cc8e489ce8642e5|ca2cc8e489ce8642e5|7887721|NZ_JACHNF010000001.1:7087799-7113509(REV);2458;3996;-,25.3,4e-07,513,2,35,33,71
AAA,PF00004.31,132,ee669bb85d7c4a9459|ca2cc8e489ce8642e5|ca2cc8e489ce8642e5|7887721|NZ_JACHNF010000001.1:7087799-7113509(REV);2458;3996;-,25.3,4e-07,513,2,20,280,298
