query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh,PF00389.32,134,27177e034d397f4d56|fd9973acfc1e0fc91e|fd9973acfc1e0fc91e|4335051|NZ_BJWF01000014.1:21103-46447(REV);5332;6618;-,11.9,0.0043,429,11,60,329,387
2-Hacid_dh_C,PF02826.21,178,27177e034d397f4d56|fd9973acfc1e0fc91e|fd9973acfc1e0fc91e|4335051|NZ_BJWF01000014.1:21103-46447(REV);5332;6618;-,20.9,5.9e-06,429,37,76,1,40
2-Hacid_dh_C,PF02826.21,178,27177e034d397f4d56|fd9973acfc1e0fc91e|fd9973acfc1e0fc91e|4335051|NZ_BJWF01000014.1:21103-46447(REV);5332;6618;-,20.9,5.9e-06,429,51,123,329,392
2-Hacid_dh_C,PF02826.21,178,27177e034d397f4d56|24baea25beed2fc31a|24baea25beed2fc31a|8650751|JADAKE010000020.1:31871-57218(FWD);5462;6748;-,18.5,3e-05,429,37,77,1,41
2-Hacid_dh_C,PF02826.21,178,27177e034d397f4d56|24baea25beed2fc31a|24baea25beed2fc31a|8650751|JADAKE010000020.1:31871-57218(FWD);5462;6748;-,18.5,3e-05,429,50,100,328,371
3Beta_HSD,PF01073.21,280,27177e034d397f4d56|aff7b5f67805d715a7|aff7b5f67805d715a7|6085661|NZ_JAAKDW010000008.1:94373-119717(REV);21212;21988;+,20.2,7.6e-06,259,1,96,8,116
3HCDH_N,PF02737.20,180,27177e034d397f4d56|fd9973acfc1e0fc91e|fd9973acfc1e0fc91e|4335051|NZ_BJWF01000014.1:21103-46447(REV);5332;6618;-,20.3,1.3e-05,429,0,56,1,65
3HCDH_N,PF02737.20,180,27177e034d397f4d56|fd9973acfc1e0fc91e|fd9973acfc1e0fc91e|4335051|NZ_BJWF01000014.1:21103-46447(REV);5332;6618;-,20.3,1.3e-05,429,107,128,190,211
3HCDH_N,PF02737.20,180,27177e034d397f4d56|fd9973acfc1e0fc91e|fd9973acfc1e0fc91e|4335051|NZ_BJWF01000014.1:21103-46447(REV);5332;6618;-,20.3,1.3e-05,429,21,83,303,367
3HCDH_N,PF02737.20,180,27177e034d397f4d56|24baea25beed2fc31a|24baea25beed2fc31a|8650751|JADAKE010000020.1:31871-57218(FWD);5462;6748;-,19.9,1.8e-05,429,0,57,1,69
3HCDH_N,PF02737.20,180,27177e034d397f4d56|24baea25beed2fc31a|24baea25beed2fc31a|8650751|JADAKE010000020.1:31871-57218(FWD);5462;6748;-,19.9,1.8e-05,429,105,128,188,211
3HCDH_N,PF02737.20,180,27177e034d397f4d56|24baea25beed2fc31a|24baea25beed2fc31a|8650751|JADAKE010000020.1:31871-57218(FWD);5462;6748;-,19.9,1.8e-05,429,61,82,344,366
4HB_MCP_1,PF12729.9,181,27177e034d397f4d56|c7c25f59c3fa5f0001|8b3d7d06fe589962ea|487901|NZ_LHOX01000011.1:121908-147249(FWD);381;809;-,13.3,0.0014,143,52,166,20,139
4HB_MCP_1,PF12729.9,181,27177e034d397f4d56|36974a0427699e0115|36974a0427699e0115|633621|NZ_BCQE01000001.1:165287-190622(FWD);303;731;-,9.4,0.021,143,79,111,14,46
4HB_MCP_1,PF12729.9,181,27177e034d397f4d56|36974a0427699e0115|36974a0427699e0115|633621|NZ_BCQE01000001.1:165287-190622(FWD);303;731;-,9.4,0.021,143,110,166,83,139
4HB_MCP_1,PF12729.9,181,27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|1504861|NZ_CP025223.1:3239027-3264362(FWD);193;621;-,8.1,0.057,143,77,110,12,45
4HB_MCP_1,PF12729.9,181,27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|1504861|NZ_CP025223.1:3239027-3264362(FWD);193;621;-,8.1,0.057,143,109,166,82,139
4PPT_N,PF17837.3,68,27177e034d397f4d56|c7c25f59c3fa5f0001|c7c25f59c3fa5f0001|1102331|NZ_NGKU01000001.1:2818020-2843361(FWD);21637;22002;-,36.4,1.3e-10,122,1,65,33,111
4PPT_N,PF17837.3,68,27177e034d397f4d56|36974a0427699e0115|36974a0427699e0115|633621|NZ_BCQE01000001.1:165287-190622(FWD);21570;21926;-,35.4,2.6e-10,119,1,65,33,111
4PPT_N,PF17837.3,68,27177e034d397f4d56|c7c25f59c3fa5f0001|8b3d7d06fe589962ea|487901|NZ_LHOX01000011.1:121908-147249(FWD);20648;21013;-,33.3,1.2e-09,122,4,65,36,111
4PPT_N,PF17837.3,68,27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|1504861|NZ_CP025223.1:3239027-3264362(FWD);20820;21185;-,31.3,5.1e-09,122,1,65,33,111
4PPT_N,PF17837.3,68,27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|633531|NZ_BCPT01000001.1:325826-351161(FWD);20815;21180;-,31.3,5.1e-09,122,1,65,33,111
7tm_7,PF08395.14,371,27177e034d397f4d56|0367a89aff26571192|0367a89aff26571192|703568|NZ_KE136523.1:584232-609570(REV);742;3471;-,13.2,0.0012,910,117,184,251,323
7tm_7,PF08395.14,371,27177e034d397f4d56|0367a89aff26571192|0367a89aff26571192|703568|NZ_KE136523.1:584232-609570(REV);742;3471;-,13.2,0.0012,910,220,290,831,903
7tm_7,PF08395.14,371,27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|633531|NZ_BCPT01000001.1:325826-351161(FWD);125;2803;-,13.1,0.0013,893,165,188,85,108
7tm_7,PF08395.14,371,27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|633531|NZ_BCPT01000001.1:325826-351161(FWD);125;2803;-,13.1,0.0013,893,116,169,244,302
7tm_7,PF08395.14,371,27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|633531|NZ_BCPT01000001.1:325826-351161(FWD);125;2803;-,13.1,0.0013,893,219,290,813,886
7tm_7,PF08395.14,371,27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|1504861|NZ_CP025223.1:3239027-3264362(FWD);793;3471;-,12.6,0.0018,893,164,188,84,108
7tm_7,PF08395.14,371,27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|1504861|NZ_CP025223.1:3239027-3264362(FWD);793;3471;-,12.6,0.0018,893,115,169,243,302
7tm_7,PF08395.14,371,27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|1504861|NZ_CP025223.1:3239027-3264362(FWD);793;3471;-,12.6,0.0018,893,219,290,813,886
7tm_7,PF08395.14,371,27177e034d397f4d56|36974a0427699e0115|36974a0427699e0115|633621|NZ_BCQE01000001.1:165287-190622(FWD);906;3584;-,11.1,0.0054,893,164,189,84,109
7tm_7,PF08395.14,371,27177e034d397f4d56|36974a0427699e0115|36974a0427699e0115|633621|NZ_BCQE01000001.1:165287-190622(FWD);906;3584;-,11.1,0.0054,893,112,170,238,303
7tm_7,PF08395.14,371,27177e034d397f4d56|36974a0427699e0115|36974a0427699e0115|633621|NZ_BCQE01000001.1:165287-190622(FWD);906;3584;-,11.1,0.0054,893,221,287,815,882
7TM_GPCR_Srv,PF10323.11,283,27177e034d397f4d56|3e70c06ec6b71013c1|3e70c06ec6b71013c1|2109361|NZ_CP027783.1:1291173-1316508(REV);15664;18090;-,13.4,0.0012,809,190,266,2,77
7TM_GPCR_Srv,PF10323.11,283,27177e034d397f4d56|3e70c06ec6b71013c1|3e70c06ec6b71013c1|2109361|NZ_CP027783.1:1291173-1316508(REV);15664;18090;-,13.4,0.0012,809,190,212,219,241
