contig_id	contig_hash	contig_desc	contig_length
CP049504.1	930adc3aa1d394dff59b1464495a86ad81f9934519ae3e914733733883d27609	CP049504.1 Staphylococcus aureus strain pt219 chromosome, complete genome	2879345
CP049505.1	bc7ee48d917b59e4c2d5302d336bfbd7a2001af1548ce83fe2864f396c58a12b	CP049505.1 Staphylococcus aureus strain pt219 plasmid pER05786.3A.1, complete sequence	25435
CP049506.1	40edf053208b6de4d306f535f6742af5a0e902fca729c93ffe44941d86acd268	CP049506.1 Staphylococcus aureus strain pt219 plasmid pER05786.3A.2, complete sequence	43571
