Contig	Start	End	Strand	Pos
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	2	151	-1	1
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	325	999	1	2
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	996	2348	1	3
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	2345	2902	1	4
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	2948	4432	-1	5
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	4692	5591	1	6
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	5716	6351	-1	7
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	6461	7660	1	8
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	7664	9997	-1	9
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	10089	11069	1	10
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	11074	11472	1	11
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	11469	12503	1	12
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	12500	13348	1	13
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	13345	14337	1	14
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	14349	14993	1	15
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	14986	15675	1	16
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	15703	16269	-1	17
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	16262	18355	-1	18
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	18352	19161	-1	19
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	19188	20216	-1	20
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	20213	21313	-1	21
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	21379	22410	1	22
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	22539	24140	1	23
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	24176	25462	1	24
04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	25459	25848	1	25
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	1	525	-1	1
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	592	2142	-1	2
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	2281	3531	1	3
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	3644	4621	-1	4
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	4666	5436	-1	5
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	5441	6379	-1	6
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	6617	7126	1	7
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	7139	8056	-1	8
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	8112	8921	-1	9
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	9196	9942	-1	10
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	10071	11042	1	11
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	11054	11452	1	12
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	11449	12504	1	13
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	12501	13391	1	14
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	13578	14231	1	15
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	14324	15082	1	16
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	15024	15686	-1	17
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	15857	16372	1	18
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	16442	16717	-1	19
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	17227	17385	-1	20
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	17501	17962	-1	21
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	18304	18759	-1	22
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	18723	19154	-1	23
04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	19238	19444	1	24
