recid,phash,chash,start,end,orient
CAIFEK010000001.1,e0a20e39d89b4c800db6,1a4a84623ca4dd98d340,200,826,+
CAIFEK010000001.1,5fecc2c53642cdf002e2,1a4a84623ca4dd98d340,823,1611,+
CAIFEK010000001.1,5d09120c2ca887b79f7e,1a4a84623ca4dd98d340,1763,1981,+
CAIFEK010000001.1,cda9061614846e11d635,1a4a84623ca4dd98d340,2067,2180,+
CAIFEK010000001.1,aa3ac8b5aa57cbfe7ee3,1a4a84623ca4dd98d340,2196,2567,+
CAIFEK010000001.1,647858286db6c39cf355,1a4a84623ca4dd98d340,2580,2981,+
CAIFEK010000001.1,9a93dc3a1ea575a9a3c0,1a4a84623ca4dd98d340,3000,3593,+
CAIFEK010000001.1,387b32ea72f6025f0945,1a4a84623ca4dd98d340,3616,4557,+
CAIFEK010000001.1,5ab51afa17f5177abf14,1a4a84623ca4dd98d340,4591,5076,+
CAIFEK010000001.1,45406c3e83de6617046a,1a4a84623ca4dd98d340,5163,6773,+
CAIFEK010000001.1,357d727e937368452829,1a4a84623ca4dd98d340,6766,7548,+
CAIFEK010000001.1,fc3c7c926e9bc8c82385,1a4a84623ca4dd98d340,7584,8429,+
CAIFEK010000001.1,37b6aed5d3c1d2db9a8f,1a4a84623ca4dd98d340,8759,9715,+
CAIFEK010000001.1,264a1b97da140f13eb01,1a4a84623ca4dd98d340,9756,10526,+
CAIFEK010000001.1,bd562914a1609dd7aa65,1a4a84623ca4dd98d340,10704,11774,+
CAIFEK010000001.1,f1a19cf92e6e702c3c80,1a4a84623ca4dd98d340,11888,12571,-
CAIFEK010000001.1,09d52bb3128f205d9eed,1a4a84623ca4dd98d340,12885,15350,+
CAIFEK010000001.1,c389fabdc45cbc062acf,1a4a84623ca4dd98d340,15545,16585,-
CAIFEK010000001.1,edf30228e7a584995dff,1a4a84623ca4dd98d340,16938,18341,-
CAIFEK010000001.1,f44935dbaa161933a731,1a4a84623ca4dd98d340,18329,19171,-
CAIFEK010000001.1,c2190c6cde76fe79b410,1a4a84623ca4dd98d340,19458,20063,-
CAIFEK010000001.1,9ddb11727acaf03cc827,1a4a84623ca4dd98d340,20151,21065,-
CAIFEK010000001.1,03ede3314e1ceb62485a,1a4a84623ca4dd98d340,21290,21832,-
CAIFEK010000001.1,e4d9317fe8955b05e6de,1a4a84623ca4dd98d340,22532,25729,-
CAIFEK010000001.1,9cbc1d68ca393bf7ccc3,1a4a84623ca4dd98d340,25884,26123,+
CAIFEK010000001.1,cf6cc8abf92550436369,1a4a84623ca4dd98d340,26199,26393,-
CAIFEK010000001.1,b3b921eb3a5e9ecf1ac9,1a4a84623ca4dd98d340,26540,27469,+
CAIFEK010000001.1,79b65fec5a4207324d0f,1a4a84623ca4dd98d340,27487,28671,+
CAIFEK010000001.1,b6653a277a7d26430c4e,1a4a84623ca4dd98d340,28754,29875,+
CAIFEK010000001.1,fb258f70d9f0b6459d3c,1a4a84623ca4dd98d340,30001,31224,+
CAIFEK010000001.1,49d895a9e2d3379aa4bb,1a4a84623ca4dd98d340,31422,32102,-
CAIFEK010000001.1,46e06778674307109851,1a4a84623ca4dd98d340,32222,33814,+
CAIFEK010000001.1,2acf3384f3ffe3ea1d71,1a4a84623ca4dd98d340,34092,34613,+
CAIFEK010000001.1,38c3bab7a98fdf88d6e8,1a4a84623ca4dd98d340,34600,36354,+
CAIFEK010000001.1,1ab49d2a30d26c4e0a8f,1a4a84623ca4dd98d340,36357,38228,+
CAIFEK010000001.1,362cb424bae5f9daa16e,1a4a84623ca4dd98d340,38328,39083,+
CAIFEK010000001.1,7b77cd3a2c6a658302b6,1a4a84623ca4dd98d340,39281,39685,-
CAIFEK010000001.1,43e4e23fba2cd61f5dcc,1a4a84623ca4dd98d340,39885,40448,+
CAIFEK010000001.1,61fe52560ac5a41c0114,1a4a84623ca4dd98d340,40450,42111,+
CAIFEK010000001.1,4d3e1f6fb22f9c8a68e2,1a4a84623ca4dd98d340,42278,43273,-
CAIFEK010000001.1,dd084153510f943d62a0,1a4a84623ca4dd98d340,43277,44668,-
CAIFEK010000001.1,0efdbae03edd0580fac9,1a4a84623ca4dd98d340,45147,46766,+
CAIFEK010000001.1,44d5d7fc6de46fb3c150,1a4a84623ca4dd98d340,46787,47602,+
CAIFEK010000001.1,75d86887f2418101272d,1a4a84623ca4dd98d340,47708,48427,-
CAIFEK010000001.1,4ba76a6d45bc9ae5ac3b,1a4a84623ca4dd98d340,48776,50113,+
CAIFEK010000001.1,18123764bd198454539b,1a4a84623ca4dd98d340,50200,51054,+
CAIFEK010000001.1,42fa50a76f22798c6ca5,1a4a84623ca4dd98d340,51054,51893,+
CAIFEK010000001.1,eab944f78a7b85c1806a,1a4a84623ca4dd98d340,51969,53177,+
CAIFEK010000001.1,05eed74426b93edb6fe5,1a4a84623ca4dd98d340,53280,54788,+
CAIFEK010000001.1,07422c72ca41f578d36d,1a4a84623ca4dd98d340,54844,57111,+
CAIFEK010000001.1,c59f35e9985cbb526ade,1a4a84623ca4dd98d340,57525,58439,-
CAIFEK010000001.1,236ea690f95152939704,1a4a84623ca4dd98d340,58464,59504,-
CAIFEK010000001.1,1f25e81043f02aa17c29,1a4a84623ca4dd98d340,59506,60561,-
CAIFEK010000001.1,bb4049a8bdb46beb75fe,1a4a84623ca4dd98d340,60948,61898,+
CAIFEK010000001.1,a5b2f7e7089e9686745c,1a4a84623ca4dd98d340,62587,63480,+
CAIFEK010000001.1,b1eb1756d46dba32f1a0,1a4a84623ca4dd98d340,63549,63809,-
CAIFEK010000001.1,4b40229f420a0be885c0,1a4a84623ca4dd98d340,63985,65169,+
CAIFEK010000001.1,d0293a34aba75798e4c3,1a4a84623ca4dd98d340,66376,68823,-
CAIFEK010000001.1,fe6a05935c11d2dc87bc,1a4a84623ca4dd98d340,68833,70215,-
CAIFEK010000001.1,7ea966ad108c485f2a6c,1a4a84623ca4dd98d340,70212,72263,-
CAIFEK010000001.1,9ba35aacedee08166de4,1a4a84623ca4dd98d340,73493,77227,-
CAIFEK010000001.1,dcef8efa7b5b613bac99,1a4a84623ca4dd98d340,77491,78282,-
CAIFEK010000001.1,787c6f6d418305ce965e,1a4a84623ca4dd98d340,78284,80098,-
CAIFEK010000001.1,fe8013066501382239bb,1a4a84623ca4dd98d340,80098,80682,-
CAIFEK010000001.1,245115df7842228b8d7e,1a4a84623ca4dd98d340,80953,81906,-
CAIFEK010000001.1,bdf5e82fd8507e8450e2,1a4a84623ca4dd98d340,82110,83033,+
CAIFEK010000001.1,7860f92b465f6b1868ea,1a4a84623ca4dd98d340,84581,86272,+
CAIFEK010000001.1,bc7ca3d564ceb76e8da7,1a4a84623ca4dd98d340,86274,87050,+
CAIFEK010000001.1,030ac1a1460ed0b71e4a,1a4a84623ca4dd98d340,87047,88285,+
CAIFEK010000001.1,1e3ace0d9a2481b1baa3,1a4a84623ca4dd98d340,88422,89363,-
CAIFEK010000001.1,000b609d5e3536179661,1a4a84623ca4dd98d340,90469,91833,-
CAIFEK010000001.1,4aa351f8d72278923a31,1a4a84623ca4dd98d340,92440,93636,+
CAIFEK010000001.1,c7f477d2ec6baa6a7690,1a4a84623ca4dd98d340,93759,94709,+
CAIFEK010000001.1,d9ff392159bae9faf4c8,1a4a84623ca4dd98d340,94726,96219,+
CAIFEK010000001.1,99373790c03b2f1587c3,1a4a84623ca4dd98d340,96232,97203,+
CAIFEK010000001.1,e29eec8c754304ed693a,1a4a84623ca4dd98d340,97361,98857,+
CAIFEK010000001.1,d7a2c8a41cf0193b804c,1a4a84623ca4dd98d340,98978,100585,+
CAIFEK010000001.1,d7819ee4979a65f48bd7,1a4a84623ca4dd98d340,100669,101382,+
CAIFEK010000001.1,23802657f26d750fef62,1a4a84623ca4dd98d340,101474,102517,-
