recid,crhash,chash,start,end
NZ_CJQQ01000001.1,d130f00bf34f5dc39ba6,46a9a128756160d9e4a2,483466,483668
NZ_CJQQ01000002.1,d4621962714d27417b46,c705d4444351790d9ce4,62157,62304
NZ_CJQQ01000003.1,8680afaebe3ab98bb341,ed3f13052cbe862f2b36,182009,182393
NZ_CJQQ01000006.1,eeeada4e5714559ae8c7,2f91c7f1b270da741cb2,222705,222772
NZ_CJQQ01000007.1,3280beb4ac9cb0949080,b21234fbc5aa2ab168d5,87095,87489
NZ_CJQQ01000007.1,34c874054c528d2b9c34,b21234fbc5aa2ab168d5,98306,98405
NZ_CJQQ01000009.1,8365c93bc76d326cae9e,0feb2503a59af6fc9357,132100,132394
NZ_CJQQ01000010.1,752391d97017ee1ad87d,804cfccbdaadc6c639b3,90513,90642
NZ_CJQQ01000014.1,eae92abb84b4f3ad710b,a2ee7ce0ed70a2af9268,118290,118559
NZ_CJQQ01000021.1,c42a45041b34aa7dda74,9426bbcf88b283f35792,34508,34582
