Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
e8e35986a4c05b4442|068a08e34fd9531d18|068a08e34fd9531d18|8662361|NZ_JADPZX010000001.1:2684771-2710031(FWD)	e8e35986a4c05b4442|068a08e34fd9531d18|068a08e34fd9531d18|8662361|NZ_JADPZX010000001.1:2684771-2710031(FWD)@1	21847	22338	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[22]	['1.60e-08']	[0.677]	[0.459]	NA	NA
e8e35986a4c05b4442|153a42fcd1400a52f7|d2b5e7dcc596847d34|1693391|NZ_BEWC01000002.1:861143-886430(REV)	e8e35986a4c05b4442|153a42fcd1400a52f7|d2b5e7dcc596847d34|1693391|NZ_BEWC01000002.1:861143-886430(REV)@1	21420	21914	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[22]	['4.30e-07']	[0.473]	[0.358]	NA	NA
e8e35986a4c05b4442|88a561c1a3e231b0c3|4d55ae0457758d3764|2088201|NZ_RJKZ01000001.1:6355012-6380260(REV)	e8e35986a4c05b4442|88a561c1a3e231b0c3|4d55ae0457758d3764|2088201|NZ_RJKZ01000001.1:6355012-6380260(REV)@1	21227	21721	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[23]	['1.90e-07']	[0.479]	[0.362]	NA	NA
e8e35986a4c05b4442|46e566f2b8d3d10fad|46e566f2b8d3d10fad|193541|NZ_JODI01000003.1:140969-166283(REV)	e8e35986a4c05b4442|46e566f2b8d3d10fad|46e566f2b8d3d10fad|193541|NZ_JODI01000003.1:140969-166283(REV)@1	21319	21813	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[21]	['4.20e-07']	[0.479]	[0.362]	NA	NA
e8e35986a4c05b4442|d02b05a9fb7033afe1|d02b05a9fb7033afe1|8120791|NZ_BMVB01000007.1:17406-42696(REV)	e8e35986a4c05b4442|d02b05a9fb7033afe1|d02b05a9fb7033afe1|8120791|NZ_BMVB01000007.1:17406-42696(REV)@1	20533	21027	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[23]	['6.70e-06']	[0.576]	[0.483]	NA	NA
e8e35986a4c05b4442|ab50708f3b611a3aad|ab50708f3b611a3aad|239638|NZ_GG657757.1:5946829-5972092(REV)	e8e35986a4c05b4442|ab50708f3b611a3aad|ab50708f3b611a3aad|239638|NZ_GG657757.1:5946829-5972092(REV)@1	21219	21710	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[21]	['1.10e-07']	[0.482]	[0.362]	NA	NA
e8e35986a4c05b4442|46e76117a7360113b6|46e76117a7360113b6|303258|NZ_AGBF01000004.1:103732-129052(REV)	e8e35986a4c05b4442|46e76117a7360113b6|46e76117a7360113b6|303258|NZ_AGBF01000004.1:103732-129052(REV)@1	19134	19625	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[19]	['3.90e-07']	[0.524]	[0.358]	NA	NA
e8e35986a4c05b4442|8c6c68f4481003f266|8c6c68f4481003f266|8121081|NZ_BMWE01000023.1:4490-29807(REV)	e8e35986a4c05b4442|8c6c68f4481003f266|8c6c68f4481003f266|8121081|NZ_BMWE01000023.1:4490-29807(REV)@1	21586	22077	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[23]	['6.40e-08']	[0.457]	[0.344]	NA	NA
e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)@1	21595	22155	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[22]	['5.30e-07']	[0.39]	[0.335]	NA	NA
e8e35986a4c05b4442|a96988a1f46aab4929|a96988a1f46aab4929|8120021|NZ_BMSE01000017.1:113209-138472(FWD)	e8e35986a4c05b4442|a96988a1f46aab4929|a96988a1f46aab4929|8120021|NZ_BMSE01000017.1:113209-138472(FWD)@2	21471	21962	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[22]	['2.10e-07']	[0.457]	[0.344]	NA	NA
