Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
CasR_0_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|79d6489286feb792fa|79d6489286feb792fa|193201|NZ_JOIU01000003.1:114638-140471(FWD)_1	164	198	1.1e-06	22.8	102	593	f3a73b3acc03da9bf8|79d6489286feb792fa|79d6489286feb792fa|193201|NZ_JOIU01000003.1:114638-140471(FWD)	1	0.31097560975609756	0.25757575757575757	1
CasR_0_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)_2	164	198	3.4e-07	24.4	359	850	f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	2	0.38414634146341464	0.3181818181818182	1
CasR_0_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)_2	164	198	1e-06	22.8	735	1226	f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	2	0.31097560975609756	0.25757575757575757	1
CasR_0_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|a830dbf47eb2d30e83|a830dbf47eb2d30e83|618591|NZ_KQ948216.1:239233-265051(FWD)_2	164	198	1.2e-06	22.7	845	1336	f3a73b3acc03da9bf8|a830dbf47eb2d30e83|a830dbf47eb2d30e83|618591|NZ_KQ948216.1:239233-265051(FWD)	2	0.31097560975609756	0.25757575757575757	1
CasR_0_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|dbbf2b9c6b8f3b5c2a|dbbf2b9c6b8f3b5c2a|82661|NZ_CM002285.1:3054841-3080695(REV)_2	164	198	2.2e-06	21.8	526	1017	f3a73b3acc03da9bf8|dbbf2b9c6b8f3b5c2a|dbbf2b9c6b8f3b5c2a|82661|NZ_CM002285.1:3054841-3080695(REV)	2	0.31097560975609756	0.25757575757575757	1
CasR_0_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|f0be3384e47caee2b9|f0be3384e47caee2b9|953131|NZ_MQUS01000041.1:33225-59040(FWD)_2	164	198	2.3e-06	21.7	330	821	f3a73b3acc03da9bf8|f0be3384e47caee2b9|f0be3384e47caee2b9|953131|NZ_MQUS01000041.1:33225-59040(FWD)	2	0.31097560975609756	0.25757575757575757	1
CasR_0_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|fdf463fed095a31296|fdf463fed095a31296|7098981|NZ_CP053189.1:2548106-2573915(REV)_2	164	198	1.1e-06	22.7	668	1159	f3a73b3acc03da9bf8|fdf463fed095a31296|fdf463fed095a31296|7098981|NZ_CP053189.1:2548106-2573915(REV)	2	0.31097560975609756	0.25757575757575757	1
CasR_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|79d6489286feb792fa|79d6489286feb792fa|193201|NZ_JOIU01000003.1:114638-140471(FWD)_1	164	218	1.1e-07	25.5	102	593	f3a73b3acc03da9bf8|79d6489286feb792fa|79d6489286feb792fa|193201|NZ_JOIU01000003.1:114638-140471(FWD)	1	0.3719512195121951	0.2798165137614679	1
CasR_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)_2	164	218	1.4e-08	28.5	359	850	f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	2	0.4268292682926829	0.3302752293577982	1
CasR_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)_2	164	218	6.7e-08	26.3	735	1226	f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	2	0.3719512195121951	0.2798165137614679	1
CasR_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|a830dbf47eb2d30e83|a830dbf47eb2d30e83|618591|NZ_KQ948216.1:239233-265051(FWD)_2	164	218	6.9e-08	26.2	845	1336	f3a73b3acc03da9bf8|a830dbf47eb2d30e83|a830dbf47eb2d30e83|618591|NZ_KQ948216.1:239233-265051(FWD)	2	0.5182926829268293	0.37155963302752293	1
CasR_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|dbbf2b9c6b8f3b5c2a|dbbf2b9c6b8f3b5c2a|82661|NZ_CM002285.1:3054841-3080695(REV)_2	164	218	1.3e-07	25.4	526	1017	f3a73b3acc03da9bf8|dbbf2b9c6b8f3b5c2a|dbbf2b9c6b8f3b5c2a|82661|NZ_CM002285.1:3054841-3080695(REV)	2	0.5121951219512195	0.37155963302752293	1
CasR_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|f0be3384e47caee2b9|f0be3384e47caee2b9|953131|NZ_MQUS01000041.1:33225-59040(FWD)_2	164	218	1.1e-07	25.5	330	821	f3a73b3acc03da9bf8|f0be3384e47caee2b9|f0be3384e47caee2b9|953131|NZ_MQUS01000041.1:33225-59040(FWD)	2	0.5304878048780488	0.37155963302752293	1
CasR_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|fdf463fed095a31296|fdf463fed095a31296|7098981|NZ_CP053189.1:2548106-2573915(REV)_2	164	218	7.6e-08	26.1	668	1159	f3a73b3acc03da9bf8|fdf463fed095a31296|fdf463fed095a31296|7098981|NZ_CP053189.1:2548106-2573915(REV)	2	0.3719512195121951	0.2798165137614679	1
Csa3_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|79d6489286feb792fa|79d6489286feb792fa|193201|NZ_JOIU01000003.1:114638-140471(FWD)_1	164	118	1e-05	20.3	102	593	f3a73b3acc03da9bf8|79d6489286feb792fa|79d6489286feb792fa|193201|NZ_JOIU01000003.1:114638-140471(FWD)	1	0.43902439024390244	0.3474576271186441	1
Csa3_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|79d6489286feb792fa|79d6489286feb792fa|193201|NZ_JOIU01000003.1:114638-140471(FWD)_24	100	118	4.2e-07	24.8	23501	23800	f3a73b3acc03da9bf8|79d6489286feb792fa|79d6489286feb792fa|193201|NZ_JOIU01000003.1:114638-140471(FWD)	24	0.61	0.559322033898305	1
Csa3_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)_2	164	118	1.8e-06	22.7	359	850	f3a73b3acc03da9bf8|7b04ef293d7619068a|7b04ef293d7619068a|8120581|NZ_BMUI01000026.1:52728-78549(FWD)	2	0.4634146341463415	0.3728813559322034	1
Csa3_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)_2	164	118	2.9e-05	18.8	735	1226	f3a73b3acc03da9bf8|8b16477d1de2dad748|8b16477d1de2dad748|1556291|NZ_PQSU01000011.1:106012-131854(FWD)	2	0.4451219512195122	0.3474576271186441	1
Csa3_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|a830dbf47eb2d30e83|a830dbf47eb2d30e83|618591|NZ_KQ948216.1:239233-265051(FWD)_2	164	118	3e-06	22.0	845	1336	f3a73b3acc03da9bf8|a830dbf47eb2d30e83|a830dbf47eb2d30e83|618591|NZ_KQ948216.1:239233-265051(FWD)	2	0.3048780487804878	0.3389830508474576	1
Csa3_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|a830dbf47eb2d30e83|a830dbf47eb2d30e83|618591|NZ_KQ948216.1:239233-265051(FWD)_23	136	118	8.8e-08	26.9	22907	23314	f3a73b3acc03da9bf8|a830dbf47eb2d30e83|a830dbf47eb2d30e83|618591|NZ_KQ948216.1:239233-265051(FWD)	23	0.5073529411764706	0.6271186440677966	1
Csa3_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|dbbf2b9c6b8f3b5c2a|dbbf2b9c6b8f3b5c2a|82661|NZ_CM002285.1:3054841-3080695(REV)_2	164	118	1.6e-05	19.7	526	1017	f3a73b3acc03da9bf8|dbbf2b9c6b8f3b5c2a|dbbf2b9c6b8f3b5c2a|82661|NZ_CM002285.1:3054841-3080695(REV)	2	0.3048780487804878	0.3389830508474576	1
Csa3_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|f0be3384e47caee2b9|f0be3384e47caee2b9|953131|NZ_MQUS01000041.1:33225-59040(FWD)_2	164	118	1.6e-05	19.6	330	821	f3a73b3acc03da9bf8|f0be3384e47caee2b9|f0be3384e47caee2b9|953131|NZ_MQUS01000041.1:33225-59040(FWD)	2	0.2865853658536585	0.3389830508474576	1
Csa3_1_CAS-I-II-III-IV-V-VI	f3a73b3acc03da9bf8|fdf463fed095a31296|fdf463fed095a31296|7098981|NZ_CP053189.1:2548106-2573915(REV)_2	164	118	8.4e-06	20.5	668	1159	f3a73b3acc03da9bf8|fdf463fed095a31296|fdf463fed095a31296|7098981|NZ_CP053189.1:2548106-2573915(REV)	2	0.47560975609756095	0.3813559322033898	1
