Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	260273e052f76dffd2|219c11885909ce600f|219c11885909ce600f|3218401|NZ_VCKX01000217.1:316-21745(FWD)_7	305	284	2.5e-06	23.3	6516	7430	260273e052f76dffd2|219c11885909ce600f|219c11885909ce600f|3218401|NZ_VCKX01000217.1:316-21745(FWD)	7	0.35081967213114756	0.21830985915492956	-1
AbiEii_0_CAS-III	260273e052f76dffd2|2d75cc374dd9e28173|2d75cc374dd9e28173|191261|KL573182.1:0-16407(REV)_7	278	284	5.9e-06	22.1	6910	7743	260273e052f76dffd2|2d75cc374dd9e28173|2d75cc374dd9e28173|191261|KL573182.1:0-16407(REV)	7	0.5431654676258992	0.5140845070422535	1
AbiEii_0_CAS-III	260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)_10	306	284	2.1e-06	23.6	6598	7515	260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	10	0.1830065359477124	0.19014084507042253	-1
AbiEii_0_CAS-III	260273e052f76dffd2|65b05424150d234be9|65b05424150d234be9|1786491|NZ_QLYX01000002.1:561905-587564(FWD)_2	536	284	0.00027	16.6	376	1983	260273e052f76dffd2|65b05424150d234be9|65b05424150d234be9|1786491|NZ_QLYX01000002.1:561905-587564(FWD)	2	0.3246268656716418	0.34507042253521125	1
AbiEii_0_CAS-III	260273e052f76dffd2|70209c75f261e257a5|70209c75f261e257a5|4421461|NZ_VSEY01000045.1:36969-62586(REV)_8	305	284	1.2e-07	27.7	5682	6596	260273e052f76dffd2|70209c75f261e257a5|70209c75f261e257a5|4421461|NZ_VSEY01000045.1:36969-62586(REV)	8	0.4065573770491803	0.36619718309859156	-1
AbiEii_0_CAS-III	260273e052f76dffd2|775105ef2855fa4d3f|775105ef2855fa4d3f|862911|NZ_FNFB01000016.1:47396-73013(REV)_8	304	284	4.8e-08	28.9	6600	7511	260273e052f76dffd2|775105ef2855fa4d3f|775105ef2855fa4d3f|862911|NZ_FNFB01000016.1:47396-73013(REV)	8	0.5098684210526315	0.36971830985915494	-1
AbiEii_0_CAS-III	260273e052f76dffd2|77a6cabb9daaccf341|77a6cabb9daaccf341|1816801|NZ_QNFZ01000163.1:0-16753(REV)_9	306	284	7.4e-07	25.0	6541	7458	260273e052f76dffd2|77a6cabb9daaccf341|77a6cabb9daaccf341|1816801|NZ_QNFZ01000163.1:0-16753(REV)	9	0.24836601307189543	0.2147887323943662	-1
AbiEii_0_CAS-III	260273e052f76dffd2|86c24e46fa8b8698c6|86c24e46fa8b8698c6|8118641|NZ_BMNK01000006.1:167012-192626(REV)_7	306	284	4.4e-07	25.8	6568	7485	260273e052f76dffd2|86c24e46fa8b8698c6|86c24e46fa8b8698c6|8118641|NZ_BMNK01000006.1:167012-192626(REV)	7	0.18627450980392157	0.1936619718309859	-1
AbiEii_0_CAS-III	260273e052f76dffd2|9a23aa06aea4c1f98b|9a23aa06aea4c1f98b|636698|NZ_KB894098.1:174004-199642(FWD)_2	281	284	8.9e-10	34.6	406	1248	260273e052f76dffd2|9a23aa06aea4c1f98b|9a23aa06aea4c1f98b|636698|NZ_KB894098.1:174004-199642(FWD)	2	0.3736654804270463	0.35563380281690143	1
AbiEii_0_CAS-III	260273e052f76dffd2|b2c508b8c010d3caeb|96f50c274a8daccd5d|8236891|NZ_JADBEK010000001.1:12002585-12028202(REV)_2	313	284	1.3e-06	24.2	376	1314	260273e052f76dffd2|b2c508b8c010d3caeb|96f50c274a8daccd5d|8236891|NZ_JADBEK010000001.1:12002585-12028202(REV)	2	0.19488817891373802	0.2147887323943662	1
AbiEii_0_CAS-III	260273e052f76dffd2|b2c508b8c010d3caeb|b2c508b8c010d3caeb|7887441|NZ_JACHMB010000001.1:7160357-7185974(REV)_1	287	284	9.4e-07	24.7	3	863	260273e052f76dffd2|b2c508b8c010d3caeb|b2c508b8c010d3caeb|7887441|NZ_JACHMB010000001.1:7160357-7185974(REV)	1	0.23344947735191637	0.2323943661971831	1
AbiEii_0_CAS-III	260273e052f76dffd2|c3ad9f52edc810b471|c3ad9f52edc810b471|637461|NZ_BCQU01000018.1:2446-28273(FWD)_1	271	284	1e-09	34.5	2	814	260273e052f76dffd2|c3ad9f52edc810b471|c3ad9f52edc810b471|637461|NZ_BCQU01000018.1:2446-28273(FWD)	1	0.3505535055350554	0.3380281690140845	1
AbiEii_0_CAS-III	260273e052f76dffd2|c45052b2452d4a14b8|c45052b2452d4a14b8|7888511|NZ_JACHMI010000001.1:8200378-8225995(FWD)_6	305	284	3e-08	29.6	4471	5385	260273e052f76dffd2|c45052b2452d4a14b8|c45052b2452d4a14b8|7888511|NZ_JACHMI010000001.1:8200378-8225995(FWD)	6	0.5147540983606558	0.3626760563380282	-1
AbiEii_0_CAS-III	260273e052f76dffd2|d6b21e4464ac3fc7b0|d6b21e4464ac3fc7b0|8630151|NZ_JADOGI010000085.1:18383-41494(FWD)_8	305	284	1.3e-07	27.5	6572	7486	260273e052f76dffd2|d6b21e4464ac3fc7b0|d6b21e4464ac3fc7b0|8630151|NZ_JADOGI010000085.1:18383-41494(FWD)	8	0.38688524590163936	0.2711267605633803	-1
AbiEii_0_CAS-III	260273e052f76dffd2|f636ea9e59a5fdb6d6|f636ea9e59a5fdb6d6|4744521|NZ_VYTZ01000003.1:496067-521720(REV)_15	225	284	2.7e-07	26.5	14703	15377	260273e052f76dffd2|f636ea9e59a5fdb6d6|f636ea9e59a5fdb6d6|4744521|NZ_VYTZ01000003.1:496067-521720(REV)	15	0.4622222222222222	0.36619718309859156	-1
AbiEii_1_CAS-III-A	260273e052f76dffd2|70209c75f261e257a5|70209c75f261e257a5|4421461|NZ_VSEY01000045.1:36969-62586(REV)_8	305	335	0.002	13.3	5682	6596	260273e052f76dffd2|70209c75f261e257a5|70209c75f261e257a5|4421461|NZ_VSEY01000045.1:36969-62586(REV)	8	0.13114754098360656	0.11343283582089553	-1
AbiEii_1_CAS-III-A	260273e052f76dffd2|775105ef2855fa4d3f|775105ef2855fa4d3f|862911|NZ_FNFB01000016.1:47396-73013(REV)_8	304	335	0.0057	11.9	6600	7511	260273e052f76dffd2|775105ef2855fa4d3f|775105ef2855fa4d3f|862911|NZ_FNFB01000016.1:47396-73013(REV)	8	0.13815789473684212	0.11641791044776119	-1
AbiEii_1_CAS-III-A	260273e052f76dffd2|c45052b2452d4a14b8|c45052b2452d4a14b8|7888511|NZ_JACHMI010000001.1:8200378-8225995(FWD)_6	305	335	0.0079	11.4	4471	5385	260273e052f76dffd2|c45052b2452d4a14b8|c45052b2452d4a14b8|7888511|NZ_JACHMI010000001.1:8200378-8225995(FWD)	6	0.13114754098360656	0.11343283582089553	-1
AbiEii_2_CAS-III-C	260273e052f76dffd2|b2c508b8c010d3caeb|96f50c274a8daccd5d|8236891|NZ_JADBEK010000001.1:12002585-12028202(REV)_2	313	440	0.011	11.1	376	1314	260273e052f76dffd2|b2c508b8c010d3caeb|96f50c274a8daccd5d|8236891|NZ_JADBEK010000001.1:12002585-12028202(REV)	2	0.2012779552715655	0.14772727272727273	1
Cas12a_1_CAS-V-A	260273e052f76dffd2|77a6cabb9daaccf341|77a6cabb9daaccf341|1816801|NZ_QNFZ01000163.1:0-16753(REV)_18	88	1086	0.0012	12.9	15738	16001	260273e052f76dffd2|77a6cabb9daaccf341|77a6cabb9daaccf341|1816801|NZ_QNFZ01000163.1:0-16753(REV)	18	0.5454545454545454	0.05064456721915286	-1
