Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
2bce6e5989f64eecdf|bdc8d46cb09a2a0ff9|3b03354191d340eba9|8143281|NZ_JACJSJ010000220.1:0-6865(REV)	2bce6e5989f64eecdf|bdc8d46cb09a2a0ff9|3b03354191d340eba9|8143281|NZ_JACJSJ010000220.1:0-6865(REV)@1	4762	5514	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[5]	['9.50e-07']	[0.673]	[0.599]	NA	NA
2bce6e5989f64eecdf|e9c2745a502f4f9f7c|41ff0fd19e481180e4|1232481|NZ_AP018181.1:244620-270327(REV)	2bce6e5989f64eecdf|e9c2745a502f4f9f7c|41ff0fd19e481180e4|1232481|NZ_AP018181.1:244620-270327(REV)@1	18518	19504	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[14]	['6.00e-04']	[0.319]	[0.434]	NA	NA
2bce6e5989f64eecdf|cf3e820174321f736e|cf3e820174321f736e|1232451|NZ_AP018227.1:3584319-3610050(REV)	2bce6e5989f64eecdf|cf3e820174321f736e|cf3e820174321f736e|1232451|NZ_AP018227.1:3584319-3610050(REV)@1	20564	21403	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[19]	['1.00e-04']	[0.357]	[0.324]	NA	NA
2bce6e5989f64eecdf|437cfa649dd8f2ff14|437cfa649dd8f2ff14|589491|NZ_LMTZ01000071.1:0-13351(FWD)	2bce6e5989f64eecdf|437cfa649dd8f2ff14|437cfa649dd8f2ff14|589491|NZ_LMTZ01000071.1:0-13351(FWD)@1	12559	13266	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[13]	['7.90e-04']	[0.381]	[0.551]	NA	NA
2bce6e5989f64eecdf|935c9f0dba147d4aa5|935c9f0dba147d4aa5|2316221|RDXV01000019.1:10467-36348(FWD)	2bce6e5989f64eecdf|935c9f0dba147d4aa5|935c9f0dba147d4aa5|2316221|RDXV01000019.1:10467-36348(FWD)@1	18719	19822	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[20]	['2.30e-06']	[0.432]	[0.563]	NA	NA
2bce6e5989f64eecdf|e9c2745a502f4f9f7c|6021977239a5b1ca0d|6466091|NZ_CP050440.1:3536867-3562574(REV)	2bce6e5989f64eecdf|e9c2745a502f4f9f7c|6021977239a5b1ca0d|6466091|NZ_CP050440.1:3536867-3562574(REV)@1	18985	19974	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[19]	['2.40e-04']	[0.324]	[0.446]	NA	NA
2bce6e5989f64eecdf|8880ada6e50975e092|53ce04ac0d68a1f4af|8142551|NZ_JACJQK010000003.1:210560-236267(REV)	2bce6e5989f64eecdf|8880ada6e50975e092|53ce04ac0d68a1f4af|8142551|NZ_JACJQK010000003.1:210560-236267(REV)@1	13228	15810	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[13]	['4.50e-15']	[0.444]	[0.592]	NA	NA
2bce6e5989f64eecdf|cb7352739ed77c6ae1|cb7352739ed77c6ae1|EARTH_3300017505_11|3300017505.a:Ga0185315_1002264:0-9154(FWD)	2bce6e5989f64eecdf|cb7352739ed77c6ae1|cb7352739ed77c6ae1|EARTH_3300017505_11|3300017505.a:Ga0185315_1002264:0-9154(FWD)@1	5860	6990	False	14%	0%	I-A	2.0	['Cas6_8_CAS-I-II-III-IV-V-VI']	[8]	['1.10e-59']	[0.719]	[0.927]	1	NA
2bce6e5989f64eecdf|dd13f6bb31139b60d1|7e3ff77c212d1381d3|8216421|NZ_VJXY01000021.1:108254-133964(REV)	2bce6e5989f64eecdf|dd13f6bb31139b60d1|7e3ff77c212d1381d3|8216421|NZ_VJXY01000021.1:108254-133964(REV)@1	13873	16227	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[16]	['3.10e-06']	[0.376]	[0.598]	NA	NA
2bce6e5989f64eecdf|1fae5fdad2a431c977|d3d338883562494ee7|626188|NZ_KB235930.1:441330-467037(REV)	2bce6e5989f64eecdf|1fae5fdad2a431c977|d3d338883562494ee7|626188|NZ_KB235930.1:441330-467037(REV)@1	13246	15585	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[10]	['2.90e-09']	[0.403]	[0.639]	NA	NA
