query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);7153;8499;-,16.3,0.0001,449,37,67,4,34
2-Hacid_dh_C,PF02826.21,178,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);7153;8499;-,16.3,0.0001,449,36,79,164,207
2-Hacid_dh_C,PF02826.21,178,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);7153;8499;-,16.3,0.0001,449,23,62,382,421
2TM,PF13239.8,78,c1050b21cc75640d51|77b2246d8911816dbf|77b2246d8911816dbf|2352241|NZ_SNWE01000032.1:2861-28643(FWD);23030;23413;+,10.2,0.016,128,7,59,4,55
3Beta_HSD,PF01073.21,280,c1050b21cc75640d51|ac3ae6cb0e175d6f1a|ca8cda2b26899d26f9|EARTH_3300024044_11|3300024044.a:Ga0222419_100311:28549-54364(FWD);10506;11519;+,70.3,2.9e-21,338,0,240,5,259
3H,PF02829.16,97,c1050b21cc75640d51|ac3ae6cb0e175d6f1a|ca8cda2b26899d26f9|EARTH_3300024044_11|3300024044.a:Ga0222419_100311:28549-54364(FWD);4512;6671;-,15.0,0.0005,720,42,97,569,624
3HCDH_N,PF02737.20,180,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);7153;8499;-,29.4,1.5e-08,449,1,30,5,34
3HCDH_N,PF02737.20,180,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);7153;8499;-,29.4,1.5e-08,449,3,56,168,221
3HCDH_N,PF02737.20,180,c1050b21cc75640d51|ac3ae6cb0e175d6f1a|ac3ae6cb0e175d6f1a|EARTH_3300024044_11|3300024044.a:Ga0222419_100146:12918-38733(FWD);24376;25302;-,19.5,1.6e-05,309,0,44,1,47
AAA,PF00004.31,132,c1050b21cc75640d51|d5714122cfeb9afcc4|d5714122cfeb9afcc4|110968|NC_014041.1:5047694-5073473(REV);1842;4838;+,25.9,2.4e-07,999,2,53,193,259
AAA,PF00004.31,132,c1050b21cc75640d51|d5714122cfeb9afcc4|d5714122cfeb9afcc4|110968|NC_014041.1:5047694-5073473(REV);1842;4838;+,25.9,2.4e-07,999,19,108,286,360
AAA,PF00004.31,132,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);1744;5958;-,21.8,4.7e-06,1405,34,74,10,47
AAA,PF00004.31,132,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);1744;5958;-,21.8,4.7e-06,1405,5,30,160,187
AAA,PF00004.31,132,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);1744;5958;-,21.8,4.7e-06,1405,1,41,383,427
AAA,PF00004.31,132,c1050b21cc75640d51|c824d5fe650755b2bf|c824d5fe650755b2bf|2352241|NZ_SNWE01000038.1:0-14544(REV);5319;5981;+,17.5,9.4e-05,221,0,18,81,99
AAA,PF00004.31,132,c1050b21cc75640d51|c824d5fe650755b2bf|c824d5fe650755b2bf|2352241|NZ_SNWE01000038.1:0-14544(REV);5319;5981;+,17.5,9.4e-05,221,25,52,181,208
AAA,PF00004.31,132,c1050b21cc75640d51|89ca2f2f3b7fea30c9|89ca2f2f3b7fea30c9|EARTH_3300022741_15|3300022741.a:Ga0206116_1000061:5683-31300(REV);2957;3703;-,13.9,0.0013,249,2,21,31,50
AAA,PF00004.31,132,c1050b21cc75640d51|ef8978fab3006723f0|ef8978fab3006723f0|884311|NZ_FOVL01000007.1:156040-175159(REV);8391;10229;+,12.2,0.0043,613,2,22,36,56
AAA,PF00004.31,132,c1050b21cc75640d51|ef8978fab3006723f0|ef8978fab3006723f0|884311|NZ_FOVL01000007.1:156040-175159(REV);8391;10229;+,12.2,0.0043,613,36,73,167,202
AAA,PF00004.31,132,c1050b21cc75640d51|ef8978fab3006723f0|ef8978fab3006723f0|884311|NZ_FOVL01000007.1:156040-175159(REV);8391;10229;+,12.2,0.0043,613,82,110,545,571
AAA_11,PF13086.8,261,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);1744;5958;-,40.7,5.2e-12,1405,1,135,365,496
AAA_11,PF13086.8,261,c1050b21cc75640d51|9978843ed7a8806241|9978843ed7a8806241|EARTH_3300010055_3|3300010055.a:Ga0098067_1001020:0-9833(REV);2980;4110;-,7.4,0.075,377,102,190,240,328
AAA_12,PF13087.8,199,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);1744;5958;-,47.0,5e-14,1405,90,108,633,651
AAA_12,PF13087.8,199,c1050b21cc75640d51|acddb38f14873225e8|acddb38f14873225e8|176978|NZ_CH672395.1:3567489-3593283(FWD);1744;5958;-,47.0,5e-14,1405,1,195,1099,1298
AAA_13,PF13166.8,713,c1050b21cc75640d51|4ac69ddc8ed65440ab|4ac69ddc8ed65440ab|2215371|NZ_QOVJ01000001.1:1177402-1203196(REV);4484;5662;-,54.3,2.3e-16,393,15,80,16,76
AAA_13,PF13166.8,713,c1050b21cc75640d51|4ac69ddc8ed65440ab|4ac69ddc8ed65440ab|2215371|NZ_QOVJ01000001.1:1177402-1203196(REV);4484;5662;-,54.3,2.3e-16,393,493,689,157,354
AAA_14,PF13173.8,130,c1050b21cc75640d51|c824d5fe650755b2bf|c824d5fe650755b2bf|2352241|NZ_SNWE01000038.1:0-14544(REV);5319;5981;+,13.1,0.0017,221,4,27,81,103
AAA_14,PF13173.8,130,c1050b21cc75640d51|c824d5fe650755b2bf|c824d5fe650755b2bf|2352241|NZ_SNWE01000038.1:0-14544(REV);5319;5981;+,13.1,0.0017,221,52,53,191,192
AAA_15,PF13175.8,374,c1050b21cc75640d51|ef8978fab3006723f0|ef8978fab3006723f0|884311|NZ_FOVL01000007.1:156040-175159(REV);2969;4675;-,38.9,1.7e-11,569,236,374,161,310
AAA_15,PF13175.8,374,c1050b21cc75640d51|ffdc6c358a1dffe1b1|ffdc6c358a1dffe1b1|176991|NZ_JHZY01000004.1:1388392-1414228(FWD);6429;8342;-,35.0,2.7e-10,638,23,47,25,59
AAA_15,PF13175.8,374,c1050b21cc75640d51|ffdc6c358a1dffe1b1|ffdc6c358a1dffe1b1|176991|NZ_JHZY01000004.1:1388392-1414228(FWD);6429;8342;-,35.0,2.7e-10,638,328,374,420,470
AAA_15,PF13175.8,374,c1050b21cc75640d51|89ca2f2f3b7fea30c9|89ca2f2f3b7fea30c9|EARTH_3300022741_15|3300022741.a:Ga0206116_1000061:5683-31300(REV);2957;3703;-,24.0,5.8e-07,249,10,48,13,52
AAA_15,PF13175.8,374,c1050b21cc75640d51|4ac69ddc8ed65440ab|4ac69ddc8ed65440ab|2215371|NZ_QOVJ01000001.1:1177402-1203196(REV);16696;17514;-,22.8,1.3e-06,273,24,44,29,49
AAA_15,PF13175.8,374,c1050b21cc75640d51|4ac69ddc8ed65440ab|4ac69ddc8ed65440ab|2215371|NZ_QOVJ01000001.1:1177402-1203196(REV);16696;17514;-,22.8,1.3e-06,273,297,369,125,185
AAA_15,PF13175.8,374,c1050b21cc75640d51|c824d5fe650755b2bf|c824d5fe650755b2bf|2352241|NZ_SNWE01000038.1:0-14544(REV);5319;5981;+,14.4,0.00046,221,15,53,72,109
AAA_16,PF13191.8,170,c1050b21cc75640d51|d5714122cfeb9afcc4|d5714122cfeb9afcc4|110968|NC_014041.1:5047694-5073473(REV);1842;4838;+,26.1,2.1e-07,999,5,150,170,337
AAA_16,PF13191.8,170,c1050b21cc75640d51|d5714122cfeb9afcc4|d5714122cfeb9afcc4|110968|NC_014041.1:5047694-5073473(REV);1842;4838;+,26.1,2.1e-07,999,71,107,393,437
