recid,hash,chash,start,end,is_crispr
NZ_MCLK01000001.1,03e56aad25db31213ef2,f0001002ef0a709cbcc3,1203,1457,0
NZ_MCLK01000001.1,d7f1661269ea8af724c0,f0001002ef0a709cbcc3,5875,6678,0
NZ_MCLK01000001.1,eddb039e114384f2552f,f0001002ef0a709cbcc3,6675,7589,0
NZ_MCLK01000001.1,a99495cb718955f79fcd,f0001002ef0a709cbcc3,7806,8630,0
NZ_MCLK01000001.1,e1c159e3b41b74c2e383,f0001002ef0a709cbcc3,8708,9478,0
NZ_MCLK01000001.1,02c6dc651e7d02ca984b,f0001002ef0a709cbcc3,9527,10747,0
NZ_MCLK01000001.1,c7138eecb02d0a92f623,f0001002ef0a709cbcc3,10957,11712,0
NZ_MCLK01000001.1,979fae0c3c4cdf6cbc03,f0001002ef0a709cbcc3,11746,12468,0
NZ_MCLK01000001.1,29d2e45ec66e344da58d,f0001002ef0a709cbcc3,12465,12932,0
NZ_MCLK01000001.1,91370008558a4b288b44,f0001002ef0a709cbcc3,12988,13728,0
NZ_MCLK01000001.1,83e07a33e798dfa077b6,f0001002ef0a709cbcc3,14036,14806,0
NZ_MCLK01000001.1,a22b467c01ee4663af44,f0001002ef0a709cbcc3,14987,15433,0
NZ_MCLK01000001.1,a82828d2ae9e2dbaad25,f0001002ef0a709cbcc3,15476,17920,0
NZ_MCLK01000001.1,186bb5ac5d2966420b9f,f0001002ef0a709cbcc3,18160,18738,0
NZ_MCLK01000001.1,6208be1eb2c960a4c2fc,f0001002ef0a709cbcc3,18943,19710,0
NZ_MCLK01000001.1,5eb7065fdaa37d476d0a,f0001002ef0a709cbcc3,19681,20421,0
NZ_MCLK01000001.1,dc63f0a8306b02c52217,f0001002ef0a709cbcc3,20724,21482,0
NZ_MCLK01000001.1,5301a65544eecc69d36d,f0001002ef0a709cbcc3,21658,22155,0
NZ_MCLK01000001.1,37da6e183fcd8f097541,f0001002ef0a709cbcc3,22375,24468,0
NZ_MCLK01000001.1,a499170cb98b2ae59f65,f0001002ef0a709cbcc3,24452,25591,0
NZ_MCLK01000001.1,4a3b31a2700832baa762,f0001002ef0a709cbcc3,25581,26363,0
NZ_MCLK01000001.1,a55f2c897c18de2b1f0d,f0001002ef0a709cbcc3,26365,26637,0
NZ_MCLK01000001.1,be51288d99589a16b561,f0001002ef0a709cbcc3,26640,27392,0
NZ_MCLK01000001.1,52a5eb0bac5b332a501a,f0001002ef0a709cbcc3,27389,27760,0
NZ_MCLK01000001.1,018ced51a5933132971e,f0001002ef0a709cbcc3,27753,28604,0
NZ_MCLK01000001.1,9167e0684753a9dae58a,f0001002ef0a709cbcc3,28991,29977,0
NZ_MCLK01000001.1,bcd7264508c239e2e833,f0001002ef0a709cbcc3,29992,30333,0
NZ_MCLK01000001.1,371b769dbed24f23f13f,f0001002ef0a709cbcc3,30338,31654,0
NZ_MCLK01000001.1,bdba2cc70d90ddcf34c2,f0001002ef0a709cbcc3,31645,31971,0
NZ_MCLK01000001.1,1fa7efa93bb5a271e847,f0001002ef0a709cbcc3,31949,32959,0
NZ_MCLK01000001.1,5f39189eca52789464dd,f0001002ef0a709cbcc3,32963,33673,0
NZ_MCLK01000001.1,86dcb6c465dddac709eb,f0001002ef0a709cbcc3,33666,35006,0
NZ_MCLK01000001.1,e1e1d5e25131bf5b65d8,f0001002ef0a709cbcc3,35009,35443,0
NZ_MCLK01000001.1,ab1dbfc457b8f89aae53,f0001002ef0a709cbcc3,35446,35841,0
NZ_MCLK01000001.1,4d25ffca9faf0d272a0c,f0001002ef0a709cbcc3,35861,36208,0
NZ_MCLK01000001.1,33a1170f9f32386eecb5,f0001002ef0a709cbcc3,36296,36844,0
NZ_MCLK01000001.1,90cd1c6ca7adfff4f6b8,f0001002ef0a709cbcc3,37869,38270,0
NZ_MCLK01000001.1,f682e8883362ce709d6a,f0001002ef0a709cbcc3,38328,38423,0
NZ_MCLK01000001.1,9dfc35d48990996dbc2c,f0001002ef0a709cbcc3,38752,41190,0
NZ_MCLK01000001.1,4b5eb1e451eea2c963f6,f0001002ef0a709cbcc3,41237,42169,0
NZ_MCLK01000001.1,ad29a9a8fd35de747823,f0001002ef0a709cbcc3,42297,42725,0
NZ_MCLK01000001.1,3d8d23ec013ae21c7560,f0001002ef0a709cbcc3,42738,43016,0
NZ_MCLK01000001.1,5b47a6c31a7b0e3dd5f2,f0001002ef0a709cbcc3,43098,43835,0
NZ_MCLK01000001.1,ee3f56ec455dd28c29f0,f0001002ef0a709cbcc3,43917,44252,0
NZ_MCLK01000001.1,62de3f4b8f02e55f2cf8,f0001002ef0a709cbcc3,44255,44686,0
NZ_MCLK01000001.1,8455183587397ad18bfc,f0001002ef0a709cbcc3,44686,45399,0
NZ_MCLK01000001.1,77d58f566b469926b0c1,f0001002ef0a709cbcc3,45671,46873,0
NZ_MCLK01000001.1,9beeff7f48aa06584eb7,f0001002ef0a709cbcc3,46873,47610,0
NZ_MCLK01000001.1,a5e7c0e3f6c1057abfcd,f0001002ef0a709cbcc3,47689,48474,0
NZ_MCLK01000001.1,b2481e0bda6518272ec9,f0001002ef0a709cbcc3,48482,49222,0
NZ_MCLK01000001.1,32d6a7ec08f240d7f748,f0001002ef0a709cbcc3,49237,50337,0
NZ_MCLK01000001.1,b2e87cc2e36268d38632,f0001002ef0a709cbcc3,50337,50636,0
NZ_MCLK01000001.1,743b480a8b6e12da3d98,f0001002ef0a709cbcc3,50826,52202,0
NZ_MCLK01000001.1,003434ed654712bc3253,f0001002ef0a709cbcc3,52217,53146,0
NZ_MCLK01000001.1,225e69ee48754fc3aec1,f0001002ef0a709cbcc3,53163,54140,0
NZ_MCLK01000001.1,9017a7b99980b829479c,f0001002ef0a709cbcc3,54199,55041,0
NZ_MCLK01000001.1,a26459fffd73c4a6b47b,f0001002ef0a709cbcc3,55527,56441,0
NZ_MCLK01000001.1,ce0c7708ff731c9b3e56,f0001002ef0a709cbcc3,56851,58167,0
NZ_MCLK01000001.1,ddaca36b19ac2618bdd0,f0001002ef0a709cbcc3,58190,58582,0
NZ_MCLK01000001.1,1f8984c0b5715b0e5823,f0001002ef0a709cbcc3,58587,58898,0
NZ_MCLK01000001.1,7b74eed963d2815bbe78,f0001002ef0a709cbcc3,58895,59956,0
NZ_MCLK01000001.1,d141ed5cfd41543f2c11,f0001002ef0a709cbcc3,59964,60431,0
NZ_MCLK01000001.1,989d358063786b751efb,f0001002ef0a709cbcc3,60451,61167,0
NZ_MCLK01000001.1,adff5532912b328adb67,f0001002ef0a709cbcc3,61180,62043,0
NZ_MCLK01000001.1,7804a101489cbcc5f218,f0001002ef0a709cbcc3,62046,62969,0
NZ_MCLK01000001.1,1818c6f66ba3b59edd18,f0001002ef0a709cbcc3,63040,64095,0
NZ_MCLK01000001.1,e8070ef267bfc44b95a0,f0001002ef0a709cbcc3,64170,64544,0
NZ_MCLK01000001.1,0ac904406e13825dfd3b,f0001002ef0a709cbcc3,64734,65873,0
NZ_MCLK01000001.1,a67405fd37ae3f88e0e3,f0001002ef0a709cbcc3,65870,66484,0
NZ_MCLK01000001.1,4d9a8f62f8d1afc49b1a,f0001002ef0a709cbcc3,66540,67997,0
NZ_MCLK01000001.1,c1a5c8e23e60695ec278,f0001002ef0a709cbcc3,68258,68716,0
NZ_MCLK01000001.1,35423c8780d730645fae,f0001002ef0a709cbcc3,68808,70052,0
NZ_MCLK01000001.1,617836c910eed2c81856,f0001002ef0a709cbcc3,70110,70511,0
NZ_MCLK01000001.1,684fc9f71ac35e309702,f0001002ef0a709cbcc3,70550,71605,0
NZ_MCLK01000001.1,43b41b707f7f1647408e,f0001002ef0a709cbcc3,71894,72997,0
NZ_MCLK01000001.1,b57b25723f88ba31d223,f0001002ef0a709cbcc3,73009,74262,0
NZ_MCLK01000001.1,2824102447d64303487e,f0001002ef0a709cbcc3,74816,75286,0
NZ_MCLK01000001.1,2011415329b33884c908,f0001002ef0a709cbcc3,75629,76876,0
NZ_MCLK01000001.1,6ee964267f1ef4380256,f0001002ef0a709cbcc3,76866,78503,0
NZ_MCLK01000001.1,7593ce95c59c2d083081,f0001002ef0a709cbcc3,78497,81595,0
NZ_MCLK01000001.1,575057228af291f325cb,f0001002ef0a709cbcc3,81879,82661,0
