Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
27177e034d397f4d56|36974a0427699e0115|36974a0427699e0115|633621|NZ_BCQE01000001.1:165287-190622(FWD)	27177e034d397f4d56|36974a0427699e0115|36974a0427699e0115|633621|NZ_BCQE01000001.1:165287-190622(FWD)@2	22276	23784	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[21]	['2.70e-08']	[0.461]	[0.66]	-1	NA
27177e034d397f4d56|90297978dfb70bf832|bf2dc0f5139ea971c7|1591041|NZ_PUAP01000002.1:40787-66131(FWD)	27177e034d397f4d56|90297978dfb70bf832|bf2dc0f5139ea971c7|1591041|NZ_PUAP01000002.1:40787-66131(FWD)@1	9346	10428	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[10]	['8.60e-05']	[0.343]	[0.423]	NA	NA
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)@1	9367	10422	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[11]	['3.80e-04']	[0.489]	[0.574]	NA	NA
27177e034d397f4d56|9ac4839b10714eea96|9ac4839b10714eea96|633591|NZ_BCQB01000003.1:66048-91395(FWD)	27177e034d397f4d56|9ac4839b10714eea96|9ac4839b10714eea96|633591|NZ_BCQB01000003.1:66048-91395(FWD)@1	9347	10426	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[10]	['3.70e-04']	[0.322]	[0.391]	NA	NA
27177e034d397f4d56|90297978dfb70bf832|17854724094111e1db|1460761|NZ_CP018061.1:466649-491993(REV)	27177e034d397f4d56|90297978dfb70bf832|17854724094111e1db|1460761|NZ_CP018061.1:466649-491993(REV)@1	9347	10429	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[10]	['5.10e-05']	[0.346]	[0.426]	NA	NA
27177e034d397f4d56|91f6b03b5335d1eed8|91f6b03b5335d1eed8|5381311|NZ_WOTP01000018.1:54743-70523(FWD)	27177e034d397f4d56|91f6b03b5335d1eed8|91f6b03b5335d1eed8|5381311|NZ_WOTP01000018.1:54743-70523(FWD)@1	9355	10425	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[11]	['4.30e-04']	[0.331]	[0.405]	NA	NA
27177e034d397f4d56|00832601b8e2646d20|0f04171ae458bf8fb2|633581|NZ_BCPY01000007.1:37587-62922(REV)	27177e034d397f4d56|00832601b8e2646d20|0f04171ae458bf8fb2|633581|NZ_BCPY01000007.1:37587-62922(REV)@1	9367	10431	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[8]	['7.90e-04']	[0.403]	[0.472]	NA	NA
27177e034d397f4d56|34beb6390d78fad87c|34beb6390d78fad87c|715018|NZ_KE351596.1:67507-92842(FWD)	27177e034d397f4d56|34beb6390d78fad87c|34beb6390d78fad87c|715018|NZ_KE351596.1:67507-92842(FWD)@1	3123	3740	False	0%	33%	II-A	3.0	['Csn2_7_CAS-II-A']	[5]	['1.40e-03']	[0.665]	[0.368]	NA	-1
27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|633531|NZ_BCPT01000001.1:325826-351161(FWD)	27177e034d397f4d56|a4f4dffbf922865f8d|a4f4dffbf922865f8d|633531|NZ_BCPT01000001.1:325826-351161(FWD)@2	21384	22907	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[22]	['8.00e-09']	[0.38]	[0.552]	-1	NA
27177e034d397f4d56|36974a0427699e0115|36974a0427699e0115|633621|NZ_BCQE01000001.1:165287-190622(FWD)	27177e034d397f4d56|36974a0427699e0115|36974a0427699e0115|633621|NZ_BCQE01000001.1:165287-190622(FWD)@1	9387	10433	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[7]	['1.50e-03']	[0.393]	[0.461]	NA	NA
27177e034d397f4d56|27177e034d397f4d56|27177e034d397f4d56|449538|NC_018081.1:1423468-1448818(REV)	27177e034d397f4d56|27177e034d397f4d56|27177e034d397f4d56|449538|NC_018081.1:1423468-1448818(REV)@1	9350	10426	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[13]	['1.70e-04']	[0.379]	[0.444]	NA	NA
27177e034d397f4d56|00832601b8e2646d20|0f04171ae458bf8fb2|633581|NZ_BCPY01000007.1:37587-62922(REV)	27177e034d397f4d56|00832601b8e2646d20|0f04171ae458bf8fb2|633581|NZ_BCPY01000007.1:37587-62922(REV)@2	20713	24686	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']	[17, 20]	['7.20e-06', '3.40e-06']	[0.552, 0.392]	[0.423, 0.507]	NA	NA
27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)	27177e034d397f4d56|00832601b8e2646d20|00832601b8e2646d20|2109371|NZ_CP027786.1:1479290-1504625(FWD)@2	20643	24737	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']	[20, 23]	['2.60e-06', '5.90e-06']	[0.552, 0.389]	[0.423, 0.518]	NA	NA
27177e034d397f4d56|3e70c06ec6b71013c1|3e70c06ec6b71013c1|59391|NZ_AUIQ01000061.1:0-10790(FWD)	27177e034d397f4d56|3e70c06ec6b71013c1|3e70c06ec6b71013c1|59391|NZ_AUIQ01000061.1:0-10790(FWD)@1	5140	6201	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[6]	['8.40e-04']	[0.362]	[0.44]	NA	NA
