Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	596adb7fa02d385b18|198a5c3d4d52c82e42|198a5c3d4d52c82e42|5197391|NZ_WEGJ01000003.1:163800-189612(REV)_16	310	284	7.9e-06	19.5	11560	12489	596adb7fa02d385b18|198a5c3d4d52c82e42|198a5c3d4d52c82e42|5197391|NZ_WEGJ01000003.1:163800-189612(REV)	16	0.29354838709677417	0.30985915492957744	1
AbiEii_0_CAS-III	596adb7fa02d385b18|198a5c3d4d52c82e42|198a5c3d4d52c82e42|5197391|NZ_WEGJ01000003.1:163800-189612(REV)_23	580	284	1.5e-07	25.2	19662	21401	596adb7fa02d385b18|198a5c3d4d52c82e42|198a5c3d4d52c82e42|5197391|NZ_WEGJ01000003.1:163800-189612(REV)	23	0.31896551724137934	0.4014084507042254	-1
AbiEii_0_CAS-III	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)_12	311	284	0.00014	15.4	11556	12488	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)	12	0.26366559485530544	0.27816901408450706	1
AbiEii_0_CAS-III	596adb7fa02d385b18|28137a9d2c775ba1e0|28137a9d2c775ba1e0|2087531|NZ_RJKW01000002.1:1637543-1663370(FWD)_10	310	284	4.2e-05	17.2	11556	12485	596adb7fa02d385b18|28137a9d2c775ba1e0|28137a9d2c775ba1e0|2087531|NZ_RJKW01000002.1:1637543-1663370(FWD)	10	0.267741935483871	0.28169014084507044	1
AbiEii_0_CAS-III	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_11	309	284	0.00033	14.2	11553	12479	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	11	0.2783171521035599	0.29225352112676056	1
AbiEii_0_CAS-III	596adb7fa02d385b18|596adb7fa02d385b18|596adb7fa02d385b18|7289451|JABFXP010000051.1:107262-133086(FWD)_18	312	284	6.9e-05	16.4	11553	12488	596adb7fa02d385b18|596adb7fa02d385b18|596adb7fa02d385b18|7289451|JABFXP010000051.1:107262-133086(FWD)	18	0.266025641025641	0.28169014084507044	1
AbiEii_0_CAS-III	596adb7fa02d385b18|596adb7fa02d385b18|596adb7fa02d385b18|7289771|JABFWL010000319.1:901-15841(FWD)_18	312	284	6.9e-05	16.4	11553	12488	596adb7fa02d385b18|596adb7fa02d385b18|596adb7fa02d385b18|7289771|JABFWL010000319.1:901-15841(FWD)	18	0.266025641025641	0.28169014084507044	1
AbiEii_0_CAS-III	596adb7fa02d385b18|711b80cfbc96621549|711b80cfbc96621549|EARTH_3300025944_13|3300025944.a:Ga0207661_10014794:0-5724(REV)_4	309	284	7.4e-05	16.3	1810	2736	596adb7fa02d385b18|711b80cfbc96621549|711b80cfbc96621549|EARTH_3300025944_13|3300025944.a:Ga0207661_10014794:0-5724(REV)	4	0.26537216828478966	0.27816901408450706	1
AbiEii_0_CAS-III	596adb7fa02d385b18|77a3a222d58c1aa147|77a3a222d58c1aa147|7289451|JABFXP010000727.1:572-26393(FWD)_13	312	284	5.3e-05	16.8	11554	12489	596adb7fa02d385b18|77a3a222d58c1aa147|77a3a222d58c1aa147|7289451|JABFXP010000727.1:572-26393(FWD)	13	0.26282051282051283	0.27816901408450706	1
AbiEii_0_CAS-III	596adb7fa02d385b18|bd7e80dc15533d8f71|bd7e80dc15533d8f71|7289821|JABFWG010001559.1:0-4376(FWD)_4	311	284	0.00018	15.0	1694	2626	596adb7fa02d385b18|bd7e80dc15533d8f71|bd7e80dc15533d8f71|7289821|JABFWG010001559.1:0-4376(FWD)	4	0.2572347266881029	0.2711267605633803	1
AbiEii_0_CAS-III	596adb7fa02d385b18|da6925d6ef5f88b21a|da6925d6ef5f88b21a|8485111|NZ_JAACYW010000295.1:0-14101(FWD)_7	312	284	4.1e-05	17.2	4658	5593	596adb7fa02d385b18|da6925d6ef5f88b21a|da6925d6ef5f88b21a|8485111|NZ_JAACYW010000295.1:0-14101(FWD)	7	0.266025641025641	0.28169014084507044	1
AbiEii_0_CAS-III	596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)_14	314	284	5.8e-05	16.7	11548	12489	596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	14	0.25796178343949044	0.2746478873239437	1
AbiEii_0_CAS-III	596adb7fa02d385b18|f3959bd717f9b027e5|f3959bd717f9b027e5|2515141|NZ_SRIC01000008.1:0-18129(REV)_12	312	284	1.9e-06	21.6	11556	12491	596adb7fa02d385b18|f3959bd717f9b027e5|f3959bd717f9b027e5|2515141|NZ_SRIC01000008.1:0-18129(REV)	12	0.26282051282051283	0.27816901408450706	1
Cas12f1_0_CAS-V-F	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)_16	404	512	2.2e-05	17.4	14741	15952	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)	16	0.5693069306930693	0.42578125	1
Cas12f1_0_CAS-V-F	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_7	408	512	6.1e-05	15.9	8129	9352	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	7	0.45588235294117646	0.400390625	1
Cas12f1_1_CAS-V-F	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_7	408	557	1.7e-13	43.9	8129	9352	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	7	0.45098039215686275	0.3644524236983842	1
Cas12f1_2_CAS-V-F	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)_16	404	429	3.2e-14	46.6	14741	15952	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)	16	0.4034653465346535	0.3776223776223776	1
Cas12f1_2_CAS-V-F	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_7	408	429	8.5e-18	58.4	8129	9352	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	7	0.46078431372549017	0.46386946386946387	1
Cas12f2_0_CAS-V-F	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)_16	404	517	4e-44	144.9	14741	15952	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)	16	0.6806930693069307	0.5647969052224371	1
Cas12f2_0_CAS-V-F	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_7	408	517	2.8e-51	168.6	8129	9352	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	7	0.7132352941176471	0.5918762088974855	1
Cas12f2_1_CAS-V-F	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)_16	404	422	8.4e-87	285.8	14741	15952	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)	16	0.9207920792079208	0.966824644549763	1
Cas12f2_1_CAS-V-F	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_7	408	422	5e-87	286.5	8129	9352	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	7	0.9117647058823529	0.957345971563981	1
Cas12f2_2_CAS-V-F	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)_16	404	493	7.3e-76	249.6	14741	15952	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)	16	0.943069306930693	0.8640973630831643	1
Cas12f2_2_CAS-V-F	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_7	408	493	5.2e-81	266.6	8129	9352	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	7	0.8676470588235294	0.7809330628803245	1
Cas12f3_0_CAS-V-F	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)_16	404	496	5.1e-43	141.6	14741	15952	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)	16	0.8465346534653465	0.7076612903225806	1
Cas12f3_0_CAS-V-F	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_7	408	496	3.6e-47	155.3	8129	9352	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	7	0.8406862745098039	0.6814516129032258	1
Cas12f4_0_CAS-V-F	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)_16	404	577	3.3e-13	42.8	14741	15952	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)	16	0.31683168316831684	0.24090121317157712	1
Cas12f4_0_CAS-V-F	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_7	408	577	3e-11	36.3	8129	9352	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	7	0.39215686274509803	0.29636048526863085	1
Cas12f7_0_CAS-V-F	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)_16	404	566	2e-21	70.2	14741	15952	596adb7fa02d385b18|2222bcc29fca52b4a9|2222bcc29fca52b4a9|2342771|NZ_SLZS01000003.1:414733-440542(REV)	16	0.8391089108910891	0.6289752650176679	1
Cas12f7_0_CAS-V-F	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_7	408	566	4.9e-18	59.1	8129	9352	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	7	0.8014705882352942	0.5971731448763251	1
Cas12j_0_V-J	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)_7	408	758	0.0038	9.1	8129	9352	596adb7fa02d385b18|3f2e85b08a6bb2d6f1|3f2e85b08a6bb2d6f1|1590631|NZ_CP026652.1:283847-309668(FWD)	7	0.19852941176470587	0.10686015831134564	1
