query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh,PF00389.32,134,66e3c83c192b25b489|bad74e25301f4a54d9|c3603a08a7f55286de|537408|NZ_AOLQ01000004.1:71141-96539(REV);17105;18067;-,108.4,1.1e-32,321,12,133,14,313
2-Hacid_dh_C,PF02826.21,178,66e3c83c192b25b489|bad74e25301f4a54d9|c3603a08a7f55286de|537408|NZ_AOLQ01000004.1:71141-96539(REV);17105;18067;-,194.8,4.1e-59,321,1,178,106,282
2-Hacid_dh_C,PF02826.21,178,66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV);13893;14819;-,20.3,1.5e-05,309,37,90,1,55
2-Hacid_dh_C,PF02826.21,178,66e3c83c192b25b489|40352d6698636f14f7|40352d6698636f14f7|58521|NZ_KE356560.1:200959-226402(REV);9064;9771;-,14.9,0.00066,236,38,77,2,41
2-Hacid_dh_C,PF02826.21,178,66e3c83c192b25b489|0a5b83c1df6abd44b6|0a5b83c1df6abd44b6|58511|NZ_KE356559.1:394397-419795(REV);4254;5135;-,14.2,0.0011,294,36,80,113,157
2-Hacid_dh_C,PF02826.21,178,66e3c83c192b25b489|2ac6418db201e72d99|2ac6418db201e72d99|360691|NZ_JMIP02000015.1:62490-87888(FWD);1822;3219;+,13.2,0.0022,466,28,75,32,79
2-Hacid_dh_C,PF02826.21,178,66e3c83c192b25b489|2ac6418db201e72d99|2ac6418db201e72d99|360691|NZ_JMIP02000015.1:62490-87888(FWD);1822;3219;+,13.2,0.0022,466,56,102,310,359
2-Hacid_dh_C,PF02826.21,178,66e3c83c192b25b489|2ac6418db201e72d99|2ac6418db201e72d99|360691|NZ_JMIP02000015.1:62490-87888(FWD);1822;3219;+,13.2,0.0022,466,49,86,371,405
2-Hacid_dh_C,PF02826.21,178,66e3c83c192b25b489|1680c095321a5bb75f|1680c095321a5bb75f|2022471|NZ_QPLR01000002.1:633216-658614(REV);8496;9788;-,12.7,0.0032,431,37,70,1,34
2-Hacid_dh_C,PF02826.21,178,66e3c83c192b25b489|1680c095321a5bb75f|1680c095321a5bb75f|2022471|NZ_QPLR01000002.1:633216-658614(REV);8496;9788;-,12.7,0.0032,431,53,97,344,389
