Contig	Start	End	Strand	Pos
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	2	118	1	1
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	1055	1360	1	2
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	1476	2633	1	3
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	2950	4146	-1	4
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	4330	4791	-1	5
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	5094	6326	1	6
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	6326	6844	1	7
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	7228	7470	1	8
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	7460	7882	1	9
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	8218	8580	-1	10
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	8940	9743	1	11
23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	9749	10843	1	12
