Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
260273e052f76dffd2|c565f84261023ed56c|c565f84261023ed56c|5346811|NZ_BLAE01000085.1:18974-44639(REV)	260273e052f76dffd2|c565f84261023ed56c|c565f84261023ed56c|5346811|NZ_BLAE01000085.1:18974-44639(REV)@1	1674	2111	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[2]	['9.30e-04']	[0.438]	[0.483]	NA	NA
260273e052f76dffd2|70209c75f261e257a5|70209c75f261e257a5|4421461|NZ_VSEY01000045.1:36969-62586(REV)	260273e052f76dffd2|70209c75f261e257a5|70209c75f261e257a5|4421461|NZ_VSEY01000045.1:36969-62586(REV)@1	5682	6596	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[8]	['1.20e-07']	[0.407]	[0.366]	NA	NA
260273e052f76dffd2|97f633ace41870bb90|97f633ace41870bb90|7343141|NZ_JACCBT010000001.1:3283801-3309547(REV)	260273e052f76dffd2|97f633ace41870bb90|97f633ace41870bb90|7343141|NZ_JACCBT010000001.1:3283801-3309547(REV)@1	894	1244	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[3]	['4.50e-15']	[0.632]	[0.669]	NA	NA
260273e052f76dffd2|65b05424150d234be9|65b05424150d234be9|1786491|NZ_QLYX01000002.1:561905-587564(FWD)	260273e052f76dffd2|65b05424150d234be9|65b05424150d234be9|1786491|NZ_QLYX01000002.1:561905-587564(FWD)@1	376	1983	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['2.70e-04']	[0.325]	[0.345]	NA	NA
260273e052f76dffd2|c3ad9f52edc810b471|c3ad9f52edc810b471|637461|NZ_BCQU01000018.1:2446-28273(FWD)	260273e052f76dffd2|c3ad9f52edc810b471|c3ad9f52edc810b471|637461|NZ_BCQU01000018.1:2446-28273(FWD)@1	2	814	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1]	['1.00e-09']	[0.351]	[0.338]	NA	NA
260273e052f76dffd2|775105ef2855fa4d3f|775105ef2855fa4d3f|862911|NZ_FNFB01000016.1:47396-73013(REV)	260273e052f76dffd2|775105ef2855fa4d3f|775105ef2855fa4d3f|862911|NZ_FNFB01000016.1:47396-73013(REV)@1	6600	7511	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[8]	['4.80e-08']	[0.51]	[0.37]	NA	NA
260273e052f76dffd2|9a23aa06aea4c1f98b|9a23aa06aea4c1f98b|636698|NZ_KB894098.1:174004-199642(FWD)	260273e052f76dffd2|9a23aa06aea4c1f98b|9a23aa06aea4c1f98b|636698|NZ_KB894098.1:174004-199642(FWD)@1	406	1248	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['8.90e-10']	[0.374]	[0.356]	NA	NA
260273e052f76dffd2|b5f3456cee578cfe60|551af865a2b3c6a6a6|106208|NC_013595.1:3233871-3259524(REV)	260273e052f76dffd2|b5f3456cee578cfe60|551af865a2b3c6a6a6|106208|NC_013595.1:3233871-3259524(REV)@1	21059	22018	False	0%	0%	I-A	0.0	['WYL_0_CAS-I-II-III-IV-V-VI']	[15]	['2.60e-51']	[0.972]	[0.971]	NA	NA
260273e052f76dffd2|2d75cc374dd9e28173|2d75cc374dd9e28173|191261|KL573182.1:0-16407(REV)	260273e052f76dffd2|2d75cc374dd9e28173|2d75cc374dd9e28173|191261|KL573182.1:0-16407(REV)@1	6910	7743	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[7]	['5.90e-06']	[0.543]	[0.514]	NA	NA
260273e052f76dffd2|97f633ace41870bb90|df658566ef0d31d1ba|1154621|NZ_FZNP01000005.1:75214-100921(FWD)	260273e052f76dffd2|97f633ace41870bb90|df658566ef0d31d1ba|1154621|NZ_FZNP01000005.1:75214-100921(FWD)@1	1560	2000	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[3]	['2.40e-17']	[0.51]	[0.678]	NA	NA
260273e052f76dffd2|c45052b2452d4a14b8|c45052b2452d4a14b8|7888511|NZ_JACHMI010000001.1:8200378-8225995(FWD)	260273e052f76dffd2|c45052b2452d4a14b8|c45052b2452d4a14b8|7888511|NZ_JACHMI010000001.1:8200378-8225995(FWD)@1	4471	5385	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[6]	['3.00e-08']	[0.515]	[0.363]	NA	NA
260273e052f76dffd2|f636ea9e59a5fdb6d6|f636ea9e59a5fdb6d6|4744521|NZ_VYTZ01000003.1:496067-521720(REV)	260273e052f76dffd2|f636ea9e59a5fdb6d6|f636ea9e59a5fdb6d6|4744521|NZ_VYTZ01000003.1:496067-521720(REV)@1	14703	15377	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[15]	['2.70e-07']	[0.462]	[0.366]	NA	NA
260273e052f76dffd2|db5a74a3119b8981de|db5a74a3119b8981de|4539521|NZ_BDDE01000010.1:441251-467021(FWD)	260273e052f76dffd2|db5a74a3119b8981de|db5a74a3119b8981de|4539521|NZ_BDDE01000010.1:441251-467021(FWD)@1	588	938	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[2]	['1.60e-15']	[0.658]	[0.754]	NA	NA
