Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|04bbfb58c48a0e8a29|3f8836fe83265b8701|1151501|NZ_LT607753.1:1194217-1220038(FWD)_2	273	284	5.5e-07	23.9	960	1778	04bbfb58c48a0e8a29|04bbfb58c48a0e8a29|3f8836fe83265b8701|1151501|NZ_LT607753.1:1194217-1220038(FWD)	2	0.27106227106227104	0.25704225352112675	1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|1f6828539e89a56a68|1f6828539e89a56a68|789801|NZ_FMDM01000001.1:244122-269928(FWD)_19	248	284	1.1e-06	22.9	19536	20279	04bbfb58c48a0e8a29|1f6828539e89a56a68|1f6828539e89a56a68|789801|NZ_FMDM01000001.1:244122-269928(FWD)	19	0.3548387096774194	0.29577464788732394	-1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|1f6828539e89a56a68|2e397bd7c94b422c08|7531331|NZ_CP059322.1:5176082-5201888(REV)_21	248	284	1.3e-06	22.6	19498	20241	04bbfb58c48a0e8a29|1f6828539e89a56a68|2e397bd7c94b422c08|7531331|NZ_CP059322.1:5176082-5201888(REV)	21	0.35080645161290325	0.29225352112676056	-1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|3ca641e5d9e0cfb620|3ca641e5d9e0cfb620|37528|NC_009380.1:2868955-2894803(REV)_21	270	284	4.3e-07	24.3	18460	19269	04bbfb58c48a0e8a29|3ca641e5d9e0cfb620|3ca641e5d9e0cfb620|37528|NC_009380.1:2868955-2894803(REV)	21	0.3	0.27816901408450706	-1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|4d563ad3edeadda1c7|4d563ad3edeadda1c7|72791|NZ_AXVR01000005.1:46472-72320(REV)_18	270	284	5.1e-07	24.0	18447	19256	04bbfb58c48a0e8a29|4d563ad3edeadda1c7|4d563ad3edeadda1c7|72791|NZ_AXVR01000005.1:46472-72320(REV)	18	0.2851851851851852	0.2676056338028169	-1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|504c4ab2bd157199d1|504c4ab2bd157199d1|920271|NZ_LWLS01000072.1:203474-229286(FWD)_20	250	284	9.2e-08	26.5	15945	16694	04bbfb58c48a0e8a29|504c4ab2bd157199d1|504c4ab2bd157199d1|920271|NZ_LWLS01000072.1:203474-229286(FWD)	20	0.364	0.3028169014084507	-1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|5ec0081988797c16da|5ec0081988797c16da|761451|NZ_LT594323.1:2197422-2223231(REV)_6	352	284	2.8e-06	21.6	5811	6866	04bbfb58c48a0e8a29|5ec0081988797c16da|5ec0081988797c16da|761451|NZ_LT594323.1:2197422-2223231(REV)	6	0.17897727272727273	0.22183098591549297	1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|6e33177ddfe400f784|6e33177ddfe400f784|1151511|NZ_LT607410.1:3080728-3106549(REV)_6	278	284	6.3e-07	23.7	4764	5597	04bbfb58c48a0e8a29|6e33177ddfe400f784|6e33177ddfe400f784|1151511|NZ_LT607410.1:3080728-3106549(REV)	6	0.26618705035971224	0.25704225352112675	1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|744e59ea365d35a501|744e59ea365d35a501|789901|NZ_FMHV01000002.1:5078761-5104570(REV)_18	248	284	1.9e-07	25.4	15859	16602	04bbfb58c48a0e8a29|744e59ea365d35a501|744e59ea365d35a501|789901|NZ_FMHV01000002.1:5078761-5104570(REV)	18	0.3629032258064516	0.3028169014084507	-1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|744e59ea365d35a501|744e59ea365d35a501|789901|NZ_FMHV01000002.1:5078761-5104570(REV)_7	354	284	3.4e-06	21.3	5936	6997	04bbfb58c48a0e8a29|744e59ea365d35a501|744e59ea365d35a501|789901|NZ_FMHV01000002.1:5078761-5104570(REV)	7	0.18926553672316385	0.2323943661971831	1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|99bad8a5a029016db4|6cc3a43ebb73e26eab|667218|NZ_KB911579.1:5062479-5088327(REV)_22	270	284	6.5e-07	23.7	19795	20604	04bbfb58c48a0e8a29|99bad8a5a029016db4|6cc3a43ebb73e26eab|667218|NZ_KB911579.1:5062479-5088327(REV)	22	0.26666666666666666	0.24647887323943662	-1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)_19	270	284	6.7e-07	23.6	18352	19161	04bbfb58c48a0e8a29|99bad8a5a029016db4|99bad8a5a029016db4|90061|NZ_KI911471.1:421387-447235(FWD)	19	0.2777777777777778	0.2605633802816901	-1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|ae4b9acc35d4c7e246|ae4b9acc35d4c7e246|90041|NZ_AZWO01000004.1:99938-125786(REV)_19	270	284	8.2e-07	23.3	19581	20390	04bbfb58c48a0e8a29|ae4b9acc35d4c7e246|ae4b9acc35d4c7e246|90041|NZ_AZWO01000004.1:99938-125786(REV)	19	0.2777777777777778	0.25704225352112675	-1
AbiEii_0_CAS-III	04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)_5	257	284	2.7e-09	31.5	4666	5436	04bbfb58c48a0e8a29|d04800100111dfa2ce|d04800100111dfa2ce|1909271|NZ_QKKX01000062.1:27858-53748(REV)	5	0.5408560311284046	0.4753521126760563	-1
AbiEii_1_CAS-III-A	04bbfb58c48a0e8a29|04bbfb58c48a0e8a29|3f8836fe83265b8701|1151501|NZ_LT607753.1:1194217-1220038(FWD)_2	273	335	8.6e-05	16.3	960	1778	04bbfb58c48a0e8a29|04bbfb58c48a0e8a29|3f8836fe83265b8701|1151501|NZ_LT607753.1:1194217-1220038(FWD)	2	0.16483516483516483	0.12835820895522387	1
AbiEii_1_CAS-III-A	04bbfb58c48a0e8a29|3ca641e5d9e0cfb620|3ca641e5d9e0cfb620|37528|NC_009380.1:2868955-2894803(REV)_21	270	335	8.8e-06	19.5	18460	19269	04bbfb58c48a0e8a29|3ca641e5d9e0cfb620|3ca641e5d9e0cfb620|37528|NC_009380.1:2868955-2894803(REV)	21	0.16666666666666666	0.12835820895522387	-1
AbiEii_1_CAS-III-A	04bbfb58c48a0e8a29|4d563ad3edeadda1c7|4d563ad3edeadda1c7|72791|NZ_AXVR01000005.1:46472-72320(REV)_18	270	335	1e-05	19.3	18447	19256	04bbfb58c48a0e8a29|4d563ad3edeadda1c7|4d563ad3edeadda1c7|72791|NZ_AXVR01000005.1:46472-72320(REV)	18	0.16296296296296298	0.1253731343283582	-1
AbiEii_1_CAS-III-A	04bbfb58c48a0e8a29|504c4ab2bd157199d1|504c4ab2bd157199d1|920271|NZ_LWLS01000072.1:203474-229286(FWD)_20	250	335	0.0021	11.8	15945	16694	04bbfb58c48a0e8a29|504c4ab2bd157199d1|504c4ab2bd157199d1|920271|NZ_LWLS01000072.1:203474-229286(FWD)	20	0.272	0.19701492537313434	-1
AbiEii_1_CAS-III-A	04bbfb58c48a0e8a29|6e33177ddfe400f784|6e33177ddfe400f784|1151511|NZ_LT607410.1:3080728-3106549(REV)_6	278	335	0.00044	14.0	4764	5597	04bbfb58c48a0e8a29|6e33177ddfe400f784|6e33177ddfe400f784|1151511|NZ_LT607410.1:3080728-3106549(REV)	6	0.15827338129496402	0.1253731343283582	1
AbiEii_1_CAS-III-A	04bbfb58c48a0e8a29|744e59ea365d35a501|744e59ea365d35a501|789901|NZ_FMHV01000002.1:5078761-5104570(REV)_18	248	335	0.0023	11.6	15859	16602	04bbfb58c48a0e8a29|744e59ea365d35a501|744e59ea365d35a501|789901|NZ_FMHV01000002.1:5078761-5104570(REV)	18	0.2661290322580645	0.191044776119403	-1
